CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
2515765;112719;129669;0;36608;11921;146598 
2513429;112718;129669;0;36608;11923;146597 
2515911;112719;129670;0;36608;11901;146598 
2516178;112720;129670;0;36608;11887;146599 
2513956;112718;129669;0;36608;11906;146597 
2517863;112721;129669;0;36608;11907;146600 
2512790;112719;129669;0;36608;11928;146598 
2513562;112720;129672;0;36608;11926;146601 
2513169;112720;129669;0;36608;11913;146599 
2515517;112720;129670;0;36608;11879;146599 
2517657;112720;129669;0;36608;11933;146599 
2512719;112718;129669;0;36608;11914;146597 
2514736;112718;129669;0;36608;11901;146597 
2514887;112718;129669;0;36608;11931;146597 
2515214;112718;129669;0;36609;11917;146597 
2514709;112720;129669;0;36608;11920;146599 
2513228;112719;129669;0;36608;11878;146598 
2515477;112718;129669;0;36609;11892;146597 
2513473;112718;129669;0;36608;11896;146597 
2516098;112718;129669;0;36608;11886;146597 
2520391;112719;129670;0;36608;11941;146599 
2512912;112718;129669;0;36608;11899;146597 
2516733;112718;129669;0;36608;11897;146597 
2512242;112718;129669;0;36609;11894;146597 
2515591;112719;129669;0;36608;11879;146598 
2514245;112720;129669;0;36608;11938;146599 
2514918;112718;129669;0;36608;11912;146597 
2512740;112718;129669;0;36608;11903;146597 
2512157;112719;129670;0;36608;11898;146598 
2514929;112718;129669;0;36608;11908;146597 
2514628;112720;129669;0;36608;11918;146599 
2515900;112720;129670;0;36608;11927;146599 
2516205;112722;129670;0;36608;11908;146601 
2515351;112720;129670;0;36608;11908;146599 
2515281;112719;129670;0;36608;11891;146598 
2516113;112720;129669;0;36608;11922;146599 
2515744;112718;129669;0;36608;11908;146597 
2512999;112719;129669;0;36608;11906;146598 
2516141;112719;129670;0;36608;11920;146598 
2512630;112719;129669;0;36608;11910;146598 
2516270;112721;129669;0;36608;11938;146600 
2514113;112718;129669;0;36608;11886;146597 
2515801;112719;129669;0;36608;11924;146598 
2514037;112718;129669;0;36608;11907;146597 
2515220;112718;129669;0;36608;11894;146597 
2517673;112720;129669;0;36608;11928;146599 
2516130;112719;129670;0;36608;11915;146598 
2516592;112720;129670;0;36608;11929;146599 
2515861;112720;129670;0;36608;11905;146599 
2515151;112718;129669;0;36608;11899;146597 
2512769;112718;129669;0;36608;11896;146597 
2514662;112721;129672;0;36608;11894;146601 
2517281;112722;129669;0;36608;11908;146601 
2513733;112721;129670;0;36608;11888;146600 
2514857;112719;129670;0;36608;11901;146599 
2516462;112719;129669;0;36608;11897;146598 
2513667;112719;129669;0;36608;11890;146598 
2517078;112720;129669;0;36609;11929;146599 
2515882;112718;129669;0;36608;11927;146597 
2513117;112719;129669;0;36608;11890;146598 
2515229;112718;129669;0;36608;11904;146597 
2513439;112718;129669;0;36608;11907;146597 
2516563;112720;129669;0;36608;11912;146599 
2513251;112718;129669;0;36608;11906;146597 
2512791;112719;129670;0;36608;11938;146598 
2513828;112718;129669;0;36608;11890;146597 
2514810;112718;129669;0;36608;11895;146597 
2514193;112720;129669;0;36608;11935;146599 
2514920;112718;129669;0;36608;11883;146597 
2515189;112718;129669;0;36608;11904;146597 
2515191;112719;129670;0;36608;11887;146598 
2512972;112719;129670;0;36608;11915;146598 
2515234;112720;129669;0;36608;11916;146599 
2515155;112719;129669;0;36608;11899;146598 
2515460;112718;129669;0;36608;11910;146597 
