CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
2516093;570;0;1258044;0;402;168 
2515215;552;0;1257607;0;416;136 
2513898;561;0;1256948;0;409;152 
2515550;496;0;1257774;0;404;92 
2515658;524;0;1257828;0;408;116 
2520436;584;0;1260218;0;428;156 
2516585;528;0;1258292;0;424;104 
2515284;580;0;1257641;0;404;176 
2513058;520;0;1256529;0;404;116 
2512620;552;0;1256310;0;408;144 
2515927;560;0;1257963;0;428;132 
2512065;532;0;1256032;0;404;128 
2515796;548;0;1257897;0;420;128 
2515617;528;0;1257808;0;412;116 
2516170;544;0;1258085;0;408;136 
2518207;556;0;1259103;0;428;128 
2513021;568;0;1256509;0;424;144 
2515632;572;0;1257815;0;408;164 
2516537;564;0;1258268;0;412;152 
2513836;560;0;1256918;0;408;152 
2516746;576;0;1258372;0;432;144 
2513391;552;0;1256695;0;412;140 
2512895;536;0;1256448;0;420;116 
2513032;572;0;1256516;0;412;160 
2515744;532;0;1257871;0;408;124 
2513367;544;0;1256683;0;412;132 
2516316;540;0;1258156;0;412;128 
2515222;528;0;1257611;0;408;120 
2513091;516;0;1256545;0;408;108 
2514447;528;0;1257222;0;424;104 
2516011;540;0;1258005;0;412;128 
2517137;584;0;1258566;0;428;156 
2516149;548;0;1258073;0;412;136 
2515009;520;0;1257502;0;408;112 
2516452;583;0;1258226;0;423;160 
2514468;536;0;1257232;0;400;136 
2516343;552;0;1258170;0;416;136 
2515858;541;0;1257928;0;404;137 
2514442;572;0;1257221;0;404;168 
2512995;540;0;1256497;0;404;136 
2515552;556;0;1257776;0;408;148 
2526872;552;0;1263434;0;416;136 
2514600;548;0;1257299;0;400;148 
2514909;556;0;1257455;0;404;152 
2512183;508;0;1256090;0;408;100 
2513008;548;0;1256503;0;412;136 
2516991;572;0;1258494;0;428;144 
2515249;520;0;1257623;0;408;112 
2515366;498;0;1257681;0;410;88 
2515821;592;0;1257909;0;420;172 
2515092;552;0;1257545;0;412;140 
2518078;604;0;1259037;0;428;176 
2515193;544;0;1257595;0;420;124 
2513005;572;0;1256501;0;408;164 
2515707;572;0;1257853;0;420;152 
2516381;544;0;1258190;0;412;132 
2512904;542;0;1256451;0;414;128 
2515488;609;0;1257743;0;417;192 
2516113;538;0;1258055;0;418;120 
2513500;552;0;1256749;0;416;136 
2515296;612;0;1257646;0;408;204 
2516345;598;0;1258170;0;434;164 
2512507;572;0;1256254;0;420;152 
2516135;560;0;1258065;0;420;140 
2512773;534;0;1256385;0;414;120 
2515689;524;0;1257844;0;412;112 
2515833;504;0;1257916;0;404;100 
2512380;528;0;1256188;0;416;112 
2516979;569;0;1258490;0;421;148 
2516506;524;0;1258252;0;408;116 
2514668;532;0;1257333;0;400;132 
2513379;564;0;1256689;0;412;152 
2513348;524;0;1256673;0;416;108 
2514250;592;0;1257124;0;416;176 
2515936;532;0;1257968;0;404;128 
2515784;576;0;1257892;0;408;168 
2513624;552;0;1256811;0;416;136 
2514881;556;0;1257440;0;404;152 
2516085;560;0;1258042;0;424;136 
2514502;567;0;1257250;0;419;148 
2514690;548;0;1257344;0;412;136 
2512384;580;0;1256192;0;420;160 
2515181;532;0;1257591;0;408;124 
2514700;546;0;1257349;0;428;118 
2516778;512;0;1258388;0;400;112 
2515821;536;0;1257910;0;408;128 
2514705;586;0;1257352;0;418;168 
2515382;516;0;1257689;0;404;112 
2517865;581;0;1258931;0;425;156 
2514846;512;0;1257422;0;408;104 
2518169;572;0;1259084;0;424;148 
2516321;556;0;1258160;0;416;140 
2517153;548;0;1258576;0;420;128 
2514006;576;0;1257002;0;408;168 
2517655;600;0;1258826;0;420;180 
2516531;612;0;1258263;0;424;188 
2515569;536;0;1257783;0;416;120 
2515573;544;0;1257785;0;408;136 
2512499;532;0;1256250;0;404;128 
2513420;516;0;1256709;0;412;104 
2516608;532;0;1258303;0;412;120 
2515158;536;0;1257579;0;416;120 
2513337;540;0;1256667;0;400;140 
2516033;540;0;1258016;0;416;124 
2514863;528;0;1257430;0;412;116 
2516539;592;0;1258268;0;412;180 
2516196;540;0;1258097;0;416;124 
2514018;604;0;1257007;0;424;180 
2517161;593;0;1258580;0;409;184 
2512794;572;0;1256397;0;404;168 
2514206;580;0;1257104;0;428;152 
2515259;564;0;1257629;0;408;156 
2513050;612;0;1256523;0;424;188 
2515511;540;0;1257754;0;424;116 
2513712;548;0;1256855;0;416;132 
2517398;572;0;1258697;0;428;144 
2514431;532;0;1257215;0;416;116 
2515364;528;0;1257680;0;408;120 
2515966;568;0;1257983;0;400;168 
2513945;508;0;1256972;0;404;104 
2519957;604;0;1259975;0;428;176 
2513163;548;0;1256580;0;408;140 
2516546;544;0;1258273;0;412;132 
2517377;592;0;1258687;0;408;184 
2515208;542;0;1257604;0;422;120 
2516393;523;0;1258195;0;419;104 
2512824;536;0;1256411;0;408;128 
2515215;624;0;1257607;0;428;196 
2515297;528;0;1257647;0;400;128 
2512179;528;0;1256089;0;416;112 
2515674;544;0;1257836;0;416;128 
2515285;604;0;1257643;0;416;188 
2520310;572;0;1260155;0;416;156 
2515102;524;0;1257551;0;404;120 
2515240;508;0;1257619;0;404;104 
2513730;556;0;1256863;0;420;136 
2517694;527;0;1258846;0;411;116 
2517231;520;0;1258614;0;424;96 
2515692;580;0;1257844;0;412;168 
2514196;516;0;1257098;0;396;120 
2513848;568;0;1256922;0;412;156 
2515842;568;0;1257919;0;424;144 
2516860;580;0;1258428;0;416;164 
2513492;552;0;1256744;0;412;140 
2515493;580;0;1257745;0;404;176 
2515117;548;0;1257557;0;400;148 
2515038;524;0;1257519;0;412;112 
2515743;576;0;1257870;0;420;156 
2515528;536;0;1257762;0;408;128 
2515761;576;0;1257879;0;412;164 
2515292;548;0;1257646;0;396;152 
2513527;562;0;1256763;0;424;138 
2516540;540;0;1258269;0;412;128 
2514312;560;0;1257155;0;416;144 
2512705;508;0;1256351;0;416;92 
2517412;564;0;1258705;0;416;148 
2515781;472;0;1257890;0;412;60 
2519672;549;0;1259835;0;425;124 
2513870;580;0;1256934;0;420;160 
2515847;556;0;1257923;0;416;140 
2514508;572;0;1257254;0;404;168 
2515549;560;0;1257773;0;412;148 
2517435;612;0;1258716;0;412;200 
2515733;520;0;1257866;0;408;112 
2514712;552;0;1257356;0;420;132 
2511861;536;0;1255930;0;412;124 
2515669;572;0;1257834;0;412;160 
2518371;572;0;1259183;0;408;164 
2515688;568;0;1257844;0;408;160 
2513407;546;0;1256703;0;406;140 
2514045;560;0;1257022;0;416;144 
2515546;520;0;1257773;0;412;108 
2513236;568;0;1256618;0;416;152 
2515294;540;0;1257646;0;408;132 
2514881;568;0;1257439;0;432;136 
2512412;540;0;1256205;0;424;116 
2516626;572;0;1258313;0;416;156 
2513899;544;0;1256949;0;412;132 
2516219;552;0;1258109;0;416;136 
2516190;528;0;1258093;0;404;124 
2512944;516;0;1256471;0;408;108 
2515278;600;0;1257638;0;408;192 
2516230;536;0;1258113;0;416;120 
2515415;524;0;1257707;0;392;132 
2517187;550;0;1258593;0;434;116 
2514013;592;0;1257006;0;420;172 
2516132;540;0;1258065;0;420;120 
2516374;560;0;1258187;0;412;148 
2513195;552;0;1256596;0;408;144 
2516265;604;0;1258130;0;416;188 
2513877;592;0;1256937;0;420;172 
2513530;544;0;1256763;0;416;128 
2513762;616;0;1256880;0;408;208 
2515630;556;0;1257813;0;408;148 
2514791;572;0;1257395;0;408;164 
2512881;536;0;1256440;0;404;132 
2515864;584;0;1257931;0;416;168 
2513828;556;0;1256914;0;412;144 
2515653;568;0;1257826;0;412;156 
2516066;592;0;1258032;0;416;176 
2515075;556;0;1257537;0;408;148 
2512721;532;0;1256359;0;404;128 
2515451;476;0;1257725;0;408;68 
2515553;532;0;1257776;0;424;108 
2518095;576;0;1259046;0;424;152 
2516501;606;0;1258248;0;430;176 
2516631;548;0;1258315;0;412;136 
2513586;544;0;1256793;0;408;136 
2515005;560;0;1257502;0;420;140 
2515347;592;0;1257673;0;412;180 
2515011;527;0;1257504;0;407;120 
2516573;552;0;1258284;0;416;136 
2515967;588;0;1257983;0;420;168 
2516689;522;0;1258343;0;404;118 
2517786;588;0;1258892;0;420;168 
2515292;512;0;1257645;0;416;96 
2515880;532;0;1257939;0;412;120 
2514547;524;0;1257273;0;404;120 
2513814;528;0;1256906;0;416;112 
2513893;556;0;1256946;0;412;144 
2514938;544;0;1257467;0;400;144 
2515275;628;0;1257636;0;428;200 
2515131;532;0;1257565;0;412;120 
2515330;540;0;1257664;0;408;132 
2513230;536;0;1256613;0;408;128 
2517545;572;0;1258771;0;408;164 
2516868;596;0;1258433;0;428;168 
2515920;564;0;1257960;0;412;152 
2512416;516;0;1256207;0;408;108 
2515050;520;0;1257524;0;404;116 
2512937;516;0;1256469;0;408;108 
2517408;608;0;1258703;0;428;180 
2514169;552;0;1257085;0;420;132 
2516183;528;0;1258090;0;404;124 
2515804;508;0;1257902;0;408;100 
2515031;492;0;1257516;0;404;88 
2514162;568;0;1257081;0;428;140 
2515733;580;0;1257866;0;420;160 
2515575;594;0;1257787;0;422;172 
2515264;496;0;1257632;0;400;96 
2515891;556;0;1257944;0;416;140 
2515190;544;0;1257594;0;424;120 
2512143;524;0;1256071;0;400;124 
2516435;616;0;1258217;0;424;192 
2515404;568;0;1257701;0;420;148 
2515332;552;0;1257665;0;412;140 
2512665;512;0;1256332;0;408;104 
2515744;539;0;1257870;0;419;120 
2514258;552;0;1257128;0;424;128 
2515703;568;0;1257850;0;408;160 
2515473;528;0;1257736;0;420;108 
2514777;572;0;1257387;0;412;160 
2515805;536;0;1257902;0;404;132 
2514444;604;0;1257221;0;444;160 
2514820;528;0;1257409;0;416;112 
2515892;536;0;1257945;0;408;128 
2512547;568;0;1256274;0;416;152 
2515599;564;0;1257799;0;408;156 
2517732;564;0;1258864;0;416;148 
2515779;564;0;1257888;0;416;148 
2513144;556;0;1256570;0;412;144 
2515724;544;0;1257861;0;424;120 
2513897;568;0;1256948;0;396;172 
2513494;604;0;1256747;0;412;192 
2516931;552;0;1258465;0;408;144 
2514981;544;0;1257489;0;412;132 
2515347;552;0;1257673;0;408;144 
2515752;528;0;1257874;0;408;120 
2518828;580;0;1259414;0;420;160 
2513851;544;0;1256924;0;420;124 
2512368;548;0;1256183;0;416;132 
2515960;544;0;1257978;0;404;140 
2515132;492;0;1257564;0;408;84 
2516674;536;0;1258336;0;412;124 
2513425;567;0;1256712;0;419;148 
2515924;562;0;1257961;0;402;160 
2513576;556;0;1256788;0;412;144 
2517520;564;0;1258759;0;424;140 
2514937;592;0;1257467;0;432;160 
2514439;490;0;1257218;0;410;80 
2516535;604;0;1258267;0;424;180 
2516946;556;0;1258472;0;412;144 
2515309;568;0;1257653;0;408;160 
2516275;552;0;1258137;0;412;140 
2512874;532;0;1256436;0;404;128 
2516417;523;0;1258207;0;435;88 
2515392;504;0;1257695;0;404;100 
2514850;560;0;1257424;0;412;148 
2515876;524;0;1257938;0;412;112 
2514364;536;0;1257181;0;424;112 
2516951;580;0;1258475;0;424;156 
2515970;592;0;1257985;0;416;176 
2513459;568;0;1256727;0;416;152 
2516275;548;0;1258137;0;408;140 
2517591;560;0;1258794;0;412;148 
2515590;576;0;1257793;0;416;160 
2513529;572;0;1256765;0;424;148 
2513015;544;0;1256507;0;404;140 
2512941;508;0;1256470;0;404;104 
2513826;552;0;1256912;0;416;136 
2518078;608;0;1259038;0;420;188 
2517040;504;0;1258518;0;404;100 
2515885;572;0;1257941;0;408;164 
2515396;520;0;1257697;0;420;100 
2514627;496;0;1257314;0;400;96 
2514749;528;0;1257373;0;412;116 
2515828;584;0;1257913;0;412;172 
2515811;524;0;1257905;0;400;124 
2513513;508;0;1256756;0;416;92 
2515786;532;0;1257891;0;400;132 
2515133;568;0;1257565;0;412;156 
2514958;528;0;1257478;0;400;128 
2512123;584;0;1256060;0;416;168 
2516495;540;0;1258247;0;408;132 
2515019;544;0;1257509;0;420;124 
2516821;568;0;1258410;0;428;140 
2514560;532;0;1257279;0;420;112 
2517328;640;0;1258664;0;432;208 
2516690;596;0;1258344;0;412;184 
2515486;544;0;1257742;0;412;132 
2517427;588;0;1258712;0;432;156 
2513303;592;0;1256651;0;424;168 
2514451;512;0;1257224;0;408;104 
2513015;556;0;1256507;0;408;148 
2512885;544;0;1256442;0;416;128 
2516203;540;0;1258101;0;404;136 
2512410;536;0;1256204;0;420;116 
2514687;564;0;1257342;0;412;152 
2515324;488;0;1257662;0;404;84 
2513822;532;0;1256911;0;412;120 
2515614;539;0;1257805;0;419;120 
2516272;540;0;1258135;0;408;132 
2520132;584;0;1260064;0;428;156 
2515179;548;0;1257588;0;408;140 
2515452;568;0;1257724;0;416;152 
2515962;560;0;1257979;0;416;144 
2516880;584;0;1258439;0;408;176 
2517728;594;0;1258862;0;436;158 
2515299;564;0;1257650;0;416;148 
2515530;580;0;1257766;0;428;152 
2531752;560;0;1265876;0;416;144 
2512741;556;0;1256369;0;412;144 
2516194;552;0;1258095;0;408;144 
2516361;528;0;1258179;0;420;108 
2513475;568;0;1256737;0;408;160 
2513637;577;0;1256818;0;417;160 
2515711;514;0;1257855;0;402;112 
2516068;548;0;1258033;0;436;112 
2515534;524;0;1257767;0;408;116 
2516780;554;0;1258389;0;422;132 
2515441;524;0;1257719;0;428;96 
2513255;524;0;1256628;0;412;112 
2515520;552;0;1257758;0;428;124 
2517725;584;0;1258862;0;412;172 
2513716;616;0;1256857;0;416;200 
2515931;528;0;1257965;0;416;112 
2516306;556;0;1258152;0;408;148 
2516168;568;0;1258083;0;428;140 
2514822;550;0;1257411;0;418;132 
2515348;608;0;1257673;0;436;172 
2513719;560;0;1256858;0;408;152 
2516436;504;0;1258217;0;404;100 
2512671;516;0;1256335;0;420;96 
2516376;544;0;1258188;0;416;128 
2517532;528;0;1258765;0;408;120 
2515134;496;0;1257566;0;408;88 
2512470;560;0;1256233;0;404;156 
2512897;504;0;1256448;0;404;100 
2515627;496;0;1257811;0;404;92 
2517616;560;0;1258806;0;408;152 
2513243;556;0;1256620;0;416;140 
2515314;572;0;1257656;0;420;152 
2514457;560;0;1257229;0;408;152 
2514847;522;0;1257423;0;406;116 
2516424;580;0;1258211;0;416;164 
2514617;524;0;1257308;0;408;116 
2514969;544;0;1257483;0;408;136 
2515076;596;0;1257538;0;416;180 
2513436;560;0;1256717;0;416;144 
2514622;592;0;1257310;0;432;160 
2515242;564;0;1257620;0;432;132 
2514846;568;0;1257423;0;408;160 
2514499;592;0;1257248;0;416;176 
2520742;468;0;1260369;0;400;68 
2516432;576;0;1258216;0;432;144 
2513553;500;0;1256775;0;420;80 
2516177;554;0;1258089;0;414;140 
2514908;572;0;1257453;0;416;156 
2513756;560;0;1256877;0;424;136 
2516690;615;0;1258345;0;423;192 
2512591;568;0;1256295;0;420;148 
2518653;552;0;1259325;0;420;132 
2515582;520;0;1257791;0;416;104 
2512279;536;0;1256138;0;420;116 
2515390;530;0;1257694;0;414;116 
2515851;564;0;1257924;0;416;148 
2517532;568;0;1258765;0;432;136 
2514840;568;0;1257420;0;408;160 
2513197;552;0;1256598;0;408;144 
2512677;516;0;1256337;0;396;120 
2515172;512;0;1257585;0;412;100 
2517380;568;0;1258688;0;420;148 
2515894;544;0;1257946;0;416;128 
2517016;588;0;1258507;0;412;176 
2515866;540;0;1257932;0;412;128 
2513756;544;0;1256877;0;404;140 
2516937;550;0;1258467;0;414;136 
2519173;532;0;1259585;0;416;116 
2515459;532;0;1257728;0;420;112 
2516128;556;0;1258064;0;420;136 
2513496;564;0;1256747;0;412;152 
2516774;584;0;1258386;0;412;172 
2512379;574;0;1256188;0;410;164 
2512528;544;0;1256263;0;408;136 
2512430;500;0;1256214;0;420;80 
2514264;544;0;1257130;0;416;128 
2516308;532;0;1258153;0;428;104 
2516180;572;0;1258090;0;416;156 
2516469;612;0;1258234;0;412;200 
2515394;552;0;1257697;0;424;128 
2515002;500;0;1257500;0;400;100 
2516376;540;0;1258187;0;412;128 
2513800;544;0;1256899;0;412;132 
2518047;560;0;1259022;0;416;144 
2516025;548;0;1258011;0;404;144 
2516126;532;0;1258062;0;412;120 
2516909;524;0;1258454;0;408;116 
2512296;516;0;1256147;0;404;112 
2516566;580;0;1258282;0;428;152 
2515765;524;0;1257881;0;408;116 
2512467;548;0;1256232;0;400;148 
2514514;540;0;1257256;0;408;132 
2513059;552;0;1256529;0;412;140 
2516749;548;0;1258373;0;420;128 
2513086;560;0;1256542;0;416;144 
2514617;512;0;1257308;0;408;104 
2514803;528;0;1257400;0;396;132 
2515919;584;0;1257959;0;408;176 
