CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
2515512;0;69318;14165;203;0;110175 
2516441;0;69365;15383;193;0;112464 
2513220;0;69338;12074;223;0;110164 
2512612;0;69359;11459;203;0;112477 
2517056;0;69350;15966;202;0;110173 
2517850;0;70559;15395;413;0;110168 
2512768;0;69207;11800;167;0;110179 
2516258;0;69309;14981;181;0;110185 
2515967;0;69284;14894;221;0;110167 
2514904;0;69276;12280;220;0;110168 
2514154;0;69238;13124;210;0;110167 
2516750;0;69281;15686;216;0;110185 
2513271;0;69208;12204;173;0;110181 
2515229;0;69335;13236;224;0;110169 
2514288;0;69790;12400;353;0;110170 
2517136;0;69515;15833;295;0;112718 
2515732;0;69340;14787;182;0;110168 
2518422;0;71000;15675;188;0;110175 
2516705;0;69296;15670;190;0;110169 
2515514;0;69304;14406;183;0;110179 
2518756;0;69357;17413;380;0;110170 
2513496;0;69283;12365;206;0;110174 
2515553;0;69283;14335;196;0;110182 
2515959;0;69245;14919;217;0;110169 
2513475;0;69404;12080;189;0;110168 
2517269;0;69941;15505;270;0;110165 
2513280;0;69375;12033;197;0;112722 
2516365;0;69324;14977;225;0;112718 
2515188;0;69277;13175;208;0;110175 
2516034;0;69231;15022;213;0;110179 
2513439;0;69344;12258;209;0;110177 
2514621;0;69221;12659;187;0;110169 
2515646;0;69328;14553;218;0;110168 
2516851;0;69219;15919;204;0;112717 
2513015;0;69237;12055;212;0;110164 
2516401;0;69319;15326;253;0;110164 
2512941;0;69248;11911;201;0;110174 
2516330;0;69444;15038;222;0;110167 
2514395;0;69270;12395;186;0;110171 
2514855;0;69365;11946;226;0;110173 
2513663;0;69231;12630;215;0;110159 
2513852;0;69308;12661;207;0;110184 
2516293;0;69336;15010;210;0;110181 
2515762;0;69219;14751;216;0;110177 
2515514;0;69215;14245;363;0;110181 
2516468;0;69515;15110;248;0;110156 
2514218;0;69298;13005;214;0;110166 
2516602;0;69241;15299;239;0;110173 
2513267;0;69280;12115;238;0;112730 
2515663;0;69231;14616;187;0;110170 
2513058;0;69395;11780;194;0;110179 
2516691;0;69321;15468;200;0;110179 
2519566;0;71698;15873;237;0;110171 
2515100;0;69245;14049;195;0;110169 
2515551;0;69215;14572;200;0;110169 
2515308;0;69248;14410;190;0;110166 
2516052;0;69255;14965;220;0;110175 
2516114;0;69298;14997;214;0;110167 
2514663;0;69190;13603;181;0;112736 
2515255;0;69270;14153;207;0;110171 
2514459;0;69290;11662;221;0;112722 
2518416;0;69318;17245;228;0;110165 
2518991;0;69474;17750;285;0;110155 
2515963;0;69284;14931;221;0;110171 
2514416;0;69323;11745;220;0;112726 
2515689;0;69286;14665;201;0;110171 
2516053;0;69267;14822;219;0;110164 
2515194;0;69412;13763;211;0;110169 
2516303;0;69280;15232;196;0;110167 
2515330;0;69272;13259;350;0;110169 
2513348;0;69409;12039;195;0;110176 
2518375;0;70806;15845;209;0;110167 
2518942;0;71324;15645;284;0;112464 
2516736;0;69266;15508;353;0;110174 
2514346;0;69224;12439;214;0;110172 
2514171;0;69227;13076;196;0;110187 
2513327;0;69226;12543;208;0;110166 
2516669;0;69332;15600;212;0;112721 
2513335;0;69329;12218;200;0;110177 
2513047;0;69338;12012;225;0;112724 
2512931;0;69367;11652;208;0;110165 
2514366;0;69260;13299;215;0;110167 
2517119;0;70386;14818;280;0;112717 
2517404;0;69334;16175;255;0;110170 
2515378;0;69544;13848;240;0;110168 
2516016;0;69313;14914;206;0;112723 
2515805;0;69272;14837;190;0;110168 
2515671;0;69214;14793;201;0;110165 
2514721;0;69263;13751;219;0;110167 
2518938;0;71323;15918;259;0;110170 
2516360;0;69350;15305;211;0;110172 
2516457;0;69248;15366;240;0;110173 
2516066;0;69317;14923;207;0;110167 
2512845;0;69354;11706;173;0;112730 
2513392;0;69290;12350;228;0;110174 
2515169;0;69276;14111;343;0;110177 
2513016;0;69202;12136;189;0;110172 
2513706;0;69263;12721;188;0;110168 
2516996;0;69199;16007;207;0;110162 
2516559;0;69340;15346;217;0;110175 
2515195;0;70224;12988;237;0;112471 
2515379;0;69310;14207;205;0;110176 
2515372;0;69320;14167;200;0;110174 
2513006;0;69217;12146;188;0;110175 
2515825;0;70673;13353;261;0;110167 
2513878;0;69240;13107;223;0;110172 
2514111;0;69213;13216;346;0;112726 
2514235;0;69360;13066;223;0;112733 
2514951;0;69298;14032;226;0;112730 
2514901;0;69547;13610;233;0;110968 
2513854;0;69303;12985;180;0;110169 
2515428;0;69218;14452;187;0;110172 
2517201;0;69312;14903;1442;0;110175 
2515931;0;69221;14948;213;0;110154 
2515925;0;70175;13690;233;0;112724 
2515969;0;69373;14851;225;0;112716 
2514821;0;69384;12735;229;0;112726 
2515752;0;69367;14460;202;0;110175 
2513388;0;69288;12280;189;0;110162 
2514669;0;69409;13368;171;0;110165 
2515028;0;69215;11620;205;0;110156 
2513767;0;69254;12833;207;0;110175 
2516144;0;69340;15010;207;0;110164 
2512915;0;69334;11686;196;0;112737 
2517365;0;70804;12997;282;0;110167 
2515779;0;69246;14732;213;0;110169 
2513146;0;69251;11906;373;0;110163 
2516420;0;69294;14220;1123;0;110172 
2515023;0;69154;14247;190;0;110172 
2517114;0;69350;15904;216;0;110157 
2516486;0;69379;15381;230;0;112724 
2514735;0;70383;12430;223;0;110168 
2513508;0;69300;12483;203;0;110164 
2513540;0;69324;12304;224;0;112472 
2517542;0;69468;16229;230;0;110166 
2515683;0;69265;14654;210;0;110168 
2513931;0;69301;12709;217;0;110194 
2513353;0;69371;12065;192;0;110174 
2514608;0;69229;13499;202;0;110183 
2513583;0;69224;12522;197;0;110180 
2515254;0;69347;13866;353;0;112727 
2514726;0;69930;12956;254;0;110157 
2514835;0;69308;11508;193;0;110170 
2513955;0;69349;12749;226;0;112729 
2516130;0;69353;14882;217;0;110174 
2513919;0;69266;12842;202;0;110174 
2516979;0;69337;15894;208;0;110177 
2513361;0;69323;12163;188;0;110171 
2513714;0;69245;12904;216;0;110175 
2515333;0;69295;14441;234;0;110164 
2513046;0;69262;12074;200;0;110173 
2515406;0;69388;14252;296;0;110161 
2513254;0;69343;12093;216;0;110171 
2516226;0;69311;13966;216;0;110176 
2515564;0;69232;14728;183;0;110166 
2514548;0;69273;12536;213;0;110173 
2515112;0;69390;13826;208;0;110172 
2513933;0;69215;12976;214;0;110176 
2512927;0;69216;11949;226;0;110175 
2513338;0;69353;12128;224;0;110174 
2514142;0;69315;12961;174;0;110171 
2518193;0;70599;15840;247;0;110164 
2515757;0;69227;14791;215;0;110170 
2515675;0;70140;13638;350;0;110177 
2513874;0;69321;12717;208;0;112724 
2522762;0;69271;20235;211;0;110172 
2517300;0;69428;15825;228;0;110170 
2517013;0;69319;15810;245;0;110172 
2519002;0;69315;16615;243;0;112726 
2516482;0;69330;15485;221;0;110162 
2514277;0;69402;13096;226;0;110162 
2516346;0;69414;15204;239;0;112512 
2515762;0;69319;14630;225;0;112730 
2513256;0;69321;12164;211;0;110172 
2512582;0;69298;11513;199;0;110171 
2516923;0;69355;15685;255;0;112505 
2513951;0;69249;12891;214;0;110160 
2513655;0;69338;12673;212;0;110173 
2515868;0;69307;14861;188;0;110170 
2515543;0;69310;14492;207;0;110168 
2517302;0;69372;15987;245;0;110171 
2515378;0;69243;14476;189;0;110172 
2512327;0;69316;11188;181;0;110184 
2516187;0;69305;15166;208;0;110163 
2513168;0;69206;12159;197;0;110170 
2515841;0;70289;13568;304;0;110993 
2516742;0;69404;15645;226;0;110163 
2515387;0;69467;14013;235;0;110162 
2516319;0;69272;15327;203;0;110168 
2515542;0;69260;13570;201;0;110166 
2516187;0;69270;14091;191;0;110158 
2515953;0;69359;14807;197;0;110171 
2515531;0;69216;14447;212;0;110169 
2516406;0;69389;15071;218;0;110172 
2514051;0;69213;13090;215;0;110176 
2516579;0;70373;14393;259;0;110162 
2515697;0;69181;14779;210;0;110177 
2513181;0;69248;12314;206;0;110168 
2515771;0;69205;14459;565;0;110173 
2512641;0;69254;11662;199;0;110174 
2516834;0;69408;15579;224;0;110171 
2516248;0;69364;15046;204;0;110172 
2515600;0;69284;14647;205;0;112727 
2514699;0;69415;13613;187;0;110178 
2515799;0;69284;15049;211;0;110170 
2519114;0;69721;17505;276;0;110169 
2515549;0;69296;14531;349;0;110174 
2515017;0;69412;13792;213;0;110171 
2514069;0;69254;13185;194;0;110173 
2515288;0;69300;14473;209;0;110169 
2513138;0;69279;12191;192;0;110172 
2515919;0;69305;14666;356;0;110167 
2515210;0;69719;13425;428;0;110173 
2516370;0;69364;15176;208;0;110171 
2515400;0;69312;14345;195;0;110178 
2512639;0;69279;11558;166;0;110174 
2515050;0;69244;14116;184;0;112727 
2516418;0;69303;15090;229;0;110162 
2519591;0;69359;18161;205;0;110174 
2513927;0;69443;12578;225;0;112466 
2513600;0;69430;12325;210;0;110174 
2514392;0;69242;11498;214;0;110179 
2516222;0;69674;14708;284;0;110174 
2514531;0;69305;12416;186;0;110162 
2513239;0;69252;12221;203;0;110181 
2515824;0;69204;14951;190;0;110177 
2513105;0;69260;12022;192;0;112731 
2515534;0;69392;14209;205;0;110167 
2515721;0;69317;14428;199;0;110167 
2517934;0;69236;16861;210;0;110166 
2513274;0;69272;12269;203;0;110171 
2517994;0;69259;17043;197;0;110181 
2517632;0;70251;15494;259;0;110168 
2513299;0;69212;12284;187;0;110173 
2514674;0;69286;13551;216;0;110183 
2513784;0;69247;12752;207;0;110181 
2516539;0;69366;15418;206;0;112730 
2517010;0;69268;15934;240;0;110162 
2514475;0;69435;13199;198;0;112733 
2517680;0;69458;16340;230;0;112727 
2513264;0;69319;12085;194;0;110175 
2513820;0;69253;12824;223;0;110173 
2521670;0;69484;20142;260;0;110166 
2515240;0;69205;13339;208;0;112461 
2517127;0;69431;15735;217;0;110235 
2515702;0;69251;14773;203;0;110163 
2516808;0;69220;15840;201;0;110173 
2516462;0;69303;15318;238;0;110169 
2514770;0;69352;12515;206;0;110166 
2515573;0;69307;14096;400;0;110164 
2516289;0;69199;15377;204;0;110180 
2513112;0;69252;12128;205;0;110175 
2514771;0;69220;12016;362;0;110168 
2517867;0;69906;16619;190;0;112598 
