CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
2520589;90686;1;3808;11;69324;18820 
2515394;93243;3;4599;7;69143;13483 
2512250;90703;2;3581;5;69385;10997 
2514165;90669;1;3546;2;69177;13354 
2512512;90664;3;3717;3;69298;11437 
2516292;90679;2;3663;14;69478;14981 
2514323;90682;3;3692;6;69312;13180 
2513204;90660;3;3759;7;69329;12154 
2512998;90672;4;3664;5;69254;11944 
2512088;90664;3;3597;11;69237;11212 
2513852;90668;2;3635;9;69357;12729 
2512530;93249;2;3537;7;69365;11320 
2513178;93217;3;3644;3;69253;12215 
2512353;90670;3;3695;7;69296;11251 
2512829;93255;3;3722;13;69317;11709 
2515356;90671;3;3772;9;70386;13056 
2515390;90672;2;6189;2;69219;12062 
2515196;90680;3;3535;5;69309;14036 
2513597;90672;2;3648;5;69247;12546 
2515667;90685;2;5355;7;69311;14512 
2516331;93226;4;3680;5;69344;15152 
2514993;90682;4;3504;4;69290;13942 
2512860;90679;2;3584;6;69207;11861 
2515453;90671;2;3512;3;69298;14431 
2515070;93222;3;3794;5;69273;13896 
2515116;90672;3;3842;16;69607;13452 
2512438;90665;3;3676;9;69269;11260 
2515415;90688;2;3771;8;69358;14059 
2515750;93244;2;3677;5;69379;14439 
2512151;90669;3;3524;2;69250;11203 
2513020;90666;3;3598;8;69265;12065 
2515056;90674;3;3554;4;69301;14074 
2516188;90674;5;3751;11;69361;14831 
2511729;90678;3;3570;9;69273;10683 
2516224;90677;2;3526;6;69299;15219 
2513141;90679;1;3581;5;69210;12089 
2513450;92994;3;3521;8;69374;12286 
2513571;90683;4;3765;2;69299;12307 
2513277;90674;3;3653;8;69261;12242 
2515470;90674;2;3763;6;69325;14232 
2515622;93245;3;3730;0;69420;14340 
2513596;90679;3;3762;3;69413;12379 
2517129;90661;2;3639;11;69556;15803 
2513410;93233;1;3607;3;69259;12461 
2515899;90681;2;3727;5;69345;14677 
2515156;90692;4;3610;8;69308;14047 
2517375;90685;2;3551;8;69308;16202 
2514302;90668;1;3705;8;69290;13158 
2513460;93238;1;3681;6;69199;12486 
2515449;90676;4;3748;4;69298;14416 
2514945;90664;3;5271;8;69274;13981 
2515073;93244;3;3792;8;69291;13890 
2517453;90676;4;3767;5;69374;16219 
2516067;90671;2;3735;3;69331;14730 
2512984;90699;2;3598;7;69338;11795 
2515390;90693;3;3585;7;69315;14268 
2514277;90670;2;5551;13;69269;11351 
2514908;90673;2;3740;11;69357;13589 
2516580;93240;4;3653;13;69439;15239 
2514553;92975;2;3743;16;69647;13054 
2511833;90670;2;3542;8;69227;10944 
2515229;90670;3;3731;5;69175;14193 
2516494;90671;3;3505;10;70099;14689 
2515453;93217;2;3559;5;69249;14539 
2514405;90803;2;3644;4;69491;13083 
2514669;90675;4;6219;13;69243;11063 
2516589;90670;3;3612;7;69264;15530 
2513711;93234;2;3517;3;69324;12673 
2515819;90671;2;3695;3;69245;14755 
2515422;90654;3;3727;16;69337;14274 
2514850;90660;4;3620;3;69190;14013 
2516694;90683;3;3693;7;69245;15697 
2518630;92973;2;4173;9;69190;16504 
2518697;93213;4;3709;9;69317;17679 
2516671;90706;3;3586;7;69546;15271 
2515709;90679;2;3653;11;69232;14635 
2511922;90675;2;3693;3;69251;10850 
2517023;93222;3;3705;15;69359;16012 
2515554;90680;2;3525;8;69301;14586 
2516336;90685;3;3503;12;69442;15105 
2516350;93240;3;3604;2;69318;15304 
2515432;90681;1;3571;8;69238;14432 
2517337;90678;3;3587;7;69288;16166 
2515985;93256;3;3591;2;69380;14706 
2517201;90662;2;3777;11;69322;16093 
