CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
2500387;0;417;1;43;1133702;0 
2501903;0;395;2;41;1133708;0 
2499031;0;429;1;50;1133711;0 
2502575;0;407;1;36;1133704;0 
2500603;0;414;2;39;1133706;0 
2500243;0;415;2;61;1133702;0 
2503315;0;589;2;58;1133719;0 
2501924;0;299;1;39;1133700;0 
2500924;0;286;1;40;1133697;0 
2502367;0;339;1;44;1133705;0 
2512887;0;307;1;35;1133704;0 
2505794;0;415;3;50;1133700;0 
2500415;0;309;1;44;1133702;0 
2502900;0;302;1;37;1133701;0 
2500576;0;321;1;34;1133701;0 
2515826;0;281;1;40;1133700;0 
2502220;0;345;1;36;1133710;0 
2503008;0;286;1;43;1133696;0 
2500762;0;347;1;56;1133699;0 
2502670;0;289;1;36;1133706;0 
2500126;0;279;1;43;1133699;0 
2502155;0;305;1;45;1133712;0 
2499847;0;345;1;41;1133703;0 
2502843;0;446;1;53;1133707;0 
2502108;0;333;1;40;1133702;0 
2516344;0;352;1;34;1133701;0 
2515371;0;331;1;38;1133707;0 
2503785;0;300;1;41;1133701;0 
2500913;0;353;1;51;1133704;0 
2499546;0;289;2;38;1133699;0 
2502850;0;301;1;31;1133696;0 
2501829;0;329;2;42;1133698;0 
2505346;0;300;1;38;1133702;0 
2503636;0;400;1;55;1133692;0 
2499229;0;302;2;49;1133693;0 
2505568;0;277;1;43;1133696;0 
2503169;0;354;1;39;1133708;0 
2500457;0;311;1;38;1133702;0 
2505661;0;497;2;56;1133698;0 
2500551;0;299;1;36;1133699;0 
2499585;0;298;1;43;1133702;0 
2515315;0;285;1;40;1133705;0 
2501400;0;292;1;39;1133707;0 
2507527;0;346;2;41;1133703;0 
2502686;0;313;1;39;1133698;0 
2502735;0;317;1;54;1133697;0 
2502010;0;298;2;39;1133700;0 
2501363;0;291;2;34;1133703;0 
2502152;0;313;2;46;1133702;0 
2500055;0;329;1;41;1133699;0 
2504358;0;447;2;52;1133701;0 
2501279;0;327;1;42;1133716;0 
2499522;0;322;2;46;1133704;0 
2502797;0;337;2;42;1133703;0 
2503203;0;297;2;31;1133704;0 
2504022;0;422;1;46;1133697;0 
2503701;0;306;2;48;1133703;0 
2499752;0;274;1;37;1133700;0 
2506942;0;294;3;47;1133708;0 
