CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
2513521;613337;393590;3443979;0;7;0 
2515700;613336;393587;3443970;0;5;0 
2517064;613338;393586;3443966;0;5;0 
2513172;613336;393586;3443966;0;5;0 
2514434;613335;393586;3443967;0;5;0 
2514762;613336;393587;3443983;0;7;0 
2512463;613339;393586;3443972;0;5;0 
2515745;613337;393586;3443968;0;5;0 
2512978;613335;393587;3443971;0;7;0 
2512457;613337;393587;3443966;0;6;0 
2516132;613335;393589;3443970;0;7;0 
2515527;613338;393586;3443968;0;5;0 
2515613;613336;393586;3443967;0;5;0 
2514720;613337;393587;3443967;0;5;0 
2513192;613336;393588;3443970;0;5;0 
2513588;613336;393588;3443979;0;7;0 
2512490;613337;393587;3443971;0;6;0 
2515338;613335;393588;3443971;0;5;0 
2512583;613338;393587;3443979;0;5;0 
2512953;613336;393586;3443971;0;6;0 
2519013;613336;393587;3443969;0;7;0 
2515649;613335;393586;3443957;0;5;0 
2516017;613336;393587;3443973;0;6;0 
2516097;613339;393586;3443967;0;6;0 
2514476;613335;393588;3443978;0;6;0 
2516455;613335;393588;3443972;0;7;0 
2515656;613336;393586;3443971;0;5;0 
2517559;613336;393587;3443970;0;7;0 
2515495;613335;393587;3443969;0;5;0 
2515735;613335;393586;3443968;0;5;0 
2514761;613336;393587;3443971;0;5;0 
2515804;613336;393586;3443970;0;5;0 
2516659;613336;393588;3443971;0;7;0 
2514793;613336;393587;3443967;0;5;0 
2512576;613336;393587;3443965;0;5;0 
2515492;613335;393587;3443970;0;6;0 
2516153;613335;393586;3443966;0;6;0 
2516620;613336;393588;3443965;0;8;0 
2516303;613335;393587;3443971;0;6;0 
2514565;613337;393587;3443968;0;6;0 
2515348;613335;393587;3443963;0;5;0 
2515084;613336;393586;3443972;0;5;0 
2514981;613337;393588;3443974;0;7;0 
2515675;613336;393586;3443972;0;6;0 
2514444;613337;393586;3443968;0;5;0 
2515024;613335;393587;3443979;0;5;0 
2513436;613335;393587;3443965;0;5;0 
2513977;613337;393587;3443977;0;6;0 
2514477;613336;393587;3443968;0;5;0 
2512738;613338;393586;3443968;0;5;0 
2516036;613336;393587;3443975;0;5;0 
2513340;613335;393587;3443970;0;6;0 
2516377;613337;393587;3443976;0;8;0 
2513336;613337;393587;3443984;0;7;0 
2516346;613337;393586;3443977;0;7;0 
2513095;613335;393586;3443976;0;5;0 
2515043;613335;393587;3443967;0;5;0 
2513251;613337;393586;3443974;0;6;0 
2513862;613336;393586;3443972;0;5;0 
2518203;613337;393588;3443975;0;7;0 
2515325;613336;393587;3443971;0;5;0 
2515718;613336;393587;3443965;0;5;0 
2514529;613336;393587;3443982;0;6;0 
2515627;613336;393586;3443973;0;5;0 
2517265;613338;393587;3443979;0;7;0 
2516114;613335;393587;3443969;0;6;0 
2514787;613335;393588;3443969;0;6;0 
2513011;613336;393586;3443973;0;5;0 
2515902;613335;393587;3443963;0;6;0 
2516413;613338;393587;3443981;0;7;0 
2513155;613337;393586;3443970;0;6;0 
2513274;613336;393586;3443970;0;5;0 
2515737;613337;393586;3443969;0;5;0 
2515378;613335;393588;3443972;0;5;0 
2515838;613336;393586;3443972;0;6;0 
2514145;613335;393587;3443971;0;5;0 
2515304;613335;393588;3443972;0;5;0 
2515330;613335;393586;3443970;0;6;0 
2513264;613337;393586;3443975;0;6;0 
2517698;613335;393587;3443984;0;9;0 
2514078;613336;393588;3443978;0;6;0 
2518092;613337;393587;3443981;0;7;0 
2515739;613335;393588;3443967;0;5;0 
2513156;613335;393586;3443973;0;5;0 
2515491;613336;393586;3443969;0;6;0 
2513411;613337;393586;3443954;0;5;0 
2514558;613336;393588;3443976;0;7;0 
2511777;613336;393586;3443974;0;5;0 
2513859;613335;393586;3443963;0;5;0 
2515788;613336;393587;3443975;0;6;0 
2515313;613338;393586;3443975;0;5;0 
2517248;613337;393588;3443972;0;8;0 
2513431;613336;393587;3443975;0;6;0 
2516318;613335;393588;3443973;0;6;0 
2515229;613335;393588;3443974;0;5;0 
2515020;613337;393587;3443967;0;5;0 
2516475;613336;393587;3443975;0;7;0 
2513774;613337;393587;3443974;0;6;0 
2513992;613336;393586;3443969;0;5;0 
2513585;613336;393587;3443967;0;5;0 
2516090;613336;393586;3443965;0;5;0 
2517145;613338;393587;3443973;0;6;0 
2515316;613337;393586;3443969;0;5;0 
2516089;613335;393586;3443968;0;5;0 
2516301;613336;393586;3443967;0;5;0 
2517324;613336;393586;3443970;0;6;0 
2515314;613335;393588;3443974;0;8;0 
2515691;613337;393589;3443975;0;6;0 
2516591;613336;393586;3443977;0;7;0 
2515249;613337;393587;3443972;0;6;0 
2513984;613338;393587;3443973;0;6;0 
2517753;613338;393588;3443974;0;7;0 
