CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
2515545;90667;0;3741;9;69254;14412 
2512285;90680;1;3573;8;69218;11340 
2514858;90688;3;3489;11;69329;13773 
2515936;90665;2;3668;5;69347;14874 
2512563;90687;3;3600;3;69355;11427 
2516731;90676;5;3817;18;69351;15455 
2512936;90683;4;3756;7;69347;11631 
2516741;93248;3;3651;8;69341;15510 
2516242;93180;3;3474;7;69598;15164 
2513590;90676;3;3856;3;69342;12391 
2516528;90693;2;3749;12;69391;15149 
2515954;90686;2;3528;10;69332;14766 
2513080;90673;2;3621;8;69289;12007 
2515475;90678;1;3520;3;69227;14547 
2512899;90671;3;3668;11;69217;11899 
2516750;91385;2;3794;9;69461;15441 
2512530;90682;2;3698;2;69287;11449 
2516294;92734;2;3407;2;69299;15272 
2512168;90673;3;3603;8;69255;11152 
2514984;90689;2;3545;10;69329;13865 
2513785;90668;2;3740;10;69268;12662 
2513334;90676;2;4670;5;69249;11408 
2515016;90688;4;5482;7;69392;11912 
2514836;90672;1;3573;3;69219;13873 
2515384;90661;5;3609;5;69300;14325 
2517303;93219;4;3776;26;69508;15857 
2515437;93239;3;3541;7;69366;14331 
2513994;92983;3;3589;2;69390;12787 
2514382;90678;2;5287;4;69283;11622 
2513312;90681;2;3664;10;69267;12252 
2516573;90673;4;3896;8;69481;15233 
2513145;90674;5;3887;10;69248;11889 
2518441;90666;1;3597;7;69393;17127 
2515086;90667;2;4829;5;69222;13141 
2512628;90671;2;3818;8;69222;11494 
2516547;93238;2;3686;11;69448;15206 
2515348;90691;2;3621;2;69313;14175 
2514775;90665;2;3564;7;69215;13905 
2515599;90672;1;3665;11;69270;14472 
2514095;90668;4;3595;8;69339;13011 
2517711;90664;0;3838;7;69299;16536 
2512311;93239;3;3544;8;69326;11191 
2515037;90658;1;3651;8;69239;14172 
2512054;93245;2;3684;5;69373;10798 
2515212;90679;2;3563;7;69231;14223 
2513564;92997;3;3723;16;69507;12035 
2514800;90691;2;3577;5;69390;13603 
2515029;90680;3;6441;7;69223;11213 
2512243;90667;1;3691;8;69295;11102 
2515035;90660;2;3589;7;69228;14126 
2516188;93223;3;6287;6;69441;12260 
2515765;90681;2;3551;7;69332;14637 
2519437;93246;2;3702;2;69288;17506 
2515432;90672;2;4327;11;69236;14519 
2513039;90667;2;3631;5;69225;12166 
2513480;90659;2;3680;9;69286;12376 
2515082;90682;3;3633;11;69289;13949 
2515524;90692;3;3611;7;69867;13736 
2512197;90675;1;3562;9;69230;11241 
2512033;90665;2;3606;2;69252;11089 
2515768;90661;3;3569;2;69415;14679 
2514779;90676;2;5787;2;69317;11509 
2513521;90660;4;3708;3;69397;12359 
2514971;90662;3;3605;7;69210;14046 
2513669;93239;4;3529;10;69260;12686 
2514794;90663;3;3725;20;69463;13472 
2515026;90673;3;3528;6;69200;14099 
2516805;90695;2;3761;4;69460;15388 
2514890;90669;2;3847;3;69280;13785 
2515212;93255;2;3633;9;69398;13906 
2516067;90676;3;3640;14;69373;14914 
2515942;90673;4;3592;13;69311;14895 
2514708;90668;2;3843;10;69411;13313 
2512066;93243;3;3545;6;69349;10921 
2515965;90674;2;3559;11;69237;15036 
2515957;90668;4;5303;6;69257;15053 
