CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
2511942;0;70274;9589;320;0;110168 
2512247;0;69399;11036;267;0;110164 
2511932;0;69522;10628;301;0;110167 
2512407;0;69627;10973;319;0;110170 
2511648;0;69433;9971;268;0;110172 
2511788;0;69522;10541;266;0;110165 
2514646;0;69705;12946;354;0;110152 
2513523;0;69380;12130;196;0;110179 
2515796;0;69448;13321;369;0;110163 
2513161;0;69395;11867;208;0;112731 
2514139;0;70448;11991;199;0;110176 
2517917;0;69342;16921;207;0;110159 
2513688;0;69293;12738;188;0;110163 
2515663;0;69271;14574;198;0;112732 
2515054;0;69237;13967;201;0;112727 
2515429;0;69347;12590;230;0;112732 
2517845;0;72228;13599;482;0;110160 
2512695;0;69265;11688;221;0;110170 
2516086;0;69252;14757;221;0;110162 
2516577;0;69318;15385;207;0;112727 
2515032;0;69217;14158;203;0;110175 
2516436;0;69330;15186;206;0;110168 
2513653;0;69223;12545;206;0;110170 
2516278;0;69340;12752;276;0;112720 
2512033;0;69246;11052;204;0;110179 
2512604;0;69241;11615;189;0;112730 
2515693;0;69287;14658;187;0;110173 
2515958;0;69344;14802;202;0;110177 
2514698;0;69289;13445;209;0;110170 
2515505;0;69215;14490;219;0;110174 
2514377;0;69308;13260;201;0;110171 
2515308;0;69260;14280;213;0;110179 
2515080;0;69284;14009;212;0;110174 
2517607;0;69462;16252;282;0;110162 
2514807;0;69348;12735;213;0;110160 
2516627;0;69306;15474;223;0;110182 
2516559;0;69228;15542;203;0;110167 
2515011;0;69374;13863;205;0;112726 
2516315;0;69361;14987;232;0;110172 
2515736;0;69282;13583;193;0;110172 
2513086;0;69315;12129;212;0;110171 
2513263;0;69331;11941;186;0;110165 
2515595;0;69282;14466;188;0;112732 
2515191;0;69436;13814;274;0;110160 
2515375;0;69215;12391;220;0;110173 
2516690;0;69303;15573;171;0;110172 
2515112;0;69273;13981;175;0;110175 
2513319;0;69226;12243;190;0;110178 
2517478;0;69401;16136;252;0;110162 
2515110;0;69298;14088;191;0;110175 
2515642;0;69448;14234;190;0;112728 
2517440;0;69318;16289;211;0;110168 
2515713;0;69375;14516;210;0;110173 
2517243;0;69387;16222;269;0;110168 
2515125;0;70216;13279;214;0;110160 
2516335;0;69351;12856;241;0;110166 
2515311;0;69241;14025;354;0;110178 
2513087;0;69286;11702;168;0;110170 
2513664;0;69310;12560;190;0;110187 
2512944;0;69295;11791;196;0;110171 
2516924;0;69576;14458;252;0;110169 
2513844;0;69303;12810;190;0;110168 
2512953;0;69393;11788;215;0;110170 
2515591;0;69335;13099;198;0;112729 
2516093;0;69276;14949;191;0;110178 
2515444;0;69426;14055;261;0;110171 
2514891;0;69270;11563;189;0;110176 
2513028;0;69238;12140;186;0;110170 
2514621;0;69260;13677;188;0;110172 
2516380;0;69270;15269;216;0;110172 
2518470;0;69380;17156;282;0;110169 
2513604;0;69266;12463;220;0;110170 
2514231;0;70382;11933;211;0;112728 
2515184;0;69321;14031;219;0;112727 
2514895;0;69470;13411;220;0;110167 
2515813;0;69352;13629;218;0;110163 
2514566;0;69175;13669;196;0;110169 
2512407;0;69256;11474;216;0;112726 
2515567;0;69374;14191;218;0;112728 
2515695;0;69296;11848;212;0;110167 
2515201;0;69473;13622;269;0;110172 
2516052;0;69235;15114;176;0;110178 
2513765;0;69239;12748;188;0;110173 
2515597;0;69242;14846;203;0;110170 
2514772;0;69237;13955;212;0;110180 
2515996;0;69475;14507;370;0;110163 
2515387;0;69248;14422;234;0;110166 
2516605;0;69242;15492;205;0;112508 
2517316;0;69254;13959;227;0;110172 
2515670;0;69331;14799;232;0;110171 
2515013;0;69591;13635;252;0;110167 
2513444;0;69355;12304;191;0;112721 
2515729;0;69242;14774;211;0;110174 
2514047;0;69279;12916;195;0;110172 
2514832;0;69223;13866;183;0;110173 
2516561;0;69284;15602;241;0;110169 
2515556;0;69323;14422;191;0;112731 
2513657;0;69326;12665;272;0;110175 
2512443;0;69274;11467;194;0;110162 
2515113;0;69195;14213;203;0;110174 
2513899;0;69314;12883;191;0;112728 
2515354;0;69246;14480;163;0;110162 
2520419;0;69475;19001;254;0;110379 
2512778;0;69270;11667;200;0;112732 
2518554;0;69620;16498;352;0;111910 
2516209;0;69405;14725;215;0;110178 
2516852;0;69538;15377;272;0;110169 
2515541;0;69358;14218;221;0;110175 
2514387;0;69411;13180;254;0;110165 
2516495;0;69342;15373;226;0;112717 
2513631;0;69445;12385;245;0;112726 
2512982;0;69245;12088;180;0;110176 
2515207;0;69388;11957;185;0;112734 
2516751;0;69396;15269;399;0;110171 
2512558;0;69248;11585;220;0;110168 
2517780;0;69405;16582;228;0;110158 
2512119;0;69237;11108;193;0;110174 
2514081;0;69260;13030;174;0;110177 
2515370;0;69293;14136;385;0;110181 
2516311;0;69283;15139;216;0;110173 
2514839;0;69338;13549;241;0;110157 
2515271;0;69306;14067;206;0;110169 
2512959;0;69311;11912;194;0;112728 
2515592;0;69216;14521;375;0;110166 
2514404;0;69282;12617;204;0;112732 
2516425;0;69294;15274;244;0;110162 
2514160;0;69363;12877;219;0;112728 
2515347;0;69286;14277;198;0;110168 
2517610;0;69406;16494;175;0;112724 
2514713;0;69264;13581;223;0;112721 
2514223;0;69436;12486;673;0;110163 
2512943;0;69208;12093;201;0;110163 
2515785;0;69426;14413;206;0;112619 
2514940;0;69258;13992;207;0;110168 
2512646;0;69272;11662;213;0;110180 
2513602;0;69326;12473;218;0;110167 
2512512;0;69295;11386;189;0;110171 
2512645;0;69273;11661;180;0;110172 
2514418;0;69376;13153;208;0;110171 
2515418;0;69360;14204;190;0;110166 
2516996;0;69451;15782;244;0;110171 
2512323;0;69226;11597;170;0;110178 
2515903;0;69288;14723;197;0;110173 
2515413;0;69331;14226;216;0;110173 
2515176;0;69355;13879;206;0;110168 
2519427;0;69619;16678;1393;0;110169 
2517145;0;69337;15981;211;0;112732 
2516634;0;69473;15289;228;0;112471 
2515195;0;69258;14355;219;0;110168 
2516253;0;69321;15100;233;0;110162 
2520229;0;69535;18761;241;0;110160 
2513919;0;69204;12962;216;0;110162 
2514649;0;69470;13189;230;0;110165 
2513602;0;69302;12641;220;0;110176 
2512799;0;69257;11642;199;0;112730 
2515587;0;69262;14565;213;0;110173 
2515139;0;69288;13962;206;0;110172 
2516183;0;69397;14000;241;0;110159 
2516793;0;69256;15734;190;0;110177 
2514560;0;69210;13531;185;0;110174 
2515272;0;69323;14083;210;0;110167 
2515694;0;69199;14589;222;0;110179 
2516187;0;69328;13969;249;0;110170 
2515781;0;69249;12071;210;0;110175 
2516375;0;69343;15109;236;0;110168 
2515801;0;69739;14354;212;0;110170 
2516381;0;69367;15186;228;0;112722 
2515807;0;69471;14353;273;0;110802 
2515006;0;69410;13813;182;0;110166 
2516039;0;69388;11794;879;0;110169 
2515044;0;69264;12994;215;0;110168 
2516157;0;69267;14802;216;0;110164 
2517526;0;69320;16543;206;0;110167 
2512044;0;69320;10792;230;0;110177 
2535555;0;79160;12664;261;0;110168 
2513589;0;69302;12498;207;0;110174 
2512823;0;69368;11631;220;0;110175 
2513036;0;69372;11752;205;0;110170 
2515291;0;69311;14282;206;0;110167 
2516169;0;69409;14847;407;0;110166 
2513271;0;69225;12173;228;0;110168 
2517139;0;69566;15758;247;0;110168 
2514678;0;69376;13459;212;0;110161 
2515523;0;69288;14387;231;0;110161 
2519072;0;69911;17216;282;0;110159 
2517170;0;69277;16213;176;0;110173 
2512508;0;69278;11543;204;0;110179 
2514297;0;69324;12989;214;0;110177 
