CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
2523667;613336;393588;3443973;0;6;0 
2515376;613336;393586;3443974;0;6;0 
2513933;613336;393586;3443962;0;5;0 
2516772;613337;393586;3443976;0;8;0 
2513114;613337;393586;3443974;0;6;0 
2514415;613338;393587;3443972;0;8;0 
2513852;613335;393587;3443967;0;5;0 
2515691;613335;393586;3443964;0;5;0 
2515814;613337;393587;3443975;0;5;0 
2515775;613337;393586;3443967;0;6;0 
2518271;613335;393588;3443980;0;6;0 
2515905;613336;393588;3443967;0;5;0 
2515921;613336;393587;3443974;0;5;0 
2512915;613335;393588;3443973;0;5;0 
2514096;613336;393587;3443970;0;5;0 
2516824;613336;393589;3443975;0;8;0 
2514016;613336;393586;3443971;0;6;0 
2514945;613338;393587;3443970;0;7;0 
2512781;613336;393587;3443980;0;6;0 
2516662;613336;393586;3443976;0;7;0 
2516580;613339;393587;3443971;0;8;0 
2512764;613336;393586;3443974;0;5;0 
2517078;613335;393587;3443967;0;5;0 
2513421;613335;393587;3443967;0;5;0 
2515297;613335;393586;3443967;0;5;0 
2516649;613335;393588;3443973;0;7;0 
2515453;613336;393587;3443977;0;5;0 
2515373;613336;393589;3443974;0;5;0 
2512636;613337;393587;3443968;0;5;0 
2515240;613335;393587;3443971;0;5;0 
2516109;613336;393589;3443974;0;6;0 
2513345;613337;393587;3443968;0;5;0 
2514038;613338;393587;3443974;0;8;0 
2516222;613336;393587;3443971;0;6;0 
2514817;613335;393586;3443963;0;5;0 
2515970;613336;393586;3443977;0;6;0 
2516212;613337;393586;3443981;0;7;0 
2516808;613336;393587;3443971;0;7;0 
2513559;613336;393587;3443973;0;5;0 
2515166;613337;393586;3443971;0;5;0 
2515581;613337;393586;3443972;0;5;0 
2512379;613336;393587;3443974;0;5;0 
2516736;613335;393587;3443975;0;7;0 
2515021;613336;393586;3443968;0;5;0 
2516147;613336;393586;3443972;0;6;0 
2515498;613336;393586;3443970;0;5;0 
2515095;613335;393587;3443961;0;5;0 
2518337;613335;393589;3443976;0;8;0 
2516032;613336;393588;3443968;0;5;0 
2515237;613335;393586;3443968;0;5;0 
2515888;613336;393587;3443973;0;6;0 
2516050;613336;393586;3443971;0;6;0 
2517101;613337;393587;3443988;0;9;0 
2516298;613336;393586;3443978;0;6;0 
2515803;613338;393586;3443975;0;6;0 
2514652;613336;393586;3443974;0;5;0 
2512574;613337;393587;3443972;0;5;0 
2518463;613337;393586;3443979;0;6;0 
2515464;613337;393587;3443972;0;5;0 
2515166;613335;393588;3443966;0;5;0 
2513340;613336;393586;3443978;0;6;0 
2513658;613337;393587;3443966;0;5;0 
2517331;613338;393587;3443977;0;7;0 
2512454;613337;393587;3443968;0;5;0 
2512975;613337;393588;3443975;0;5;0 
2513828;613335;393586;3443973;0;5;0 
2512289;613336;393586;3443973;0;5;0 
2514355;613336;393586;3443978;0;7;0 
2515144;613337;393586;3443975;0;7;0 
2514706;613338;393588;3443979;0;9;0 
2513390;613336;393587;3443971;0;5;0 
2513233;613336;393587;3443980;0;7;0 
2513593;613335;393586;3443970;0;5;0 
2513318;613338;393586;3443967;0;5;0 
2517077;613335;393586;3443970;0;6;0 
2515109;613336;393587;3443974;0;5;0 
2512984;613337;393587;3443970;0;5;0 
2512900;613336;393586;3443966;0;5;0 
2515509;613335;393587;3443964;0;5;0 
2516032;613336;393588;3443974;0;7;0 
2514885;613335;393587;3443969;0;5;0 
2515451;613337;393587;3443964;0;5;0 
2515655;613337;393587;3443966;0;5;0 
2512955;613337;393586;3443977;0;6;0 
2518977;613337;393586;3443980;0;8;0 
2515812;613337;393586;3443974;0;6;0 
2516192;613337;393586;3443972;0;6;0 
2512353;613336;393586;3443968;0;6;0 
2515124;613335;393587;3443973;0;6;0 
2514429;613335;393589;3443982;0;8;0 
2516363;613336;393586;3443966;0;5;0 
2513550;613336;393586;3443963;0;5;0 
2512500;613335;393586;3443973;0;5;0 
2513370;613336;393587;3443967;0;5;0 
2513803;613336;393587;3443974;0;6;0 
2512901;613336;393588;3443973;0;6;0 
2515458;613336;393587;3443980;0;6;0 
2514876;613337;393586;3443969;0;5;0 
2517005;613335;393586;3443970;0;5;0 
2515829;613336;393587;3443982;0;7;0 
2514103;613335;393587;3443967;0;6;0 
2515319;613336;393588;3443981;0;8;0 
2516693;613335;393586;3443971;0;6;0 
2516183;613335;393586;3443974;0;6;0 
2515546;613335;393587;3443972;0;5;0 
2512378;613336;393587;3443975;0;5;0 
2517172;613335;393589;3443976;0;8;0 
2512772;613335;393589;3443967;0;5;0 
2516389;613335;393586;3443967;0;5;0 
2514331;613337;393586;3443964;0;5;0 
2516732;613335;393587;3443968;0;5;0 
2519284;613338;393588;3443980;0;7;0 
2516854;613338;393587;3443977;0;5;0 
2512979;613335;393587;3443968;0;5;0 
2516597;613336;393586;3443970;0;6;0 
2515027;613338;393586;3443966;0;5;0 
2516404;613336;393589;3443972;0;7;0 
2512367;613335;393586;3443969;0;5;0 
2513687;613335;393586;3443964;0;5;0 
2513798;613335;393587;3443976;0;5;0 
2516425;613336;393586;3443972;0;5;0 
2514328;613336;393587;3443972;0;6;0 
2515035;613335;393588;3443968;0;6;0 
2512570;613337;393586;3443972;0;5;0 
2515669;613337;393586;3443972;0;6;0 
2515287;613338;393586;3443978;0;6;0 
2517848;613337;393588;3443977;0;9;0 
2513957;613335;393587;3443975;0;6;0 
2513406;613337;393586;3443975;0;6;0 
2515826;613335;393586;3443971;0;5;0 
2513001;613336;393586;3443973;0;6;0 
2514128;613337;393586;3443965;0;6;0 
2513000;613335;393586;3443968;0;5;0 
2512229;613338;393586;3443969;0;5;0 
2518043;613335;393587;3443973;0;5;0 
2512341;613335;393586;3443967;0;5;0 
2517360;613337;393588;3443983;0;7;0 
2512422;613335;393587;3443971;0;5;0 
2515080;613335;393587;3443980;0;6;0 
2512722;613336;393587;3443969;0;5;0 
2516707;613336;393587;3443971;0;5;0 
2516786;613337;393587;3443982;0;8;0 
2516863;613337;393586;3443971;0;6;0 
2514541;613338;393587;3443977;0;9;0 
2515726;613336;393587;3443966;0;6;0 
2515402;613338;393587;3443970;0;6;0 
2513326;613336;393586;3443961;0;5;0 
2513470;613336;393586;3443968;0;6;0 
2514043;613338;393587;3443974;0;6;0 
2515224;613337;393587;3443968;0;6;0 
2515201;613336;393586;3443972;0;5;0 
2515070;613336;393587;3443971;0;5;0 
2515849;613336;393587;3443969;0;5;0 
2517198;613338;393587;3443977;0;7;0 
2512447;613337;393586;3443970;0;5;0 
2512920;613336;393588;3443972;0;5;0 
2513317;613337;393586;3443969;0;5;0 
2512936;613338;393587;3443973;0;6;0 
2518049;613337;393587;3443973;0;7;0 
2514101;613337;393586;3443975;0;6;0 
2513721;613338;393586;3443972;0;6;0 
2512876;613335;393586;3443964;0;5;0 
2513443;613336;393588;3443969;0;6;0 
2517539;613336;393588;3443980;0;8;0 
2516077;613336;393586;3443975;0;5;0 
2515890;613338;393586;3443971;0;6;0 
2515818;613336;393588;3443969;0;5;0 
2513585;613336;393587;3443969;0;5;0 
2512793;613335;393588;3443978;0;6;0 
2515925;613335;393586;3443970;0;5;0 
2516604;613338;393587;3443968;0;6;0 
2514067;613337;393586;3443967;0;5;0 
2514277;613337;393586;3443970;0;5;0 
2517212;613336;393588;3443979;0;8;0 
2515332;613336;393587;3443966;0;6;0 
2516466;613336;393588;3443989;0;9;0 
2515921;613335;393587;3443974;0;6;0 
2516736;613338;393586;3443966;0;6;0 
2516119;613336;393587;3443975;0;6;0 
2513846;613335;393587;3443971;0;6;0 
2517252;613338;393589;3443977;0;8;0 
2517035;613336;393588;3443970;0;5;0 
2514782;613335;393588;3443972;0;5;0 
2516722;613335;393590;3443973;0;7;0 
2517017;613336;393588;3443970;0;8;0 
2516065;613335;393587;3443975;0;6;0 
2515800;613336;393586;3443975;0;6;0 
2515525;613336;393586;3443969;0;5;0 
2515708;613335;393588;3443970;0;5;0 
2515658;613336;393587;3443973;0;7;0 
2515497;613335;393586;3443970;0;5;0 
2514237;613336;393588;3443970;0;6;0 
2513312;613336;393588;3443964;0;5;0 
2512158;613337;393586;3443966;0;5;0 
2518127;613336;393587;3443974;0;6;0 
2516544;613337;393586;3443967;0;5;0 
2516846;613335;393588;3443967;0;6;0 
2513988;613337;393586;3443971;0;6;0 
2515047;613336;393587;3443967;0;5;0 
2517175;613337;393588;3443983;0;8;0 
2514147;613336;393587;3443971;0;6;0 
2516854;613335;393586;3443977;0;7;0 
2515944;613338;393586;3443975;0;6;0 
2514144;613337;393586;3443969;0;5;0 
2514903;613337;393586;3443964;0;5;0 
2512824;613337;393586;3443966;0;5;0 
2516692;613337;393588;3443976;0;7;0 
2515480;613335;393587;3443972;0;5;0 
2512416;613337;393586;3443968;0;5;0 
2514926;613335;393586;3443973;0;5;0 
2513017;613337;393586;3443976;0;6;0 
2516599;613336;393588;3443966;0;8;0 
2515195;613338;393587;3443970;0;6;0 
2512602;613338;393586;3443969;0;6;0 
2512448;613337;393586;3443975;0;5;0 
2513318;613335;393588;3443973;0;5;0 
2517004;613337;393588;3443974;0;7;0 
2514971;613335;393586;3443973;0;5;0 
2513575;613335;393588;3443971;0;7;0 
2512228;613336;393586;3443968;0;5;0 
2515556;613336;393587;3443970;0;5;0 
2516735;613336;393588;3443972;0;7;0 
2515727;613335;393586;3443974;0;5;0 
2512949;613335;393588;3443968;0;6;0 
2515051;613336;393587;3443975;0;5;0 
2515338;613335;393588;3443965;0;5;0 
2517971;613337;393588;3443978;0;7;0 
2516136;613335;393587;3443970;0;5;0 
2516384;613336;393586;3443971;0;5;0 
2515284;613336;393587;3443968;0;6;0 
2514283;613337;393586;3443968;0;5;0 
2516527;613337;393586;3443973;0;7;0 
2512691;613337;393587;3443967;0;6;0 
2521977;613336;393589;3443981;0;9;0 
2516227;613336;393586;3443969;0;6;0 
2515899;613336;393586;3443968;0;6;0 
2515307;613335;393588;3443968;0;5;0 
2514499;613337;393586;3443972;0;6;0 
2515962;613335;393587;3443975;0;6;0 
2514996;613337;393586;3443974;0;5;0 
2513643;613337;393586;3443974;0;5;0 
2517086;613335;393588;3443968;0;5;0 
2515342;613336;393586;3443974;0;5;0 
