CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
2513338;159454;0;0;0;0;0 
2513138;158657;0;0;0;0;0 
2515333;159436;0;0;0;0;0 
2512909;159432;0;0;0;1;0 
2513065;159453;0;0;0;0;0 
2514169;151105;0;0;0;0;0 
2515248;151193;0;0;0;0;0 
2516553;151186;0;0;0;0;0 
2513980;159510;0;0;0;0;0 
2515501;159621;0;0;0;0;0 
2516767;161502;0;0;0;6;0 
2512530;159509;0;0;0;0;0 
2513036;151442;0;0;0;0;0 
2512670;151302;0;0;0;1;0 
2516662;151262;0;0;0;0;0 
2518149;159114;0;0;0;1;0 
2515806;151451;0;0;0;0;0 
2516428;151109;0;0;0;0;0 
2512026;159646;0;0;0;0;0 
2513297;158654;0;0;0;0;0 
2514223;151372;0;0;0;0;0 
2512524;159571;0;0;0;0;0 
2515124;167135;0;0;0;1;0 
2512678;151150;0;0;0;1;0 
2515396;159565;0;0;0;0;0 
2514072;151186;0;0;0;0;0 
2515556;151341;0;0;0;0;0 
2514900;159601;0;0;0;0;0 
2511892;151090;0;0;0;0;0 
2515440;158685;0;0;0;0;0 
2515283;159260;0;0;0;0;0 
2517360;159323;0;0;0;0;0 
2513333;151098;0;0;0;0;0 
2512972;151358;0;0;0;0;0 
2515862;159384;0;0;0;0;0 
2516880;159312;0;0;0;0;0 
2515661;151309;0;0;0;0;0 
2515411;151427;0;0;0;0;0 
2514869;158833;0;0;0;0;0 
2515500;159271;0;0;0;0;0 
2513750;159594;0;0;0;0;0 
2514904;159543;0;0;0;0;0 
2516086;159391;0;0;0;1;0 
2514424;156545;0;0;0;0;0 
2514751;151137;0;0;0;0;0 
2515293;149128;0;0;0;0;0 
2512317;151128;0;0;0;0;0 
2512975;166444;0;0;0;0;0 
2513525;148853;0;0;0;0;0 
2515190;159261;0;0;0;0;0 
2514459;165936;0;0;0;0;0 
2513528;159453;0;0;0;0;0 
2516532;162017;0;0;0;0;0 
2514539;159146;0;0;0;0;0 
2512136;159499;0;0;0;0;0 
2514814;159421;0;0;0;0;0 
2514179;151236;0;0;0;0;0 
2520846;149506;0;0;0;0;0 
2514479;151035;0;0;0;0;0 
2515201;151410;0;0;0;0;0 
2513268;151051;0;0;0;0;0 
2513270;151201;0;0;0;0;0 
2513627;165944;0;0;0;0;0 
2517255;158919;0;0;0;2;0 
2512680;151357;0;0;0;0;0 
2512111;159497;0;0;0;0;0 
2514004;159238;0;0;0;0;0 
2517792;159079;0;0;0;0;0 
2516891;159440;0;0;0;0;0 
2521282;147235;0;0;0;0;0 
2516806;159509;0;0;0;0;0 
2515409;159534;0;0;0;0;0 
2515295;151326;0;0;0;0;0 
2515256;159636;0;0;0;0;0 
2516309;159200;0;0;0;0;0 
2512295;151306;0;0;0;0;0 
2514653;159551;0;0;0;0;0 
2516185;151062;0;0;0;0;0 
2515141;159720;0;0;0;0;0 
2515817;159407;0;0;0;0;0 
2515297;158993;0;0;0;0;0 
2514469;151298;0;0;0;0;0 
2516182;158643;0;0;0;0;0 
2513885;151102;0;0;0;0;0 
2517456;165973;0;0;0;0;0 
2516291;159308;0;0;0;0;0 
2514794;158952;0;0;0;0;0 
2515108;158927;0;0;0;0;0 
2515726;159644;0;0;0;0;0 
2516535;150874;0;0;0;0;0 
2512335;159498;0;0;0;0;0 
2515825;157567;0;0;0;0;0 
2514504;159585;0;0;0;0;0 
2512786;151241;0;0;0;1;0 
2512965;156656;0;0;0;0;0 
2513060;151163;0;0;0;2;0 
2518293;158305;0;0;0;0;0 
2513884;151178;0;0;0;0;0 
2515501;158644;0;0;0;0;0 
2515690;158011;0;0;0;0;0 
2515814;151119;0;0;0;1;0 
2517575;150960;0;0;0;0;0 
2514138;159543;0;0;0;0;0 
2515724;159591;0;0;0;0;0 
2514697;159332;0;0;0;0;0 
2515500;158662;0;0;0;0;0 
2513235;158805;0;0;0;1;0 
2514708;159507;0;0;0;0;0 
2515682;159427;0;0;0;0;0 
