CYCLES;0x13;0x14;0x15;0x16;0x17;0x18
2511864;1133697;1961106;54;388;103;27 
2514703;1133696;1970417;51;384;102;23 
2525926;1133697;1969486;51;1330;104;30 
2516396;1133697;1968819;59;527;105;37 
2516324;1133698;1969641;50;359;105;34 
2516432;1133698;1968830;64;514;106;38 
2516095;1133696;1977238;40;371;106;37 
2515937;1133698;1968751;40;418;102;39 
2515225;1133699;1977294;34;322;102;38 
2512246;1133697;1968699;48;375;103;31 
2516543;1133696;1968863;76;508;107;51 
2514609;1133694;1961140;43;390;100;25 
2513656;1133698;1977370;39;375;101;32 
2519802;1133697;1969896;58;729;100;46 
2513419;1133696;1977345;56;397;105;33 
2516331;1133697;1968762;52;483;107;40 
2512466;1133700;1968726;47;387;101;23 
2513336;1133696;1968602;41;396;102;37 
2515334;1133695;1977280;57;410;103;40 
2514718;1133696;1968720;43;377;101;39 
2515407;1133696;1977375;53;435;101;31 
2515244;1133697;1968618;47;401;102;33 
2515887;1133697;1977248;34;330;103;35 
2516703;1133695;1977170;49;434;102;35 
2512099;1133697;1968908;49;409;102;25 
2515941;1133700;1978125;50;465;103;35 
2513354;1133697;1977265;54;399;109;37 
2512144;1133698;1969561;41;353;104;33 
2512549;1133699;1968769;39;398;105;38 
2516628;1133700;1977239;56;403;103;29 
2513876;1133697;1979632;59;445;101;31 
2514852;1133697;1969097;48;439;103;35 
2516685;1133698;1968679;57;517;107;36 
2514930;1133696;1971107;46;392;103;37 
2512817;1133698;1969978;102;345;102;26 
2515752;1133698;1968774;38;381;107;40 
2515114;1133696;1977177;38;375;101;53 
2513920;1133697;1968767;59;458;107;30 
2512976;1133697;1968669;56;408;103;44 
2513293;1133700;1977322;36;360;103;29 
2513466;1133699;1977283;50;390;105;35 
2515120;1133696;1969524;44;362;105;33 
2517650;1133699;1971633;49;473;108;34 
2515436;1133696;1968867;53;377;106;44 
2513494;1133698;1968754;42;396;101;31 
2513009;1133697;1961077;70;442;102;33 
2515117;1133696;1969522;41;364;103;33 
2514586;1133697;1968712;64;552;110;33 
2516631;1133698;1977189;59;480;104;35 
2515233;1133697;1977288;40;355;106;38 
2513740;1133697;1977231;49;370;101;28 
2515270;1133698;1977165;41;390;105;28 
2516115;1133700;1968952;62;465;105;42 
2515630;1133698;1977274;50;350;100;27 
2515600;1133699;1969278;45;367;106;50 
2515590;1133698;1977314;49;351;103;28 
2515512;1133699;1977362;54;368;99;32 
2515933;1133697;1968778;52;448;106;38 
2513072;1133698;1977327;54;376;104;38 
2512723;1133696;1961650;67;379;102;40 
2514338;1133698;1977999;65;439;105;28 
2515027;1133699;1977326;48;376;101;28 
2516058;1133699;1968821;61;527;102;32 
2515715;1133699;1969608;63;455;104;39 
2515128;1133700;1977382;68;510;107;37 
2514735;1133695;1979506;45;397;102;33 
2512431;1133697;1977179;39;394;102;25 
2512297;1133697;1968699;43;380;103;36 
2515211;1133698;1968887;43;389;104;32 
2520276;1133700;1961993;60;798;102;34 
2514963;1133697;1961143;52;380;102;46 
2512598;1133699;1968710;47;444;104;34 
2516655;1133695;1968649;42;432;104;33 
2512563;1133696;1968798;50;395;101;38 
2515912;1133697;1977344;50;414;105;43 
2513122;1133700;1968837;43;368;104;38 
2514908;1133698;1968762;44;401;104;24 
2515568;1133697;1969630;57;440;102;30 
2515765;1133699;1968785;64;481;98;35 
2514600;1133698;1968733;62;552;110;30 
2515625;1133699;1981814;53;347;102;35 
2512855;1133694;1979282;46;396;102;31 
2515662;1133697;1968824;43;415;102;36 
2515000;1133698;1976757;41;565;103;37 
2515645;1133698;1968797;58;495;102;27 
2513260;1133698;1977342;54;356;102;33 
2514847;1133700;1977222;47;375;101;35 
2513047;1133699;1969893;41;372;105;35 
2515437;1133698;1968704;59;403;103;28 
2515483;1133699;1968817;55;517;100;31 
2512261;1133697;1968657;63;428;107;39 
2513897;1133700;1977313;44;446;105;35 
2516379;1133697;1968773;49;464;102;35 
2515925;1133698;1968805;41;386;102;29 
2514945;1133699;1968764;50;376;103;37 
2514361;1133696;1968799;59;456;104;35 
2513847;1133697;1968927;53;502;103;40 
2514722;1133696;1972098;49;343;104;40 
2513387;1133696;1968831;33;372;104;27 
2515209;1133697;1977331;60;413;105;44 
2515692;1133696;1979531;32;351;101;26 
2513770;1133699;1979730;71;483;104;44 
2515454;1133699;1977321;51;378;105;42 
2517294;1133699;1977178;49;413;103;35 
2512289;1133696;1977244;42;374;104;34 
2515297;1133699;1968751;49;378;103;40 
2513562;1133700;1985920;74;487;107;40 
2514341;1133696;1977259;56;455;102;29 
2514605;1133697;1968926;45;393;105;29 
2515095;1133696;1977182;44;399;101;31 
2512021;1133699;1979488;34;338;102;38 
