CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
2516617;112755;6;6;3445;0;0 
2513436;112754;7;7;3435;0;0 
2512600;112754;6;6;3436;0;0 
2514030;112754;8;8;3439;0;0 
2515653;112754;6;6;3430;0;0 
2513919;112754;10;10;3421;0;0 
2515950;112754;7;7;3416;0;0 
2514817;112754;6;6;3422;0;0 
2516978;112754;6;6;3428;0;0 
2515886;112754;6;6;3430;0;0 
2518124;112754;9;9;3422;0;0 
2515533;112755;7;7;3431;0;0 
2516080;112754;7;7;3446;0;0 
2512968;112754;6;6;3447;0;0 
2514873;112754;7;7;3437;0;0 
2516918;112754;11;11;3422;0;0 
2515130;112754;7;7;3434;0;0 
2512736;112754;6;6;3419;0;0 
2517755;112754;7;7;3407;0;0 
2512967;112754;6;6;3408;0;0 
2514600;112755;10;10;3420;0;0 
2515078;112754;7;7;3427;0;0 
2515025;112754;6;6;3439;0;0 
2515200;112754;7;7;3442;0;0 
2515497;112754;7;7;3443;0;0 
2514400;112755;10;10;3423;0;0 
2514334;112754;6;6;3437;0;0 
2514419;112754;6;6;3434;0;0 
2514925;112754;6;6;3406;0;0 
2515524;112754;7;7;3437;0;0 
2515634;112754;9;9;3425;0;0 
2515452;112755;7;7;3426;0;0 
2515239;112754;8;8;3422;0;0 
2517322;112754;6;6;3425;0;0 
2513391;112754;5;5;3445;0;0 
2517449;112755;10;10;3447;0;0 
2512422;112754;7;7;3416;0;0 
2513708;112754;9;9;3421;0;0 
2516206;112754;7;7;3429;0;0 
2513641;112754;5;5;3423;0;0 
2514069;112754;7;7;3441;0;0 
2515353;112754;7;7;3409;0;0 
2515428;112755;11;11;3421;0;0 
2516387;112754;7;7;3430;0;0 
2512607;112754;5;5;3410;0;0 
2515081;112754;7;7;3425;0;0 
2514010;112756;6;6;3421;0;0 
2515033;112755;9;9;3457;0;0 
2515330;112755;7;7;3412;0;0 
2513605;112755;6;6;3433;0;0 
2515392;112755;7;7;3413;0;0 
2515118;112754;7;7;3424;0;0 
2515185;112754;9;9;3414;0;0 
2513187;112754;7;7;3416;0;0 
2515882;112754;7;7;3437;0;0 
2516836;112754;6;6;3431;0;0 
2513175;112754;6;6;3433;0;0 
2517877;112754;9;9;3417;0;0 
2520172;112754;6;6;3445;0;0 
2513532;112754;7;7;3436;0;0 
2512936;112754;7;7;3412;0;0 
2512128;112754;7;7;3441;0;0 
2513485;112754;6;6;3435;0;0 
2514274;112754;10;10;3446;0;0 
2515602;112755;7;7;3428;0;0 
2516637;112754;6;6;3433;0;0 
2512101;112754;9;9;3410;0;0 
2514049;112754;7;7;3426;0;0 
2524685;112755;10;10;3423;0;0 
2516187;112754;8;8;3428;0;0 
2515286;112754;7;7;3426;0;0 
2516131;112754;7;7;3423;0;0 
2515316;112754;7;7;3403;0;0 
2515447;112755;10;10;3420;0;0 
2515387;112754;7;7;3431;0;0 
2515592;112754;6;6;3419;0;0 
2516459;112754;7;7;3411;0;0 
2512641;112754;6;6;3416;0;0 
2516900;112754;10;10;3444;0;0 
2514811;112754;6;6;3414;0;0 
2515628;112754;7;7;3416;0;0 
2513548;112754;7;7;3421;0;0 
2512624;112755;7;7;3414;0;0 
2513135;112754;9;9;3412;0;0 
2513844;112754;7;7;3418;0;0 
2515876;112755;7;7;3417;0;0 
2515004;112754;9;9;3416;0;0 
2513716;112755;8;8;3415;0;0 
2517858;112754;10;10;3440;0;0 
2514460;112754;6;6;3440;0;0 
2516379;112754;5;5;3415;0;0 
2513283;112755;7;7;3416;0;0 
2515318;112755;7;7;3431;0;0 
2514743;112754;11;11;3420;0;0 
2513281;112755;7;7;3417;0;0 
2513334;112754;7;7;3422;0;0 
2515555;112754;7;7;3442;0;0 
2513822;112754;7;7;3411;0;0 
2515861;112755;10;10;3422;0;0 
2517771;112754;5;5;3422;0;0 
2514591;112754;9;9;3423;0;0 
2514273;112754;6;6;3436;0;0 
2517323;112755;7;7;3417;0;0 
2513977;112754;5;5;3402;0;0 
