CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
3179;134;0;1590;0;88;46 
3280;136;0;1640;0;104;32 
3327;112;0;1664;0;88;24 
3196;148;0;1598;0;96;52 
3010;132;0;1505;0;88;44 
3112;108;0;1556;0;80;28 
3537;116;0;1768;0;80;36 
6452;152;0;3226;0;100;52 
2840;116;0;1420;0;72;44 
4308;124;0;2154;0;92;32 
3623;128;0;1812;0;68;60 
5201;105;0;2600;0;84;21 
3973;104;0;1987;0;76;28 
3424;152;0;1712;0;104;48 
2783;112;0;1391;0;80;32 
3448;116;0;1724;0;92;24 
3248;88;0;1624;0;76;12 
4622;144;0;2311;0;108;36 
3040;104;0;1520;0;80;24 
3781;136;0;1890;0;88;48 
2938;120;0;1469;0;76;44 
3353;132;0;1676;0;88;44 
4197;152;0;2098;0;124;28 
3160;136;0;1580;0;96;40 
3193;140;0;1597;0;100;40 
3009;88;0;1505;0;80;8 
3225;128;0;1613;0;92;36 
2569;88;0;1285;0;64;24 
2569;104;0;1285;0;76;28 
2849;119;0;1425;0;72;47 
2736;124;0;1368;0;88;36 
3244;88;0;1622;0;56;32 
3269;140;0;1634;0;100;40 
3466;76;0;1733;0;52;24 
2800;108;0;1400;0;76;32 
3668;156;0;1834;0;100;56 
2780;88;0;1390;0;52;36 
3268;132;0;1634;0;88;44 
2416;76;0;1208;0;52;24 
2881;100;0;1441;0;72;28 
2485;72;0;1243;0;60;12 
5951;144;0;2976;0;96;48 
3010;116;0;1505;0;76;40 
3444;148;0;1722;0;84;64 
3425;96;0;1712;0;68;28 
3405;128;0;1703;0;96;32 
3785;120;0;1892;0;72;48 
3744;84;0;1872;0;60;24 
4401;132;0;2201;0;96;36 
2312;80;0;1156;0;64;16 
3298;104;0;1649;0;80;24 
2771;116;0;1385;0;80;36 
3618;140;0;1809;0;104;36 
3332;112;0;1666;0;72;40 
3042;120;0;1521;0;88;32 
3188;104;0;1594;0;72;32 
2524;88;0;1262;0;56;32 
3060;108;0;1530;0;80;28 
2622;88;0;1311;0;72;16 
2869;110;0;1435;0;80;30 
3984;164;0;1992;0;100;64 
2454;76;0;1227;0;64;12 
3529;168;0;1765;0;116;52 
2805;120;0;1403;0;80;40 
4066;136;0;2033;0;92;44 
2786;96;0;1393;0;76;20 
2646;88;0;1323;0;60;28 
5217;108;0;2608;0;80;28 
4627;99;0;2313;0;68;31 
4634;128;0;2317;0;84;44 
4597;148;0;2298;0;104;44 
3136;128;0;1568;0;88;40 
2900;108;0;1450;0;72;36 
3561;140;0;1781;0;96;44 
2316;76;0;1158;0;64;12 
2789;104;0;1395;0;68;36 
2051;68;0;1025;0;40;28 
3889;112;0;1945;0;88;24 
3290;124;0;1645;0;100;24 
3025;115;0;1512;0;72;43 
2672;112;0;1336;0;72;40 
2612;100;0;1306;0;64;36 
3201;104;0;1600;0;76;28 
5985;108;0;2992;0;80;28 
3825;96;0;1913;0;72;24 
2704;88;0;1352;0;68;20 
2859;140;0;1430;0;80;60 
2904;100;0;1452;0;76;24 
2577;88;0;1288;0;68;20 
5519;108;0;2760;0;80;28 
3823;116;0;1912;0;84;32 
2308;92;0;1154;0;68;24 
3949;132;0;1974;0;100;32 
2761;80;0;1381;0;48;32 
3003;92;0;1501;0;72;20 
3500;128;0;1750;0;80;48 
4092;116;0;2046;0;76;40 
4183;140;0;2091;0;104;36 
2418;80;0;1209;0;60;20 
3689;136;0;1845;0;100;36 
3490;84;0;1745;0;52;32 
3332;120;0;1666;0;84;36 
4804;96;0;2402;0;60;36 
3288;100;0;1644;0;64;36 
2861;96;0;1430;0;72;24 
3474;136;0;1737;0;92;44 
2880;112;0;1440;0;80;32 
3784;140;0;1892;0;92;48 
3760;84;0;1880;0;76;8 
3954;112;0;1977;0;80;32 
2726;108;0;1363;0;64;44 
3513;124;0;1757;0;76;48 
3291;132;0;1646;0;96;36 
3746;158;0;1873;0;96;62 
2883;72;0;1441;0;56;16 
5956;148;0;2978;0;108;40 
3926;104;0;1963;0;88;16 
3054;96;0;1527;0;72;24 
2758;112;0;1379;0;72;40 
2684;84;0;1342;0;68;16 
3730;88;0;1865;0;56;32 
3196;100;0;1598;0;76;24 
3003;116;0;1501;0;92;24 
2727;92;0;1364;0;64;28 
3965;128;0;1983;0;84;44 
3613;88;0;1806;0;60;28 
5405;92;0;2702;0;68;24 
3300;116;0;1650;0;88;28 
3194;112;0;1597;0;80;32 
2976;88;0;1488;0;56;32 
2542;88;0;1271;0;56;32 
3116;104;0;1558;0;72;32 
2778;108;0;1389;0;52;56 
2641;100;0;1320;0;68;32 
2815;106;0;1407;0;62;44 
2900;104;0;1450;0;80;24 
3122;132;0;1561;0;88;44 
3210;120;0;1605;0;104;16 
4715;108;0;2358;0;84;24 
2842;112;0;1421;0;80;32 
3807;132;0;1903;0;84;48 
2367;68;0;1183;0;52;16 
5669;104;0;2834;0;72;32 
2976;88;0;1488;0;72;16 
2747;100;0;1374;0;68;32 
2516;92;0;1258;0;64;28 
2945;108;0;1473;0;72;36 
