CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
5768;39;1;1;19;0;0 
3889;39;1;1;26;0;0 
3631;39;1;1;21;0;0 
4394;39;1;1;19;0;0 
5678;39;1;1;23;0;0 
4924;39;1;1;25;0;0 
4055;39;1;1;21;0;0 
4533;39;1;1;20;0;0 
3305;39;1;1;20;0;0 
3401;39;1;1;23;0;0 
3090;39;1;1;22;0;0 
3515;39;1;1;19;0;0 
3190;39;1;1;21;0;0 
3593;39;1;1;21;0;0 
3403;39;1;1;25;0;0 
3347;39;1;1;25;0;0 
3402;39;1;1;19;0;0 
3906;39;1;1;28;0;0 
3052;39;1;1;24;0;0 
4078;39;1;1;20;0;0 
3969;39;1;1;22;0;0 
5800;39;1;1;22;0;0 
3499;39;1;1;20;0;0 
3152;39;1;1;19;0;0 
3523;39;1;1;18;0;0 
4377;39;1;1;20;0;0 
3426;39;1;1;23;0;0 
6323;39;1;1;24;0;0 
5447;39;1;1;21;0;0 
3206;39;1;1;18;0;0 
2708;39;1;1;23;0;0 
5652;39;1;1;25;0;0 
3121;39;1;1;24;0;0 
3371;39;1;1;23;0;0 
3522;39;1;1;18;0;0 
4313;39;1;1;22;0;0 
3504;39;1;1;22;0;0 
3545;39;1;1;21;0;0 
3123;39;1;1;23;0;0 
3433;39;1;1;20;0;0 
3804;39;1;1;21;0;0 
3696;39;1;1;24;0;0 
3335;39;1;1;23;0;0 
3006;39;1;1;22;0;0 
3901;39;1;1;21;0;0 
3755;39;1;1;20;0;0 
3437;39;1;1;20;0;0 
3331;39;1;1;21;0;0 
3036;39;1;1;19;0;0 
3675;39;1;1;18;0;0 
3412;39;1;1;23;0;0 
3388;39;1;1;23;0;0 
4452;39;1;1;21;0;0 
3097;39;1;1;23;0;0 
3682;39;1;1;24;0;0 
3627;39;1;1;23;0;0 
3128;39;1;1;17;0;0 
3118;39;1;1;23;0;0 
3427;39;1;1;22;0;0 
3354;39;1;1;21;0;0 
3990;39;1;1;20;0;0 
3779;39;1;1;23;0;0 
3545;39;1;1;18;0;0 
3436;39;1;1;23;0;0 
3770;39;1;1;20;0;0 
3866;39;1;1;23;0;0 
3583;39;1;1;20;0;0 
3173;39;1;1;19;0;0 
3539;39;1;1;20;0;0 
3977;39;1;1;22;0;0 
5597;39;1;1;20;0;0 
2833;39;1;1;28;0;0 
5907;39;1;1;23;0;0 
4210;39;1;1;23;0;0 
3342;39;1;1;24;0;0 
3787;39;1;1;21;0;0 
3297;39;1;1;25;0;0 
5276;39;1;1;20;0;0 
3539;39;1;1;21;0;0 
3383;39;1;1;19;0;0 
3628;39;1;1;19;0;0 
2803;39;1;1;21;0;0 
5259;39;1;1;22;0;0 
6132;39;1;1;22;0;0 
3755;39;1;1;22;0;0 
3266;39;1;1;21;0;0 
5916;39;1;1;21;0;0 
3239;39;1;1;23;0;0 
3092;39;1;1;22;0;0 
2938;39;1;1;26;0;0 
3353;39;1;1;22;0;0 
3366;39;1;1;19;0;0 
3199;39;1;1;21;0;0 
3580;39;1;1;19;0;0 
3113;39;1;1;24;0;0 
3385;39;1;1;18;0;0 
3778;39;1;1;23;0;0 
3164;39;1;1;21;0;0 
3416;39;1;1;21;0;0 
6277;39;1;1;20;0;0 
4457;39;1;1;20;0;0 
3547;39;1;1;24;0;0 
3306;39;1;1;20;0;0 
3261;39;1;1;22;0;0 
3594;39;1;1;21;0;0 
3378;39;1;1;21;0;0 
4011;39;1;1;20;0;0 
3301;39;1;1;24;0;0 
4156;39;1;1;22;0;0 
3368;39;1;1;26;0;0 
5530;39;1;1;16;0;0 
3328;39;1;1;18;0;0 
3911;39;1;1;17;0;0 
4423;39;1;1;22;0;0 
3275;39;1;1;22;0;0 
3343;39;1;1;19;0;0 
3476;39;1;1;23;0;0 
3819;39;1;1;23;0;0 
4561;39;1;1;17;0;0 
3474;39;1;1;24;0;0 
3874;39;1;1;22;0;0 
3468;39;1;1;21;0;0 
3411;39;1;1;21;0;0 
3118;39;1;1;24;0;0 
3337;39;1;1;24;0;0 
3505;39;1;1;20;0;0 
3540;39;1;1;24;0;0 
3617;39;1;1;24;0;0 
3816;39;1;1;21;0;0 
3960;39;1;1;21;0;0 
2748;39;1;1;24;0;0 
4387;39;1;1;23;0;0 
6392;39;1;1;21;0;0 
4294;39;1;1;21;0;0 
4481;39;1;1;22;0;0 
3468;39;1;1;20;0;0 
6505;39;1;1;21;0;0 
4543;39;1;1;23;0;0 
3099;39;1;1;21;0;0 
4730;39;1;1;25;0;0 
3595;39;1;1;20;0;0 
3358;39;1;1;20;0;0 
3811;39;1;1;22;0;0 
4216;39;1;1;24;0;0 
3486;39;1;1;21;0;0 
4055;39;1;1;17;0;0 
5482;39;1;1;22;0;0 
2960;39;1;1;21;0;0 
3216;39;1;1;21;0;0 
3639;39;1;1;24;0;0 
3830;39;1;1;22;0;0 
3853;39;1;1;20;0;0 
5999;39;1;1;18;0;0 
4366;39;1;1;22;0;0 
4677;39;1;1;24;0;0 
3234;39;1;1;22;0;0 
3167;39;1;1;23;0;0 
3515;39;1;1;22;0;0 
3517;39;1;1;23;0;0 
3493;39;1;1;20;0;0 
3994;39;1;1;25;0;0 
3758;39;1;1;21;0;0 
2920;39;1;1;17;0;0 
3519;39;1;1;24;0;0 
3283;39;1;1;19;0;0 
3349;39;1;1;24;0;0 
3670;39;1;1;21;0;0 
3418;39;1;1;18;0;0 
6000;39;1;1;21;0;0 
3169;39;1;1;15;0;0 
3290;39;1;1;24;0;0 
4281;39;1;1;21;0;0 
3459;39;1;1;23;0;0 
3530;39;1;1;23;0;0 
3176;39;1;1;24;0;0 
3282;39;1;1;20;0;0 
4052;39;1;1;21;0;0 
3213;39;1;1;23;0;0 
5998;39;1;1;20;0;0 
3010;39;1;1;21;0;0 
3509;39;1;1;22;0;0 
3023;39;1;1;22;0;0 
4516;39;1;1;23;0;0 
5316;39;1;1;24;0;0 
3259;39;1;1;22;0;0 
3366;39;1;1;24;0;0 
3048;39;1;1;20;0;0 
3749;39;1;1;24;0;0 
3669;39;1;1;23;0;0 
3264;39;1;1;21;0;0 
6362;39;1;1;18;0;0 
3350;39;1;1;24;0;0 
3425;39;1;1;21;0;0 
3525;39;1;1;19;0;0 
4769;39;1;1;21;0;0 
5859;39;1;1;21;0;0 
3575;39;1;1;23;0;0 
3037;39;1;1;19;0;0 
3282;39;1;1;19;0;0 
4063;39;1;1;22;0;0 
3637;39;1;1;22;0;0 
3933;39;1;1;22;0;0 
6077;39;1;1;20;0;0 
2941;39;1;1;24;0;0 
3543;39;1;1;23;0;0 
4677;39;1;1;24;0;0 
2812;39;1;1;21;0;0 
4389;39;1;1;25;0;0 
3325;39;1;1;21;0;0 
3363;39;1;1;18;0;0 
3593;39;1;1;21;0;0 
5194;39;1;1;23;0;0 
3015;39;1;1;22;0;0 
6877;39;1;1;26;0;0 
3605;39;1;1;21;0;0 
3486;39;1;1;23;0;0 
5555;39;1;1;18;0;0 
4197;39;1;1;24;0;0 
4169;39;1;1;21;0;0 
4025;39;1;1;18;0;0 
3577;39;1;1;23;0;0 
3611;39;1;1;22;0;0 
3462;39;1;1;22;0;0 
3508;39;1;1;22;0;0 
3872;39;1;1;20;0;0 
3314;39;1;1;22;0;0 
3608;39;1;1;26;0;0 
3240;39;1;1;21;0;0 
3701;39;1;1;21;0;0 
4639;39;1;1;21;0;0 
3506;39;1;1;23;0;0 
5551;39;1;1;22;0;0 
4151;39;1;1;24;0;0 
3131;39;1;1;20;0;0 
3475;39;1;1;22;0;0 
3329;39;1;1;24;0;0 
3615;39;1;1;19;0;0 
3295;39;1;1;19;0;0 
5740;39;1;1;20;0;0 
3452;39;1;1;17;0;0 
4443;39;1;1;19;0;0 
3225;39;1;1;18;0;0 
3563;39;1;1;21;0;0 
3994;39;1;1;18;0;0 
2816;39;1;1;21;0;0 
3709;39;1;1;21;0;0 
3670;39;1;1;20;0;0 
5115;39;1;1;20;0;0 
3127;39;1;1;22;0;0 
3352;39;1;1;17;0;0 
3668;39;1;1;23;0;0 
4212;39;1;1;22;0;0 
6244;39;1;1;20;0;0 
3074;39;1;1;19;0;0 
3288;39;1;1;19;0;0 
3489;39;1;1;20;0;0 
3161;39;1;1;23;0;0 
5816;39;1;1;21;0;0 
3063;39;1;1;23;0;0 
3741;39;1;1;26;0;0 
6129;39;1;1;22;0;0 
3338;39;1;1;24;0;0 
3227;39;1;1;26;0;0 
3887;39;1;1;21;0;0 
3206;39;1;1;21;0;0 
4200;39;1;1;22;0;0 
3196;39;1;1;21;0;0 
3376;39;1;1;25;0;0 
3067;39;1;1;23;0;0 
3064;39;1;1;17;0;0 
3538;39;1;1;21;0;0 
3770;39;1;1;21;0;0 
6307;39;1;1;20;0;0 
3058;39;1;1;23;0;0 
6212;39;1;1;21;0;0 
3315;39;1;1;25;0;0 
4137;39;1;1;24;0;0 
3161;39;1;1;18;0;0 
5956;39;1;1;24;0;0 
3266;39;1;1;18;0;0 
4281;39;1;1;20;0;0 
3489;39;1;1;23;0;0 
3340;39;1;1;28;0;0 
3513;39;1;1;21;0;0 
3700;39;1;1;21;0;0 
3562;39;1;1;25;0;0 
4304;39;1;1;23;0;0 
3265;39;1;1;17;0;0 
3733;39;1;1;22;0;0 
3280;39;1;1;23;0;0 
3812;39;1;1;24;0;0 
4474;39;1;1;25;0;0 
3544;39;1;1;24;0;0 
3249;39;1;1;21;0;0 
3146;39;1;1;25;0;0 
3584;39;1;1;25;0;0 
3631;39;1;1;25;0;0 
3298;39;1;1;22;0;0 
4156;39;1;1;20;0;0 
3084;39;1;1;20;0;0 
3464;39;1;1;20;0;0 
5685;39;1;1;20;0;0 
3141;39;1;1;20;0;0 
4596;39;1;1;22;0;0 
3877;39;1;1;24;0;0 
4444;39;1;1;21;0;0 
3268;39;1;1;21;0;0 
3719;39;1;1;22;0;0 
3265;39;1;1;21;0;0 
3665;39;1;1;25;0;0 
4328;39;1;1;23;0;0 
3382;39;1;1;18;0;0 
3504;39;1;1;21;0;0 
3460;39;1;1;24;0;0 
3647;39;1;1;20;0;0 
3543;39;1;1;20;0;0 
3215;39;1;1;25;0;0 
3951;39;1;1;19;0;0 
3840;39;1;1;18;0;0 
3557;39;1;1;26;0;0 
3586;39;1;1;24;0;0 
3092;39;1;1;22;0;0 
3621;39;1;1;24;0;0 
3541;39;1;1;22;0;0 
2981;39;1;1;22;0;0 
3825;39;1;1;23;0;0 
4144;39;1;1;27;0;0 
3171;39;1;1;23;0;0 
5871;39;1;1;24;0;0 
4336;39;1;1;21;0;0 
3086;39;1;1;23;0;0 
3342;39;1;1;22;0;0 
3447;39;1;1;19;0;0 
3304;39;1;1;22;0;0 
3228;39;1;1;22;0;0 
3448;39;1;1;22;0;0 
5918;39;1;1;24;0;0 
3483;39;1;1;24;0;0 
4470;39;1;1;23;0;0 
3454;39;1;1;19;0;0 
2615;39;1;1;18;0;0 
2980;39;1;1;21;0;0 
3469;39;1;1;21;0;0 
3954;39;1;1;25;0;0 
3167;39;1;1;20;0;0 
3742;39;1;1;19;0;0 
2969;39;1;1;21;0;0 
3300;39;1;1;19;0;0 
3699;39;1;1;23;0;0 
3467;39;1;1;18;0;0 
3536;39;1;1;20;0;0 
3594;39;1;1;20;0;0 
4529;39;1;1;25;0;0 
3101;39;1;1;19;0;0 
3731;39;1;1;17;0;0 
5949;39;1;1;19;0;0 
3776;39;1;1;21;0;0 
4413;39;1;1;19;0;0 
3383;39;1;1;21;0;0 
3231;39;1;1;23;0;0 
4427;39;1;1;22;0;0 
4939;39;1;1;25;0;0 
4572;39;1;1;23;0;0 
2966;39;1;1;25;0;0 
4229;39;1;1;23;0;0 
4374;39;1;1;20;0;0 
3251;39;1;1;24;0;0 
3618;39;1;1;15;0;0 
3218;39;1;1;20;0;0 
4696;39;1;1;20;0;0 
3044;39;1;1;22;0;0 
2926;39;1;1;22;0;0 
3650;39;1;1;23;0;0 
4583;39;1;1;21;0;0 
3894;39;1;1;25;0;0 
4563;39;1;1;24;0;0 
3528;39;1;1;21;0;0 
6292;39;1;1;15;0;0 
3636;39;1;1;18;0;0 
3735;39;1;1;23;0;0 
5075;39;1;1;21;0;0 
4590;39;1;1;22;0;0 
4175;39;1;1;19;0;0 
3192;39;1;1;22;0;0 
3363;39;1;1;22;0;0 
3344;39;1;1;23;0;0 
3322;39;1;1;22;0;0 
4373;39;1;1;22;0;0 
3133;39;1;1;27;0;0 
4487;39;1;1;18;0;0 
4045;39;1;1;26;0;0 
3414;39;1;1;18;0;0 
