CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
2955;29;452;369;0;46;1624 
5782;32;466;425;0;85;4506 
2770;30;459;389;0;64;1495 
3262;34;460;177;0;67;2057 
2885;30;465;328;0;78;1498 
3019;32;462;322;0;64;1794 
2978;31;459;470;0;65;1473 
2941;31;456;177;0;50;1889 
2639;31;467;316;0;70;1408 
1906;29;463;206;0;58;814 
2697;29;467;173;0;77;1504 
4033;29;466;306;0;56;2863 
5527;30;467;55;0;68;4430 
4327;29;453;601;3;76;2703 
2629;28;471;372;0;69;1248 
2955;28;459;298;0;59;1654 
3107;30;469;504;0;72;1670 
3680;30;458;376;0;63;2456 
2358;29;466;60;0;56;1298 
3290;31;470;185;0;79;2076 
2403;31;470;335;7;66;1022 
3000;33;460;368;0;63;1786 
2565;32;469;463;0;66;1078 
3120;33;460;365;0;67;1861 
3352;32;473;193;7;72;2097 
3386;30;463;386;0;62;2144 
2366;28;467;50;0;67;1279 
3846;30;471;447;0;65;2512 
6183;30;462;1484;0;76;3676 
2679;28;454;309;5;47;1521 
2149;30;461;188;0;56;1074 
3373;29;458;379;0;62;1992 
2228;33;474;234;8;67;961 
2912;32;457;320;0;64;1584 
2328;30;460;364;6;60;1038 
3096;25;467;353;0;48;1942 
4025;31;468;302;0;60;2745 
2752;29;464;317;0;64;1424 
2287;28;467;224;7;68;1040 
3184;33;468;396;0;66;1938 
3303;30;459;525;0;53;1971 
2832;30;453;306;0;54;1548 
2554;28;472;319;0;73;1207 
3061;28;457;335;0;58;1887 
3461;28;464;452;0;62;1989 
2681;32;457;379;0;59;1399 
2714;29;463;357;7;63;1488 
3954;30;463;467;0;61;2739 
2386;29;463;171;0;71;1170 
3630;29;456;431;0;55;2200 
3192;29;454;232;0;47;2155 
3581;30;455;150;0;62;2416 
2422;30;465;551;6;66;825 
3345;28;462;241;0;75;2081 
2915;29;462;220;0;51;1870 
2890;33;457;224;0;55;1684 
3667;30;460;388;0;55;2435 
6008;29;462;187;0;51;4964 
2661;29;466;223;0;64;1406 
2760;31;455;366;0;43;1426 
3455;29;460;282;0;123;2299 
2896;29;458;326;0;62;1690 
2670;31;454;417;0;49;1508 
2482;29;457;189;0;61;1303 
5631;29;459;49;0;66;4595 
2715;32;458;370;0;57;1328 
2771;29;467;233;0;57;1532 
3335;28;461;230;0;50;2242 
3183;31;459;302;0;57;1992 
2752;29;456;327;0;61;1535 
3396;29;464;332;0;58;2043 
2905;30;465;917;9;62;973 
3629;29;468;881;0;64;1750 
2315;29;469;198;0;53;1119 
4949;27;455;1288;0;70;2789 
2569;27;467;241;0;73;1288 
2488;30;457;325;0;61;1153 
2590;27;457;331;0;59;1264 
3394;29;463;448;0;65;1921 
3241;28;458;45;0;52;2194 
3214;30;455;326;0;55;1917 
2944;29;464;59;0;65;1858 
2822;29;458;178;0;49;1651 
3763;30;464;313;0;72;2526 
5920;28;466;59;0;159;4750 
2716;30;467;298;0;71;1371 
2911;30;455;306;0;65;1586 
2670;33;458;375;0;62;1323 
2430;29;463;317;8;59;1084 
3034;32;461;439;0;75;1561 
2556;30;460;47;0;59;1527 
4749;29;463;352;0;74;3369 
3476;28;461;303;0;64;2161 
3621;33;466;334;0;66;2243 
3228;32;457;373;0;47;2057 
2792;31;473;225;0;73;1532 
3417;31;466;482;0;65;2197 
2694;31;466;197;0;63;1583 
3263;30;464;315;0;61;2069 
2605;31;461;196;0;71;1405 
2934;33;459;353;0;58;1611 
3647;33;461;158;0;62;2459 
4589;29;460;751;0;69;2811 
2751;32;456;283;0;56;1679 
2815;33;454;374;0;56;1630 
3065;31;460;303;0;69;1838 
3057;31;467;363;0;67;1665 
2951;32;454;375;0;58;1686 
2541;29;465;158;0;63;1353 
4206;32;466;437;0;67;2844 
3747;31;465;205;0;70;2537 
2464;29;451;181;0;46;1416 
3181;28;462;469;0;66;1699 
5737;29;457;341;0;85;4474 
4288;27;456;565;0;48;3008 
2595;28;466;58;0;58;1527 
4739;27;473;1357;0;63;2482 
3266;31;466;49;0;69;2184 
3498;31;459;175;0;54;2360 
3016;30;460;163;0;55;1853 
5729;27;457;495;0;1052;3235 
3083;27;458;412;6;77;1613 
3879;31;457;467;0;70;2383 
4059;26;462;56;0;56;3009 
2769;31;458;157;0;58;1598 
3112;29;459;347;0;68;1741 
2939;29;470;359;0;74;1554 
2411;30;468;354;0;67;1026 
3290;29;458;315;0;63;2078 
2617;30;468;341;0;63;1254 
5425;27;456;1705;0;64;2747 
2354;31;467;48;0;63;1278 
3251;28;457;198;0;56;2165 
2923;27;465;373;0;79;1524 
4044;34;459;521;0;60;2675 
2086;31;464;53;0;59;1013 
2847;31;457;354;0;53;1487 
3065;31;464;314;7;72;1718 
2966;32;460;324;0;56;1785 
2562;32;462;398;0;56;1160 
3330;33;461;297;0;67;2024 
3609;30;465;506;0;65;2240 
3370;28;473;182;0;72;2258 
2399;32;469;395;0;75;959 
2993;29;456;326;0;59;1686 
2923;32;466;449;0;48;1488 
2985;32;463;352;0;65;1627 
5032;27;463;245;7;71;3757 
3336;31;465;403;0;70;1891 
3341;29;464;814;0;63;1517 
5906;30;461;274;0;63;4820 
2716;31;459;320;0;62;1507 
2906;29;465;436;0;70;1663 
2335;32;466;557;7;53;776 
2869;28;458;379;0;61;1591 
2476;29;462;328;0;56;1133 
2647;33;455;413;0;54;1231 
2394;31;464;398;0;56;1005 
2511;30;459;487;0;60;1012 
2913;29;460;354;0;60;1572 
2910;30;470;196;0;84;1650 
3761;29;454;455;0;62;2294 
3034;29;455;174;0;66;1844 
4563;29;461;398;0;65;3141 
2859;25;460;413;0;130;1516 
2633;30;462;226;0;66;1372 
3146;28;458;183;0;50;2123 
3770;28;459;337;0;57;2433 
4067;29;458;335;0;61;2724 
2846;33;451;316;0;47;1579 
3171;31;464;382;0;74;1748 
2479;29;461;300;0;62;1181 
5821;30;462;2174;0;64;3428 
3886;30;455;438;0;59;2437 
2884;30;463;524;0;61;1359 
4123;29;460;495;0;64;2637 
2423;31;460;37;0;59;1363 
3738;28;460;303;0;73;2412 
3233;28;463;60;0;62;2147 
2981;30;453;318;0;59;1677 
3318;30;465;1279;0;61;1007 
2513;33;461;208;0;76;1376 
2524;29;467;159;4;76;1327 
3127;29;457;321;0;57;1936 
2926;30;465;314;0;78;1585 
2541;28;460;309;0;63;1212 
3608;30;468;314;0;66;2267 
3411;28;458;311;0;60;2183 
2597;30;464;399;0;62;1331 
3813;30;469;173;0;61;2642 
3369;28;461;418;0;70;1912 
2938;29;461;404;0;57;1543 
3304;30;454;36;0;63;2277 
2818;26;460;311;0;61;1514 
2651;31;461;235;0;55;1391 
3423;30;462;492;0;64;1903 
2788;28;461;204;0;60;1612 
2379;31;471;46;0;68;1293 
9942;25;456;36;0;41;8939 
3630;30;459;354;0;57;2287 
2728;27;467;567;0;87;1137 
2613;31;461;166;0;63;1436 
2911;31;463;297;0;57;1595 
2904;30;474;297;0;70;1561 
2743;31;457;434;0;62;1306 
2789;30;458;346;0;63;1422 
2778;26;461;323;0;59;1456 
3185;27;459;328;0;57;1873 
3026;28;466;148;0;73;1830 
5887;28;465;35;0;67;4844 
2726;28;464;306;0;62;1452 
3072;29;461;338;0;64;1730 
3473;32;466;319;0;69;2118 
3025;30;458;318;0;60;1822 
2357;29;464;177;0;60;1272 
2630;28;467;169;0;64;1467 
2527;27;459;396;8;65;1091 
3747;30;464;488;0;75;2216 
3072;30;460;283;0;64;1778 
2995;30;454;348;0;56;1640 
2225;31;471;314;0;55;1012 
2552;30;462;163;0;128;1301 
2903;32;459;434;0;44;1482 
2831;31;459;321;0;58;1524 
2615;33;468;320;0;71;1378 
2955;32;459;532;0;56;1750 
3609;32;464;186;0;67;2513 
2877;28;469;356;0;55;1666 
2512;27;466;61;0;57;1447 
2592;29;458;235;0;77;1490 
3676;30;460;519;0;57;2278 
3164;29;460;366;0;66;1920 
6968;32;454;350;0;77;5723 
2780;29;461;296;0;72;1449 
2584;29;463;418;0;77;1279 
2350;28;471;448;0;60;1071 
3157;29;457;400;0;60;1748 
3491;30;454;510;0;61;2082 
3450;29;456;369;0;73;2060 
2471;29;466;334;7;56;1122 
2672;30;466;228;0;66;1424 
4526;31;460;507;8;52;2992 
3129;28;460;366;0;56;1797 
3272;30;462;175;0;57;2117 
3337;33;454;369;0;59;2079 
4110;29;469;538;0;65;2690 
5712;27;453;1992;0;47;2731 
5682;32;462;1314;0;66;4613 
2511;32;470;160;0;68;1335 
3759;25;458;544;0;54;2243 
3165;29;463;330;0;60;2073 
2642;32;469;404;0;70;1354 
2900;31;458;336;0;68;1546 
2617;29;464;381;0;56;1235 
2840;31;461;172;0;68;1657 
3030;29;462;250;0;74;1763 
3014;28;464;301;0;59;1723 
2354;29;461;35;0;59;1299 
3175;29;466;176;0;68;1959 
2415;30;468;188;0;70;1193 
6171;27;466;313;0;72;4940 
6329;30;464;512;0;71;5106 
3211;29;462;367;0;54;1963 
2676;31;465;196;0;58;1482 
2354;28;464;207;0;51;1160 
3594;28;471;65;0;83;2488 
2998;30;460;295;0;69;1670 
2800;27;468;75;0;72;1685 
3498;30;465;319;0;73;2273 
2588;29;465;346;0;59;1226 
2761;30;460;349;0;69;1387 
2682;31;461;174;0;69;1489 
4081;31;461;465;0;60;2754 
3475;32;464;170;0;68;2269 
5427;30;458;393;8;87;3991 
2794;31;461;425;0;53;1729 
3087;28;467;352;0;62;1706 
3010;33;469;173;0;80;1891 
2931;30;466;216;0;62;1867 
2729;32;465;365;0;60;1341 
6127;28;449;314;0;52;4981 
3768;30;461;162;0;59;2583 
2652;27;463;365;0;69;1432 
3331;30;461;434;0;75;1980 
3239;28;456;369;0;70;1988 
2101;30;453;178;0;47;953 
3580;28;464;430;0;59;2150 
2472;31;466;176;0;71;1255 
2952;29;459;314;0;48;1763 
5245;29;468;188;0;68;4030 
2894;26;461;161;0;53;1740 
3662;30;461;201;0;57;2483 
3385;29;462;197;0;75;2161 
3035;30;465;522;0;72;1470 
5942;29;453;320;0;63;4617 
3859;29;460;485;0;67;2346 
2963;33;460;185;0;61;1793 
5902;28;455;215;0;51;4687 
3358;29;453;431;0;57;1920 
3463;25;460;439;0;63;2038 
2998;28;457;329;0;57;1787 
3009;31;465;312;0;68;1666 
3173;29;462;339;0;66;2075 
2660;31;458;176;0;70;1457 
3145;29;468;300;0;52;1865 
2656;33;453;152;0;53;1517 
3149;27;459;468;0;57;1695 
3165;32;461;380;0;784;1039 
5604;29;460;193;0;58;4525 
3022;30;462;315;0;68;1689 
3544;31;458;317;0;60;2336 
2729;29;463;224;0;61;1487 
2911;27;466;319;0;66;1691 
3238;26;455;405;0;128;1761 
3557;32;473;172;0;66;2383 
2919;29;460;162;0;59;1745 
