CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
6333;123;97;521;0;1;0 
3732;123;97;521;0;1;0 
3288;123;97;520;0;1;0 
4354;123;97;521;0;1;0 
5911;123;97;523;0;1;0 
3797;123;97;522;0;1;0 
3803;123;97;521;0;1;0 
3502;123;97;520;0;1;0 
3278;123;97;522;0;1;0 
3443;123;97;520;0;1;0 
3525;123;97;519;0;1;0 
3941;123;97;522;0;1;0 
3386;123;97;519;0;1;0 
3252;123;97;521;0;1;0 
2898;123;97;521;0;1;0 
3229;123;97;522;0;1;0 
3692;123;97;522;0;1;0 
4531;123;97;519;0;1;0 
3590;123;97;520;0;1;0 
3646;123;97;522;0;1;0 
3028;123;97;519;0;1;0 
3388;123;97;522;0;1;0 
3633;123;97;520;0;1;0 
3255;123;97;522;0;1;0 
3308;123;97;522;0;1;0 
3331;123;97;522;0;1;0 
4375;123;97;523;0;1;0 
5607;123;97;520;0;1;0 
3570;123;97;521;0;1;0 
3562;123;97;521;0;1;0 
4591;123;97;519;0;1;0 
4308;123;97;521;0;1;0 
3730;123;97;521;0;1;0 
2961;123;97;520;0;1;0 
4307;123;97;522;0;1;0 
3298;123;97;520;0;1;0 
3735;123;97;521;0;1;0 
2991;123;97;518;0;1;0 
6315;123;97;521;0;1;0 
3180;123;97;519;0;1;0 
3435;123;97;521;0;1;0 
3416;123;97;521;0;1;0 
3503;123;97;520;0;1;0 
4283;123;97;521;0;1;0 
3359;123;97;520;0;1;0 
3118;123;97;520;0;1;0 
3505;123;97;521;0;1;0 
4157;123;97;519;0;2;0 
4329;123;97;521;0;1;0 
3131;123;97;522;0;1;0 
4169;123;97;520;0;1;0 
3364;123;97;522;0;1;0 
6045;123;97;523;0;1;0 
3407;123;97;519;0;1;0 
3521;123;97;521;0;1;0 
13476;123;97;521;0;1;0 
3394;123;97;521;0;1;0 
3311;123;97;520;0;1;0 
3839;123;97;518;0;1;0 
4291;123;97;521;0;1;0 
3574;123;97;523;0;1;0 
4860;123;97;520;0;2;0 
4488;123;97;521;0;1;0 
3299;123;97;521;0;1;0 
2869;123;97;521;0;1;0 
4736;123;97;521;0;1;0 
3272;123;97;520;0;1;0 
3546;123;97;522;0;1;0 
3128;123;97;521;0;1;0 
3794;123;97;522;0;1;0 
3064;123;97;521;0;1;0 
3407;123;97;522;0;1;0 
3374;123;97;520;0;1;0 
3706;123;97;524;0;1;0 
3354;123;97;521;0;1;0 
5545;123;97;521;0;1;0 
3219;123;97;521;0;1;0 
3237;123;97;520;0;1;0 
3459;123;97;521;0;1;0 
3737;123;97;520;0;1;0 
3545;123;97;523;0;1;0 
5758;123;97;521;0;1;0 
3668;123;97;521;0;1;0 
3770;123;97;520;0;1;0 
6215;123;97;522;0;1;0 
4920;123;97;520;0;1;0 
2980;123;97;518;0;1;0 
3445;123;97;520;0;1;0 
4418;123;97;522;0;1;0 
4197;123;97;521;0;1;0 
2570;123;97;520;0;1;0 
3521;123;97;522;0;1;0 
5165;123;97;521;0;1;0 
2968;123;97;520;0;1;0 
2993;123;97;521;0;1;0 
3484;123;97;520;0;1;0 
3662;123;97;521;0;1;0 
3198;123;97;521;0;1;0 
4038;123;97;522;0;1;0 
4190;123;97;518;0;1;0 
6467;123;97;524;0;1;0 
3047;123;97;520;0;1;0 
4060;123;97;519;0;1;0 
3761;123;97;522;0;1;0 
3966;123;97;521;0;1;0 
3175;123;97;520;0;1;0 
6365;123;97;522;0;1;0 
3395;123;97;523;0;1;0 
3145;123;97;520;0;1;0 
3388;123;97;519;0;1;0 
3411;123;97;521;0;1;0 
4459;123;97;521;0;1;0 
3658;123;97;522;0;1;0 
3100;123;97;521;0;1;0 
4548;123;97;522;0;1;0 
3945;123;97;520;0;1;0 
3321;123;97;520;0;1;0 
3426;123;97;521;0;1;0 
4077;123;97;521;0;1;0 
3601;123;97;522;0;1;0 
4009;123;97;519;0;1;0 
3846;123;97;520;0;1;0 
3324;123;97;520;0;1;0 
3501;123;97;522;0;1;0 
5750;123;97;519;0;1;0 
4143;123;97;519;0;1;0 
2967;123;97;520;0;1;0 
3453;123;97;522;0;1;0 
3454;123;97;520;0;1;0 
3619;123;97;521;0;1;0 
3772;123;97;521;0;1;0 
6016;123;97;521;0;1;0 
2937;123;97;522;0;1;0 
2984;123;97;523;0;1;0 
3506;123;97;522;0;1;0 
3327;123;97;519;0;1;0 
3735;123;97;522;0;1;0 
3050;123;97;521;0;1;0 
4121;123;97;522;0;1;0 
3334;123;97;521;0;1;0 
4601;123;97;521;0;1;0 
3910;123;97;522;0;1;0 
4888;123;97;522;0;1;0 
3189;123;97;521;0;1;0 
6441;123;97;520;0;1;0 
3964;123;97;521;0;1;0 
5286;123;97;524;0;1;0 
4356;123;97;519;0;1;0 
6216;123;97;522;0;1;0 
2485;123;97;520;0;1;0 
3020;123;97;520;0;1;0 
5256;123;97;522;0;1;0 
3269;123;97;520;0;1;0 
3052;123;97;521;0;1;0 
3703;123;97;522;0;1;0 
4989;123;97;521;0;1;0 
3505;123;97;520;0;1;0 
2749;123;97;520;0;1;0 
3449;123;97;519;0;1;0 
3403;123;97;520;0;1;0 
4274;123;97;522;0;1;0 
3484;123;97;521;0;1;0 
3355;123;97;521;0;1;0 
13152;123;97;520;0;1;0 
3658;123;97;519;0;1;0 
3580;123;97;521;0;1;0 
3676;123;97;522;0;1;0 
3296;123;97;520;0;1;0 
3473;123;97;522;0;1;0 
5017;123;97;522;0;1;0 
3193;123;97;523;0;1;0 
3576;123;97;521;0;1;0 
4004;123;97;522;0;1;0 
6219;123;97;520;0;1;0 
3437;123;97;521;0;1;0 
3381;123;97;521;0;1;0 
4642;123;97;522;0;2;0 
3663;123;97;521;0;1;0 
3794;123;97;523;0;1;0 
3358;123;97;521;0;1;0 
3556;123;97;521;0;1;0 
3532;123;97;521;0;1;0 
3186;123;97;523;0;1;0 
3575;123;97;522;0;1;0 
3111;123;97;521;0;1;0 
3479;123;97;522;0;1;0 
5740;123;97;520;0;1;0 
3289;123;97;522;0;1;0 
3132;123;97;520;0;1;0 
3806;123;97;520;0;1;0 
2797;123;97;521;0;1;0 
3395;123;97;521;0;1;0 
3138;123;97;520;0;1;0 
3622;123;97;523;0;1;0 
4410;123;97;520;0;1;0 
