CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
5904;28;46;0;1;22;51 
2349;28;46;0;1;25;51 
2355;28;46;0;1;25;51 
2404;28;46;0;1;24;51 
1940;28;46;0;1;26;51 
2992;28;46;0;1;24;51 
1866;28;46;0;1;23;51 
2543;28;46;0;1;24;51 
4111;28;46;0;1;22;51 
2751;28;46;0;1;26;51 
2361;28;46;0;1;19;51 
2832;28;46;0;1;24;51 
2152;28;46;0;1;25;51 
2988;28;46;0;1;24;51 
2176;28;46;0;1;25;51 
3374;28;46;0;1;26;51 
1941;28;46;0;1;22;51 
2835;28;46;0;1;25;51 
2686;28;46;0;1;23;51 
2559;28;46;0;1;25;51 
2260;28;46;0;1;23;51 
3184;28;46;0;1;22;51 
2251;28;46;0;1;24;51 
2004;28;46;0;1;22;51 
3197;28;46;0;1;27;51 
5340;28;46;0;1;24;51 
2813;28;46;0;1;22;51 
4271;28;46;0;1;25;51 
2396;28;46;0;1;22;51 
2262;28;46;0;1;27;51 
3885;28;46;0;1;23;51 
3300;28;46;0;1;23;51 
2509;28;46;0;1;24;51 
2336;28;46;0;1;26;51 
3077;28;46;0;1;26;51 
2301;28;46;0;1;22;51 
3029;28;46;0;1;25;51 
2148;28;46;0;1;24;51 
2648;28;46;0;1;21;51 
2256;28;46;0;1;20;51 
3814;28;46;0;1;26;51 
2380;28;46;0;1;25;51 
3450;28;46;0;1;21;51 
2248;28;46;0;1;21;51 
2036;28;46;0;1;23;51 
3558;28;46;0;1;27;51 
3362;28;46;0;1;26;51 
2498;28;46;0;1;25;51 
2813;28;46;0;1;27;51 
2016;28;46;0;1;23;51 
2440;28;46;0;1;26;51 
2510;28;46;0;1;22;51 
2995;28;46;0;1;25;51 
1798;28;46;0;1;24;51 
4110;28;46;0;1;26;51 
2523;28;46;0;1;21;51 
2876;28;46;0;1;23;51 
2334;28;46;0;1;25;51 
4198;28;46;0;1;25;51 
2173;28;46;0;1;23;51 
3489;28;46;0;1;24;51 
3248;28;46;0;1;24;51 
2458;28;46;0;1;23;51 
2293;28;46;0;1;22;51 
2291;28;46;0;1;24;51 
3088;28;46;0;1;24;51 
2759;28;46;0;1;22;51 
3234;28;46;0;1;26;51 
2520;28;46;0;1;26;51 
2716;28;46;0;1;23;51 
2448;28;46;0;1;22;51 
2403;28;46;0;1;21;51 
2315;28;46;0;1;26;51 
2508;28;46;0;1;24;51 
2380;28;46;0;1;24;51 
2814;28;46;0;1;27;51 
2391;28;46;0;1;25;51 
2308;28;46;0;1;23;51 
2971;28;46;0;1;26;51 
5208;28;46;0;1;23;51 
2153;28;46;0;1;22;51 
3149;28;46;0;1;24;51 
1902;28;46;0;1;25;51 
3038;28;46;0;1;22;51 
2766;28;46;0;1;26;51 
2733;28;46;0;1;23;51 
2397;28;46;0;1;25;51 
2201;28;46;0;1;25;51 
2062;28;46;0;1;25;51 
2476;28;46;0;1;23;51 
4859;28;46;0;1;24;51 
4298;28;46;0;1;23;51 
2332;28;46;0;1;20;51 
1876;28;46;0;1;24;51 
3566;28;46;0;1;24;51 
