CYCLES;0x13;0x14;0x15;0x16;0x17;0x18
3407;250;441;12;59;27;11 
2881;249;514;18;70;21;9 
2916;248;460;13;59;22;4 
2880;252;500;13;61;23;11 
3211;249;441;14;65;24;10 
2401;249;475;14;62;15;7 
2933;251;494;21;77;24;12 
2936;250;452;12;59;21;7 
2503;250;488;8;51;18;8 
3879;253;515;13;58;24;12 
5226;250;488;12;56;17;5 
3920;251;518;13;58;24;10 
2458;252;507;14;62;20;4 
5755;249;478;21;78;23;12 
2762;252;499;13;60;21;7 
3351;252;502;8;52;25;9 
2521;250;525;11;60;18;4 
3011;252;496;9;53;22;6 
2626;250;512;14;61;20;3 
3622;253;534;12;60;29;11 
2294;250;491;13;61;14;5 
2891;249;448;15;64;21;8 
2281;249;518;12;60;19;4 
4570;250;505;8;51;24;11 
2707;252;501;11;57;21;8 
3032;249;481;9;49;21;10 
2771;248;482;14;58;25;9 
3489;252;472;14;63;29;10 
2730;251;505;12;60;23;6 
2568;252;526;14;58;14;4 
3761;251;531;8;49;20;4 
3315;252;546;13;62;24;13 
2392;248;465;14;61;15;4 
2965;251;509;9;52;22;6 
3829;248;480;17;71;16;5 
6775;248;463;19;85;27;11 
2391;248;492;13;63;18;8 
2961;249;502;14;58;21;9 
3044;250;505;15;67;27;9 
3343;249;486;15;65;19;4 
5296;249;521;15;67;19;8 
4055;248;462;14;62;30;9 
2840;251;507;18;69;23;8 
3666;251;491;12;60;28;8 
2237;249;470;13;59;17;6 
3246;253;514;15;68;23;5 
2595;250;498;12;61;17;4 
3173;250;500;14;62;24;11 
2413;251;511;11;57;18;7 
3407;248;467;17;69;27;12 
2455;252;503;12;58;22;4 
2630;250;489;13;58;16;7 
2321;250;497;14;63;15;5 
3187;251;500;15;65;26;9 
3481;251;511;12;58;28;11 
3538;251;485;12;58;16;11 
2843;251;483;11;57;22;7 
3083;250;484;14;62;22;6 
2501;249;501;12;59;17;6 
3095;250;511;13;60;23;9 
4064;250;499;14;64;25;10 
3461;251;514;11;58;21;8 
3358;249;457;8;51;25;9 
3200;249;483;13;62;27;13 
2845;252;491;14;61;16;4 
3217;251;502;7;51;28;5 
2608;249;512;14;60;19;5 
5389;251;468;13;61;24;6 
2878;248;490;14;62;19;6 
2727;249;509;8;50;18;4 
3013;252;498;17;71;29;10 
3018;251;511;14;64;23;12 
3253;251;518;14;60;21;7 
5642;251;520;12;54;16;5 
4806;249;518;11;57;28;10 
3195;252;525;8;50;17;7 
3719;252;508;12;57;29;9 
2746;248;508;14;62;19;7 
3667;252;482;14;62;26;15 
3924;249;502;9;50;17;7 
5999;251;509;12;58;27;9 
3126;250;473;14;64;22;10 
3404;249;487;14;64;26;14 
2151;248;481;12;56;12;6 
3257;252;501;14;64;25;10 
1970;249;513;18;69;8;5 
5999;252;511;23;91;21;9 
3055;249;496;11;54;13;3 
2814;251;486;12;58;21;9 
2937;251;497;15;63;20;4 
2699;251;508;14;63;20;5 
2279;249;479;13;58;13;5 
3213;249;458;15;66;25;11 
2922;249;493;14;61;16;7 
2864;248;467;10;54;24;12 
2982;250;506;6;46;20;3 
5463;249;481;14;64;20;9 
2786;249;471;11;59;24;6 
3866;249;445;16;66;28;10 
2658;249;537;12;58;18;7 
3374;250;500;11;58;22;5 
2779;249;471;15;66;20;10 
2834;248;422;13;61;27;7 
3004;250;510;14;63;22;11 
5220;251;504;17;69;21;5 
3145;252;506;8;49;25;8 
2948;252;516;12;56;21;3 
3012;251;560;17;67;20;6 
4115;250;509;14;62;27;12 
2601;251;461;14;58;17;6 
3976;251;520;15;65;30;9 
2464;248;455;15;63;16;5 
2817;253;512;18;67;16;6 
3271;252;497;11;58;26;8 
2771;251;521;13;63;23;5 
2598;251;505;13;60;18;11 
4941;251;493;14;66;25;8 
2659;250;492;14;62;19;10 
2614;250;500;13;63;17;9 
2915;251;504;13;55;21;12 
6150;252;526;13;57;24;11 
3200;251;463;12;60;26;9 
3190;249;461;18;72;24;6 
3579;252;500;13;59;23;10 
3599;251;492;15;67;37;8 
3009;249;493;11;58;22;8 
2725;248;531;15;64;20;4 
3298;251;491;19;73;22;10 
2563;250;512;14;61;16;9 
4099;249;471;13;60;29;9 
2803;251;545;14;63;21;9 
2918;251;512;12;61;18;10 
2758;252;514;14;60;18;2 
3764;251;508;12;61;23;7 
2877;251;493;13;60;20;8 
5697;249;490;14;62;21;10 
2365;251;531;12;55;17;6 
3599;248;490;14;60;30;9 
3257;249;487;7;48;24;6 
4922;251;513;14;61;27;20 
5051;249;507;10;53;15;4 
3013;251;485;13;58;23;8 
2265;248;497;12;59;13;2 
2698;251;497;14;61;20;7 
2253;251;470;11;58;18;7 
5307;252;527;6;46;26;7 
5286;249;521;16;67;18;8 
