CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
2325;1;0;0;47;0;2 
3542;1;0;0;45;0;2 
2028;1;0;0;47;0;3 
3320;1;0;0;47;0;3 
2173;1;0;0;43;0;2 
2704;1;0;0;50;0;2 
1996;1;0;0;49;0;2 
3814;1;0;0;46;0;2 
3273;1;0;0;47;0;2 
2246;1;0;0;43;0;0 
2633;1;0;0;48;0;2 
6023;1;0;0;44;0;0 
2314;1;0;0;48;0;2 
3325;1;0;0;48;0;3 
2372;1;0;0;48;0;3 
6015;1;0;0;45;0;2 
2423;1;0;0;49;0;2 
3539;1;0;0;48;0;3 
5257;1;0;0;50;0;3 
2613;1;0;0;44;0;3 
2588;1;0;0;46;0;3 
2929;1;0;0;42;0;0 
2028;1;0;0;44;0;2 
3679;1;0;0;43;0;0 
5787;1;0;0;58;0;10 
2397;1;0;0;46;0;2 
2390;1;0;0;48;0;3 
2580;1;0;0;46;0;3 
2907;1;0;0;50;0;2 
2427;1;0;0;47;0;2 
3078;1;0;0;51;0;3 
2992;1;0;0;45;0;0 
2759;1;0;0;45;0;3 
2484;1;0;0;50;0;4 
2437;1;0;0;47;0;3 
2712;1;0;0;43;0;2 
3578;1;0;0;44;0;2 
3314;1;0;0;48;0;3 
2400;1;0;0;47;0;3 
2922;1;0;0;41;0;0 
2473;1;0;0;45;0;2 
3003;1;0;0;51;0;3 
4827;1;0;0;48;0;0 
2957;1;0;0;46;0;2 
2919;1;0;0;48;0;3 
2892;1;0;0;46;0;3 
2687;1;0;0;47;0;3 
2130;1;0;0;45;0;2 
2287;1;0;0;42;0;0 
2028;1;0;0;50;0;3 
3335;1;0;0;47;0;2 
3471;1;0;0;46;0;3 
2892;1;0;0;49;0;3 
2151;1;0;0;48;0;3 
3312;1;0;0;48;0;3 
2225;1;0;0;47;0;2 
2369;1;0;0;50;0;3 
2370;1;0;0;49;0;7 
4026;1;0;0;48;0;2 
2704;1;0;0;45;0;0 
4763;1;0;0;41;0;0 
1795;1;0;0;49;0;3 
2729;1;0;0;48;0;3 
5195;1;0;0;47;0;2 
2841;1;0;0;44;0;0 
2108;1;0;0;44;0;2 
2468;1;0;0;40;0;0 
2947;1;0;0;46;0;2 
4168;1;0;0;52;0;3 
5081;1;0;0;48;0;7 
3435;1;0;0;50;0;3 
3357;1;0;0;48;0;3 
2784;1;0;0;45;0;0 
3574;1;0;0;46;0;2 
2252;1;0;0;43;0;2 
2792;1;0;0;45;0;3 
2934;1;0;0;46;0;2 
2610;1;0;0;50;0;3 
2448;1;0;0;45;0;2 
2691;1;0;0;47;0;3 
2569;1;0;0;47;0;3 
3773;1;0;0;48;0;2 
2677;1;0;0;45;0;2 
2594;1;0;0;45;0;2 
3358;1;0;0;43;0;0 
3462;1;0;0;48;0;3 
2740;1;0;0;50;0;3 
2908;1;0;0;46;0;2 
2564;1;0;0;50;0;10 
2775;1;0;0;43;0;0 
2241;1;0;0;46;0;2 
3937;1;0;0;44;0;0 
2233;1;0;0;48;0;2 
2553;1;0;0;44;0;0 
3041;1;0;0;49;0;0 
3172;1;0;0;47;0;2 
2643;1;0;0;45;0;0 
3115;1;0;0;46;0;3 
4856;1;0;0;51;0;3 
3105;1;0;0;50;0;3 
1695;1;0;0;46;0;3 
2094;1;0;0;43;0;0 
3149;1;0;0;46;0;2 
2874;1;0;0;49;0;2 
2499;1;0;0;45;0;2 
3974;1;0;0;48;0;3 
14122;1;0;0;45;0;0 
2576;1;0;0;50;0;2 
5072;1;0;0;43;0;2 
2421;1;0;0;50;0;3 
2352;1;0;0;48;0;7 
3697;1;0;0;48;0;3 
2456;1;0;0;46;0;3 
2363;1;0;0;45;0;3 
2176;1;0;0;56;0;10 
2343;1;0;0;44;0;2 
2859;1;0;0;46;0;2 
2752;1;0;0;45;0;2 
