CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
3188;7;0;0;0;0;0 
2600;9;0;0;0;0;0 
5623;9;0;0;0;0;0 
3634;9;0;0;0;0;0 
2436;9;0;0;0;0;0 
3052;9;0;0;0;7;0 
5439;7;0;0;0;0;0 
2823;11;0;0;0;0;0 
2705;9;0;0;0;0;0 
3215;11;0;0;0;0;0 
3346;9;0;0;0;0;0 
3177;9;0;0;0;0;0 
2579;13;0;0;0;0;0 
3279;11;0;0;0;0;0 
2371;13;0;0;0;5;0 
3772;9;0;0;0;0;0 
2620;9;0;0;0;6;0 
3002;9;0;0;0;0;0 
2933;28;0;0;0;0;0 
4269;13;0;0;0;0;0 
2741;9;0;0;0;0;0 
2581;9;0;0;0;0;0 
2623;7;0;0;0;0;0 
3186;13;0;0;0;0;0 
3071;9;0;0;0;0;0 
2982;0;0;0;0;2;0 
2571;13;0;0;0;0;0 
3586;4;0;0;0;0;0 
2933;9;0;0;0;0;0 
4377;9;0;0;0;0;0 
2772;11;0;0;0;0;0 
3918;11;0;0;0;6;0 
3184;9;0;0;0;0;0 
2589;48;0;0;0;9;0 
2663;9;0;0;0;0;0 
3232;11;0;0;0;0;0 
3623;13;0;0;0;0;0 
5745;11;0;0;0;0;0 
3125;9;0;0;0;0;0 
7088;11;0;0;0;0;0 
2872;9;0;0;0;0;0 
2855;9;0;0;0;0;0 
3229;7;0;0;0;0;0 
5285;9;0;0;0;0;0 
3026;9;0;0;0;0;0 
2368;9;0;0;0;0;0 
2925;9;0;0;0;0;0 
2986;9;0;0;0;8;0 
3059;9;0;0;0;0;0 
2641;11;0;0;0;0;0 
2673;7;0;0;0;0;0 
3112;9;0;0;0;0;0 
3213;9;0;0;0;0;0 
2935;13;0;0;0;9;0 
2657;23;0;0;0;8;0 
4258;9;0;0;0;0;0 
2753;0;0;0;0;7;0 
2878;9;0;0;0;0;0 
3288;9;0;0;0;1;0 
2732;7;0;0;0;0;0 
5346;0;0;0;0;0;0 
3447;9;0;0;0;0;0 
3169;11;0;0;0;0;0 
2854;11;0;0;0;0;0 
2660;9;0;0;0;0;0 
5419;9;0;0;0;0;0 
3291;11;0;0;0;0;0 
4974;11;0;0;0;0;0 
2913;10;0;0;0;0;0 
2290;9;0;0;0;0;0 
3078;9;0;0;0;0;0 
5751;11;0;0;0;0;0 
2827;21;0;0;0;0;0 
3758;13;0;0;0;0;0 
5457;0;0;0;0;0;0 
4687;9;0;0;0;0;0 
2783;9;0;0;0;11;0 
2927;13;0;0;0;0;0 
2738;11;0;0;0;0;0 
4864;9;0;0;0;0;0 
2902;13;0;0;0;5;0 
2537;9;0;0;0;0;0 
2967;0;0;0;0;0;0 
2527;23;0;0;0;0;0 
2667;11;0;0;0;0;0 
2559;9;0;0;0;0;0 
2930;9;0;0;0;0;0 
3407;9;0;0;0;0;0 
2816;13;0;0;0;0;0 
2670;11;0;0;0;1;0 
3426;11;0;0;0;0;0 
2571;7;0;0;0;8;0 
3357;30;0;0;0;0;0 
2518;11;0;0;0;0;0 
3177;28;0;0;0;0;0 
3701;9;0;0;0;0;0 
3113;9;0;0;0;0;0 
3056;9;0;0;0;0;0 
3192;9;0;0;0;0;0 
3357;9;0;0;0;1;0 
5515;9;0;0;0;0;0 
3511;9;0;0;0;0;0 
3133;11;0;0;0;0;0 
3898;9;0;0;0;7;0 
3611;23;0;0;0;0;0 
2952;9;0;0;0;0;0 
3424;9;0;0;0;0;0 
3059;9;0;0;0;0;0 
2348;9;0;0;0;0;0 
2997;21;0;0;0;0;0 
2664;9;0;0;0;8;0 
3923;9;0;0;0;0;0 
2405;9;0;0;0;0;0 
4693;9;0;0;0;1;0 
2782;30;0;0;0;0;0 
2990;9;0;0;0;0;0 
2890;11;0;0;0;0;0 
2897;23;0;0;0;8;0 
3913;9;0;0;0;7;0 
3844;7;0;0;0;0;0 
2964;7;0;0;0;0;0 
3478;11;0;0;0;0;0 
2616;11;0;0;0;0;0 
2692;13;0;0;0;0;0 
2440;11;0;0;0;0;0 
4012;7;0;0;0;0;0 
2918;11;0;0;0;0;0 
3022;9;0;0;0;0;0 
2533;9;0;0;0;0;0 
4185;15;0;0;0;0;0 
6102;11;0;0;0;0;0 
3502;23;0;0;0;0;0 
3056;9;0;0;0;0;0 
2888;7;0;0;0;0;0 
3238;11;0;0;0;0;0 
2481;9;0;0;0;0;0 
3759;11;0;0;0;0;0 
3070;7;0;0;0;0;0 
3007;13;0;0;0;0;0 
3423;9;0;0;0;0;0 
4001;9;0;0;0;0;0 
3450;9;0;0;0;0;0 
4239;13;0;0;0;0;0 
2772;42;0;0;0;9;0 
3260;9;0;0;0;0;0 
2530;9;0;0;0;0;0 
4103;9;0;0;0;0;0 
3264;34;0;0;0;0;0 
5204;3;0;0;0;0;0 
3507;9;0;0;0;0;0 
3086;9;0;0;0;0;0 
3289;9;0;0;0;0;0 
2961;11;0;0;0;0;0 
3806;7;0;0;0;0;0 
3437;9;0;0;0;0;0 
5537;9;0;0;0;0;0 
3101;9;0;0;0;0;0 
2558;9;0;0;0;7;0 
2810;11;0;0;0;0;0 
2713;7;0;0;0;0;0 
2483;13;0;0;0;0;0 
2831;3;0;0;0;8;0 
2874;28;0;0;0;0;0 
2152;9;0;0;0;17;0 
5751;9;0;0;0;0;0 
3058;9;0;0;0;0;0 
2771;9;0;0;0;0;0 
3501;11;0;0;0;0;0 
2644;9;0;0;0;0;0 
2760;9;0;0;0;0;0 
2724;9;0;0;0;0;0 
4427;7;0;0;0;0;0 
2653;11;0;0;0;0;0 
2572;9;0;0;0;9;0 
3294;11;0;0;0;0;0 
2936;9;0;0;0;0;0 
2242;9;0;0;0;5;0 
3294;30;0;0;0;0;0 
2598;9;0;0;0;0;0 
2340;11;0;0;0;0;0 
3311;30;0;0;0;0;0 
2698;9;0;0;0;0;0 
2661;11;0;0;0;0;0 
5463;7;0;0;0;0;0 
4324;9;0;0;0;0;0 
2890;9;0;0;0;0;0 
2799;9;0;0;0;0;0 
5452;9;0;0;0;0;0 
2615;9;0;0;0;9;0 
2834;28;0;0;0;0;0 
4072;28;0;0;0;0;0 
2550;9;0;0;0;0;0 
3898;9;0;0;0;0;0 
2756;9;0;0;0;0;0 
3206;7;0;0;0;0;0 
2494;9;0;0;0;0;0 
3056;9;0;0;0;0;0 
2747;11;0;0;0;0;0 
3537;13;0;0;0;0;0 
3292;9;0;0;0;7;0 
3062;11;0;0;0;0;0 
3389;11;0;0;0;0;0 
3035;9;0;0;0;0;0 
4680;9;0;0;0;0;0 
3120;23;0;0;0;0;0 
3380;19;0;0;0;0;0 
3091;11;0;0;0;0;0 
2365;9;0;0;0;6;0 
5299;0;0;0;0;0;0 
3933;9;0;0;0;0;0 
3012;9;0;0;0;0;0 
2478;3;0;0;0;0;0 
4936;11;0;0;0;8;0 
2432;24;0;0;0;0;0 
3154;9;0;0;0;0;0 
2702;9;0;0;0;0;0 
2782;9;0;0;0;0;0 
