CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
3580;0;48;2411;12;0;9 
3119;0;68;1724;20;0;10 
2923;0;58;1734;20;0;9 
3153;0;65;1929;20;0;11 
2733;0;58;1520;21;0;9 
2948;0;65;1634;21;0;8 
3579;0;74;2351;16;0;9 
2964;0;68;1784;15;0;9 
3327;0;55;2270;16;0;10 
4722;0;56;3226;21;0;10 
5220;0;64;3817;26;0;9 
3766;0;54;2351;16;0;11 
3335;0;64;2089;16;0;9 
2640;0;65;1540;19;0;10 
2606;0;73;1199;11;0;10 
2845;0;63;1801;14;0;9 
5424;0;67;4244;20;0;9 
4142;0;56;2800;12;0;11 
2614;0;58;1281;16;0;10 
3241;0;63;2010;22;0;10 
2544;0;47;1542;17;0;10 
2648;0;57;1331;24;0;9 
2878;0;54;1465;16;0;10 
2982;0;64;1795;20;0;9 
2717;0;56;1504;21;0;8 
3253;0;61;2052;20;0;10 
2565;0;47;1430;16;0;10 
3727;0;54;2325;13;0;10 
2294;0;56;1239;16;0;9 
2867;0;58;1653;25;0;9 
5375;0;61;4159;12;0;12 
2780;0;61;1525;24;0;11 
3854;0;71;2410;22;0;12 
4708;0;71;2675;21;0;10 
2522;0;54;1142;17;0;10 
3332;0;61;2149;20;0;10 
3786;0;63;2243;26;0;9 
3627;0;60;2556;14;0;10 
3395;0;53;2340;26;0;10 
3980;0;54;1576;23;0;11 
2377;0;60;977;20;0;9 
2868;0;65;1798;25;0;9 
2174;0;58;827;16;0;10 
3045;0;57;1720;16;0;10 
2580;0;62;1266;20;0;10 
5006;0;63;2658;21;0;8 
3208;0;68;2023;16;0;9 
2831;0;78;1727;26;0;11 
2865;0;65;1663;20;0;9 
3006;0;67;1672;21;0;11 
2579;0;66;1217;22;0;9 
3117;0;63;1804;16;0;10 
3156;0;67;2079;16;0;10 
4800;0;55;3345;21;0;10 
3276;0;59;1994;15;0;11 
2930;0;60;1578;20;0;11 
3084;0;72;1772;15;0;9 
3025;0;57;1671;21;0;10 
3715;0;65;2629;20;0;9 
2753;0;51;1557;22;0;11 
2753;0;67;1576;16;0;10 
2403;0;51;1231;21;0;9 
4179;0;63;2987;26;0;11 
2886;0;76;1495;20;0;10 
2438;0;67;1033;20;0;11 
2681;0;56;1606;16;0;11 
2992;0;63;1659;17;0;10 
2646;0;59;1353;21;0;11 
2836;0;67;1782;21;0;10 
4274;0;61;2639;17;0;10 
3517;0;53;2212;24;0;10 
2879;0;72;1495;31;0;11 
2546;0;55;1242;16;0;11 
3100;0;69;1768;20;0;11 
2941;0;62;1755;21;0;10 
3876;0;73;2374;12;0;11 
2577;0;63;1227;17;0;11 
3172;0;54;1959;16;0;10 
4072;0;71;1602;20;0;11 
3069;0;51;2052;22;0;10 
3378;0;62;2080;11;0;10 
3800;0;62;2394;18;0;10 
2997;0;63;1553;22;0;10 
2849;0;65;1604;20;0;11 
2679;0;64;1169;16;0;10 
3399;0;57;2216;15;0;10 
2588;0;52;1314;20;0;10 
3198;0;72;1936;27;0;9 
3291;0;68;2272;16;0;10 
2254;0;57;1077;16;0;10 
4213;0;67;2749;17;0;11 
2604;0;66;1526;21;0;9 
2837;0;69;1575;18;0;9 
2189;0;67;954;40;0;9 
3468;0;64;2105;21;0;10 
3605;0;61;2160;20;0;10 
3194;0;63;2004;20;0;10 
2779;0;49;1488;16;0;9 
2740;0;80;1382;29;0;9 
2925;0;57;1721;26;0;10 
2735;0;70;1363;33;0;10 
3227;0;59;1995;21;0;10 
2970;0;60;1900;16;0;10 
4239;0;61;2022;24;0;10 
2572;0;59;1385;20;0;8 
3056;0;77;1854;12;0;11 
2905;0;67;1488;12;0;11 
3748;0;70;2549;20;0;10 
2495;0;62;1298;17;0;9 
2587;0;66;1143;14;0;9 
2941;0;64;1598;20;0;11 
2823;0;64;1600;20;0;10 
8684;0;68;7247;24;0;9 
2467;0;63;1245;21;0;10 
2878;0;63;1498;25;0;11 
3943;0;59;2630;21;0;10 
5964;0;52;2967;27;0;11 
4163;0;62;2564;16;0;10 
3545;0;63;2182;24;0;11 
2645;0;56;1455;22;0;9 
2433;0;61;1347;20;0;9 
2842;0;51;1510;22;0;9 
2598;0;58;1331;19;0;11 
3142;0;69;1583;32;0;11 
2949;0;68;1854;13;0;9 
2906;0;59;1572;17;0;11 
3171;0;57;1707;21;0;10 
3632;0;69;2545;27;0;10 
2643;0;67;1315;20;0;11 
3583;0;69;2504;27;0;11 
3006;0;58;1719;20;0;10 
2726;0;61;1456;12;0;10 
2163;0;60;945;20;0;9 
3074;0;71;1985;20;0;10 
3499;0;165;2010;43;0;10 
3707;0;56;2649;20;0;10 
2960;0;70;1667;14;0;10 
3318;0;60;2080;21;0;9 
2979;0;62;1763;17;0;10 
3161;0;65;1932;24;0;10 
2800;0;57;1643;16;0;9 
2925;0;57;1855;20;0;9 
3351;0;84;1961;27;0;12 
3361;0;52;1465;16;0;9 
2903;0;61;1678;20;0;10 
2874;0;67;1663;16;0;11 
2756;0;63;1691;17;0;10 
3641;0;64;2419;22;0;9 
3582;0;65;2247;14;0;10 
2878;0;70;1511;12;0;10 
3053;0;61;1971;20;0;9 
2446;0;79;1205;16;0;9 
2895;0;67;1681;16;0;10 
3294;0;70;2231;21;0;10 
4370;0;64;3296;20;0;8 
2125;0;55;947;15;0;9 
2818;0;59;1623;21;0;9 
2589;0;72;1371;27;0;10 
2727;0;58;1392;21;0;8 
2987;0;56;1522;22;0;9 
3067;0;61;1676;29;0;10 
4727;0;54;3538;16;0;10 
2665;0;61;1345;26;0;11 
3022;0;55;1711;14;0;10 
3136;0;68;1895;27;0;11 
3709;0;70;2363;20;0;10 
2942;0;64;1781;22;0;10 
2783;0;51;1748;17;0;8 
2921;0;58;1615;20;0;11 
3974;0;66;2758;16;0;9 
2712;0;61;1507;21;0;10 
2593;0;56;1345;16;0;9 
5862;0;69;4459;26;0;10 
5222;0;64;4053;20;0;8 
4009;0;75;2757;32;0;12 
3008;0;59;1596;24;0;10 
2407;0;69;1162;16;0;10 
3813;0;59;2583;21;0;10 
4571;0;65;3501;18;0;10 
3318;0;115;2026;17;0;10 
2227;0;57;851;21;0;11 
2734;0;52;1432;16;0;9 
3003;0;78;1564;25;0;9 
2657;0;63;1449;20;0;9 
2916;0;49;1582;28;0;9 
4219;0;54;2745;22;0;11 
3240;0;54;2053;23;0;10 
3953;0;59;2471;15;0;11 
2938;0;65;1528;16;0;9 
3787;0;67;2482;12;0;9 
2774;0;54;1575;20;0;10 
3142;0;63;1921;22;0;9 
2291;0;65;1043;23;0;11 
4244;0;73;2889;22;0;10 
3584;0;68;2179;16;0;10 
2323;0;72;1022;22;0;11 
2509;0;50;1210;21;0;11 
5549;0;56;1349;15;0;9 
2505;0;57;1191;24;0;9 
3575;0;64;2404;15;0;9 
3057;0;64;1966;22;0;11 
3618;0;71;2421;17;0;11 
3714;0;71;2358;16;0;9 
3457;0;68;1993;20;0;8 
5711;0;68;4631;21;0;10 
3291;0;73;1913;26;0;10 
2604;0;65;1315;23;0;10 
6038;0;66;4798;18;0;10 
2597;0;44;1392;15;0;9 
3032;0;60;1825;22;0;10 
2619;0;58;1284;15;0;9 
4646;0;62;3563;16;0;10 
2209;0;72;980;29;0;10 
2877;0;65;1649;29;0;11 
3328;0;74;1492;26;0;10 
3066;0;78;1723;21;0;10 
2950;0;66;1724;18;0;8 
3272;0;66;2074;16;0;10 
2667;0;58;1341;24;0;8 
2792;0;68;1456;21;0;11 
3444;0;61;2250;18;0;10 
3033;0;70;1817;21;0;11 
4853;0;58;2994;12;0;8 
3665;0;67;2307;18;0;10 
2868;0;65;1686;16;0;10 
2539;0;52;1376;21;0;11 
3440;0;59;1939;26;0;9 
2520;0;54;1307;18;0;10 
3895;0;58;2537;24;0;10 
3046;0;63;1823;21;0;10 
3084;0;66;1896;25;0;11 
3431;0;188;2081;23;0;11 
3308;0;73;1841;12;0;9 
3255;0;63;1806;21;0;11 
3132;0;83;1745;20;0;11 
2920;0;51;1755;20;0;9 
3358;0;64;2183;26;0;10 
3456;0;69;2228;21;0;10 
2547;0;71;1451;20;0;9 
3285;0;56;2211;13;0;10 
4605;0;74;2717;16;0;11 
2439;0;59;1252;20;0;10 
3803;0;54;1445;18;0;10 
3144;0;61;2054;31;0;9 
3450;0;66;2249;20;0;10 
2658;0;59;1342;16;0;10 
3448;0;60;2232;18;0;11 
3024;0;63;1799;21;0;9 
2961;0;55;1793;20;0;10 
2766;0;62;1561;12;0;10 
2721;0;60;1394;17;0;10 
3397;0;62;1909;22;0;9 
3310;0;63;1838;20;0;12 
4695;0;67;2297;25;0;10 
4005;0;58;2654;15;0;11 
2608;0;52;1405;15;0;10 
2609;0;65;1442;17;0;9 
2517;0;62;1193;26;0;9 
5477;0;63;4263;20;0;10 
3733;0;67;2628;20;0;10 
3080;0;59;1814;16;0;9 
4033;0;59;1440;18;0;9 
2962;0;61;1646;16;0;9 
3421;0;66;2239;20;0;9 
2431;0;61;1265;16;0;10 
2801;0;46;1416;24;0;9 
3457;0;68;2250;16;0;9 
5105;0;49;3782;25;0;9 
4529;0;54;3430;20;0;11 
3074;0;69;1711;16;0;10 
2436;0;40;1427;13;0;10 
3481;0;59;2423;22;0;10 
5454;0;63;4294;22;0;9 
4770;0;63;3713;20;0;9 
3758;0;62;2565;12;0;8 
3497;0;61;2321;22;0;9 
4129;0;79;2517;10;0;10 
3976;0;68;2770;18;0;10 
2929;0;64;1596;16;0;11 
3860;0;67;2439;16;0;10 
2432;0;59;1104;25;0;10 
2986;0;55;1772;20;0;10 
2730;0;62;1537;15;0;8 
3243;0;63;2023;21;0;11 
2756;0;62;1677;16;0;9 
4126;0;63;2802;24;0;10 
2728;0;63;1642;12;0;11 
4453;0;58;3012;10;0;9 
6033;0;188;4568;12;0;11 
4178;0;45;1655;21;0;9 
5572;0;53;4515;20;0;10 
3124;0;67;1790;16;0;9 
2541;0;65;1498;20;0;10 
3900;0;67;2686;20;0;10 
2871;0;64;1567;20;0;9 
2977;0;58;1772;18;0;9 
2651;0;47;1372;21;0;11 
4790;0;49;2682;23;0;10 
5601;0;73;4233;25;0;11 
2770;0;62;1553;36;0;9 
3490;0;64;1363;22;0;12 
3365;0;63;2172;24;0;10 
3263;0;75;1956;15;0;10 
2288;0;63;1070;16;0;9 
2889;0;73;1818;14;0;9 
5447;0;60;4220;12;0;10 
3568;0;61;2376;19;0;11 
2677;0;52;1337;26;0;9 
2285;0;62;896;21;0;9 
3512;0;72;2165;17;0;10 
3557;0;59;2151;16;0;11 
2691;0;60;1270;26;0;10 
3921;0;58;2596;22;0;10 
2902;0;52;1593;16;0;10 
3197;0;55;1970;16;0;9 
3410;0;64;2040;22;0;10 
3909;0;57;2483;21;0;10 
2810;0;71;1576;20;0;9 
3507;0;71;2266;26;0;9 
3533;0;73;2004;22;0;10 
2983;0;66;1646;13;0;10 
2506;0;53;1150;24;0;8 
3188;0;64;1902;15;0;9 
3315;0;49;2146;22;0;10 
2504;0;48;1294;15;0;10 
3434;0;84;1952;35;0;12 
2972;0;56;1623;15;0;11 
4442;0;63;1280;37;0;10 
3499;0;60;2306;21;0;10 
3793;0;60;2533;17;0;10 
2864;0;65;1586;16;0;11 
2925;0;55;1729;12;0;10 
2916;0;63;1502;22;0;10 
4028;0;82;2532;43;0;10 
2806;0;67;1692;22;0;10 
2859;0;66;1649;21;0;10 
2624;0;68;1584;16;0;9 
2938;0;47;1746;22;0;9 
6173;0;69;4757;21;0;10 
2421;0;43;1082;13;0;10 
2731;0;53;1456;22;0;10 
3379;0;63;2164;26;0;11 
4124;0;65;2310;20;0;10 
3213;0;54;1846;21;0;9 
2506;0;57;1273;12;0;12 
6162;0;61;4854;30;0;9 
3969;0;68;1795;24;0;10 
2779;0;67;1555;20;0;11 
2881;0;65;1666;21;0;10 
2958;0;67;1697;21;0;10 
2629;0;67;1171;24;0;10 
2999;0;50;1957;17;0;10 
2759;0;77;1416;26;0;10 
2653;0;67;1554;20;0;9 
3323;0;69;2085;21;0;9 
2697;0;58;1416;23;0;10 
4242;0;55;3154;25;0;9 
3496;0;69;2210;23;0;9 
4044;0;62;2705;17;0;9 
2427;0;76;1116;24;0;10 
3497;0;55;2309;21;0;10 
2889;0;51;1411;37;0;10 
4262;0;57;2929;24;0;11 
2881;0;62;1680;20;0;10 
2428;0;49;1385;17;0;9 
2880;0;68;1800;22;0;10 
3187;0;60;1999;16;0;11 
4161;0;70;2814;20;0;10 
4575;0;68;3018;20;0;11 
3037;0;58;1606;21;0;10 
3747;0;71;2400;15;0;11 
2480;0;59;1084;39;0;9 
2775;0;56;1395;16;0;10 
3031;0;51;1825;21;0;9 
3722;0;70;2632;21;0;10 
2703;0;57;1537;20;0;9 
3183;0;54;2021;20;0;10 
4937;0;63;3713;21;0;8 
4021;0;73;2449;16;0;9 
2631;0;62;1288;21;0;11 
3037;0;70;1829;22;0;12 
3108;0;67;2009;20;0;10 
2886;0;48;1814;17;0;10 
2580;0;75;1329;16;0;9 
3268;0;63;2050;22;0;10 
2319;0;57;1122;16;0;8 
3621;0;73;2278;16;0;9 
2649;0;58;1371;20;0;11 
2781;0;65;1545;20;0;9 
2792;0;76;1460;26;0;10 
2273;0;63;1107;12;0;10 
2686;0;62;1624;21;0;9 
4522;0;65;2982;13;0;10 
2034;0;44;854;16;0;10 
3001;0;53;1713;25;0;10 
3985;0;57;2635;24;0;8 
2958;0;59;1640;16;0;9 
3105;0;62;1912;20;0;8 
2212;0;58;1155;21;0;10 
2605;0;58;1233;23;0;10 
3591;0;320;2046;33;0;12 
2772;0;59;1457;23;0;9 
3448;0;64;2055;13;0;11 
3078;0;43;1789;20;0;9 
3113;0;64;1587;16;0;10 
3023;0;74;1555;15;0;11 
2848;0;62;1650;15;0;13 
3010;0;74;1514;27;0;10 
2810;0;67;1513;12;0;9 
2626;0;67;1240;16;0;11 
2866;0;80;1633;15;0;10 
3051;0;68;1849;12;0;10 
2628;0;61;1255;22;0;11 
