CYCLES;0x13;0x14;0x15;0x16;0x17;0x18
3210;249;462;13;59;24;7 
3028;250;517;8;49;18;4 
5646;252;525;14;63;19;6 
3959;250;493;13;59;22;8 
3534;250;497;12;54;21;6 
2309;249;477;7;46;17;0 
2182;249;499;12;58;14;4 
2396;251;508;13;60;16;3 
2481;249;499;14;66;16;6 
3444;249;466;14;60;24;4 
2625;249;508;13;58;17;6 
3392;249;499;17;72;29;7 
2526;252;531;14;59;16;6 
2847;252;485;15;66;20;6 
4554;252;516;14;60;20;5 
2534;249;478;14;61;17;2 
2536;251;481;14;60;18;4 
3284;249;493;14;60;20;6 
2804;248;503;15;64;21;7 
4250;253;508;13;61;26;10 
2748;251;496;14;63;18;5 
2999;252;520;8;54;20;4 
3334;250;465;16;66;29;5 
3318;249;490;11;58;16;5 
3793;252;532;7;47;19;3 
3646;252;509;13;55;17;3 
2718;249;486;13;62;16;2 
3707;250;488;14;62;29;8 
3068;251;523;18;74;23;7 
2144;250;500;13;64;17;5 
5302;249;494;12;59;20;10 
2156;251;513;9;53;13;4 
2625;252;522;9;51;18;7 
3693;250;505;8;50;19;3 
2666;252;498;11;58;17;6 
2830;250;475;14;63;22;5 
3640;249;475;14;63;22;7 
2971;252;493;15;66;23;4 
2820;252;508;15;62;19;4 
2774;250;517;15;62;24;4 
2924;250;494;11;54;13;3 
2353;248;507;12;59;13;5 
4777;249;474;13;58;15;4 
2835;251;477;13;59;24;8 
2614;249;496;8;52;18;6 
2609;249;482;8;48;19;7 
4770;251;513;12;56;19;5 
2541;250;461;11;58;17;5 
5661;253;504;18;71;18;5 
3199;249;517;11;56;18;3 
2759;250;506;11;55;22;4 
3780;251;478;9;54;29;5 
2537;250;512;9;51;14;4 
2660;249;488;14;63;18;4 
2934;253;513;13;58;22;9 
3551;251;538;15;64;19;5 
4133;251;498;16;63;19;6 
3408;250;469;16;65;17;8 
2615;251;501;14;62;20;8 
2975;252;501;14;66;23;9 
2748;250;495;12;60;18;5 
3398;250;481;13;57;18;4 
2296;249;496;11;56;16;4 
2416;251;506;12;58;16;2 
3191;248;466;10;55;17;4 
3237;251;517;8;49;14;5 
3413;251;523;17;71;20;12 
2925;251;490;14;61;24;8 
5635;249;519;12;55;27;4 
2963;250;501;13;61;21;7 
2918;250;476;9;56;21;8 
2204;249;483;13;61;12;8 
3473;252;538;13;57;27;9 
3867;251;516;12;57;22;3 
