CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
3218;28;46;0;1;20;51 
2355;28;46;0;1;24;51 
2547;29;46;0;1;23;52 
3277;28;46;0;1;26;51 
1864;28;46;0;1;25;51 
2629;28;46;0;1;23;51 
2293;28;46;0;1;26;51 
3066;28;46;0;1;25;51 
2673;28;46;0;1;23;51 
2353;28;46;0;1;22;51 
2304;28;46;0;1;21;51 
2554;28;46;0;1;27;51 
2484;28;46;0;1;27;51 
2605;28;46;0;1;26;51 
1677;28;46;0;1;25;51 
2800;28;46;0;1;21;51 
2056;28;46;0;1;24;51 
2642;28;46;0;1;22;51 
2102;28;46;0;1;22;51 
2470;28;46;0;1;27;51 
2023;28;46;0;1;21;51 
3178;28;46;0;1;24;51 
2133;28;46;0;1;24;51 
5475;28;46;0;1;26;51 
2026;28;46;0;1;26;51 
2336;28;46;0;1;22;51 
2296;28;46;0;1;23;51 
2775;29;46;0;1;25;52 
2796;28;46;0;1;26;51 
2970;28;46;0;1;25;51 
1967;28;46;0;1;22;51 
1999;28;46;0;1;23;51 
4980;28;46;0;1;22;51 
2677;28;46;0;1;24;51 
2428;28;46;0;1;21;51 
2460;28;46;0;1;25;51 
2158;28;46;0;1;26;51 
2875;28;46;0;1;23;51 
2481;28;46;0;1;23;51 
2112;28;46;0;1;26;51 
2497;28;46;0;1;25;51 
2206;28;46;0;1;22;51 
2282;28;46;0;1;25;51 
2529;28;46;0;1;24;51 
3234;28;46;0;1;25;51 
2865;28;46;0;1;24;51 
2230;28;46;0;1;26;51 
2231;28;46;0;1;26;51 
2046;28;46;0;1;26;51 
2415;28;46;0;1;23;51 
2001;28;46;0;1;24;51 
2128;28;46;0;1;21;51 
2269;28;46;0;1;23;51 
2483;28;46;0;1;25;51 
4697;28;46;0;1;24;51 
2511;28;46;0;1;25;51 
2125;28;46;0;1;26;51 
2310;28;46;0;1;22;51 
2267;28;46;0;1;22;51 
2616;28;46;0;1;21;51 
2214;28;46;0;1;24;51 
3123;28;46;0;1;23;51 
2581;28;46;0;1;24;51 
2574;28;46;0;1;24;51 
2252;28;46;0;1;22;51 
2133;28;46;0;1;25;51 
1810;28;46;0;1;22;51 
2982;28;46;0;1;22;51 
2357;28;46;0;1;23;51 
3113;28;46;0;1;22;51 
2444;28;46;0;1;25;51 
2085;28;46;0;1;23;51 
2432;28;46;0;1;29;51 
2153;28;46;0;1;25;51 
2480;28;46;0;1;24;51 
2987;28;46;0;1;27;51 
2492;28;46;0;1;25;51 
1976;28;46;0;1;24;51 
2778;28;46;0;1;25;51 
1878;28;46;0;1;24;51 
2578;28;46;0;1;24;51 
2163;28;46;0;1;22;51 
2004;28;46;0;1;24;51 
2356;28;46;0;1;28;51 
4606;28;46;0;1;24;51 
2466;28;46;0;1;23;51 
3322;28;46;0;1;22;51 
2093;28;46;0;1;22;51 
2362;28;46;0;1;22;51 
2673;28;46;0;1;26;51 
2862;28;46;0;1;25;51 
2133;28;46;0;1;25;51 
3427;28;46;0;1;23;51 
1972;28;46;0;1;22;51 
2615;28;46;0;1;19;51 
1834;28;46;0;1;27;51 
2274;28;46;0;1;24;51 
2244;28;46;0;1;24;51 
2271;28;46;0;1;23;51 
2574;28;46;0;1;22;51 
2297;28;46;0;1;23;51 
3251;28;46;0;1;26;51 
5254;28;46;0;1;25;51 
2163;28;46;0;1;21;51 
2188;28;46;0;1;24;51 
2677;28;46;0;1;25;51 
3028;28;46;0;1;23;51 
2348;28;46;0;1;23;51 
2703;28;46;0;1;26;51 
2327;28;46;0;1;26;51 
2832;28;46;0;1;25;51 
2610;28;46;0;1;19;51 
4329;28;46;0;1;25;51 
3174;28;46;0;1;26;51 
2150;28;46;0;1;25;51 
2489;28;46;0;1;25;51 
2121;28;46;0;1;22;51 
2369;28;46;0;1;21;51 
2003;28;46;0;1;26;51 
2746;28;46;0;1;23;51 
3726;28;46;0;1;24;51 
2202;28;46;0;1;24;51 
2712;28;46;0;1;25;51 
1778;28;46;0;1;25;51 
2352;28;46;0;1;25;51 
1780;28;46;0;1;21;51 
3458;28;46;0;1;25;51 
2591;28;46;0;1;24;51 
5719;28;46;0;1;20;51 
2371;28;46;0;1;24;51 
4297;28;46;0;1;23;51 
3057;28;46;0;1;26;51 
3341;28;46;0;1;24;51 
2455;28;46;0;1;22;51 
2439;28;46;0;1;25;51 
4871;28;46;0;1;28;51 
2401;28;46;0;1;25;51 
2445;28;46;0;1;24;51 
2268;28;46;0;1;25;51 
1913;28;46;0;1;23;51 
4511;28;46;0;1;26;51 
3596;28;46;0;1;25;51 
2457;28;46;0;1;23;51 
2953;28;46;0;1;24;51 
2351;28;46;0;1;26;51 
2116;28;46;0;1;21;51 
2589;28;46;0;1;24;51 
2227;28;46;0;1;23;51 
3195;28;46;0;1;24;51 
2265;28;46;0;1;23;51 
3056;28;46;0;1;25;51 
2869;28;46;0;1;23;51 
3217;28;46;0;1;25;51 
3318;28;46;0;1;24;51 
2278;28;46;0;1;24;51 
2675;28;46;0;1;23;51 
2993;28;46;0;1;24;51 
2713;28;46;0;1;23;51 
2133;28;46;0;1;23;51 
2045;28;46;0;1;20;51 
2817;28;46;0;1;23;51 
2294;28;46;0;1;25;51 
3519;28;46;0;1;22;51 
2199;28;46;0;1;24;51 
2903;28;46;0;1;24;51 
2488;28;46;0;1;22;51 
2265;28;46;0;1;25;51 
3960;28;46;0;1;25;51 
4081;28;46;0;1;24;51 
2351;28;46;0;1;23;51 
2734;28;46;0;1;22;51 
1973;28;46;0;1;22;51 
2918;28;46;0;1;25;51 
2177;28;46;0;1;26;51 
2457;28;46;0;1;25;51 
2558;28;46;0;1;19;51 
2061;28;46;0;1;22;51 
2674;28;46;0;1;24;51 
1946;28;46;0;1;26;51 
2000;28;46;0;1;22;51 
2776;29;46;0;1;25;52 
2597;28;46;0;1;23;51 
2371;28;46;0;1;22;51 
2478;28;46;0;1;23;51 
3344;28;46;0;1;24;51 
2388;28;46;0;1;24;51 
2255;28;46;0;1;22;51 
2502;28;46;0;1;25;51 
2688;28;46;0;1;26;51 
2372;28;46;0;1;23;51 
2485;28;46;0;1;23;51 
3430;28;46;0;1;23;51 
3907;28;46;0;1;21;51 
2140;28;46;0;1;23;51 
2111;28;46;0;1;24;51 
2423;28;46;0;1;24;51 
3580;28;46;0;1;24;51 
5019;28;46;0;1;23;51 
2102;28;46;0;1;25;51 
3242;28;46;0;1;20;51 
2254;28;46;0;1;26;51 
3249;28;46;0;1;27;51 
3834;28;46;0;1;24;51 
1862;28;46;0;1;22;51 
2456;28;46;0;1;24;51 
2259;29;46;0;1;27;52 
2073;28;46;0;1;24;51 
2144;28;46;0;1;23;51 
