CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
3987;152;0;1993;0;116;36 
2664;80;0;1332;0;56;24 
2815;108;0;1407;0;72;36 
3394;147;0;1697;0;96;51 
2757;72;0;1379;0;52;20 
6201;144;0;3100;0;108;36 
2405;96;0;1202;0;56;40 
2835;104;0;1418;0;68;36 
2575;99;0;1288;0;59;40 
3969;95;0;1985;0;76;19 
3448;108;0;1724;0;68;40 
3125;132;0;1563;0;88;44 
2760;108;0;1380;0;72;36 
3871;148;0;1936;0;100;48 
2978;104;0;1489;0;76;28 
3335;140;0;1667;0;80;60 
2721;88;0;1361;0;76;12 
5092;104;0;2546;0;72;32 
2860;124;0;1430;0;80;44 
3977;148;0;1988;0;100;48 
2897;115;0;1448;0;72;43 
2759;100;0;1380;0;72;28 
2574;84;0;1287;0;68;16 
3254;139;0;1627;0;80;59 
6350;132;0;3175;0;96;36 
2821;120;0;1410;0;84;36 
2706;112;0;1353;0;72;40 
6030;144;0;3015;0;104;40 
3368;88;0;1684;0;72;16 
3464;120;0;1732;0;76;44 
3083;132;0;1542;0;92;40 
3759;96;0;1879;0;64;32 
2480;76;0;1240;0;56;20 
4081;132;0;2041;0;84;48 
2820;100;0;1410;0;80;20 
6267;156;0;3134;0;100;56 
5070;76;0;2535;0;52;24 
3137;128;0;1569;0;84;44 
5871;120;0;2936;0;88;32 
3483;148;0;1742;0;96;52 
3822;96;0;1911;0;60;36 
3451;124;0;1725;0;100;24 
2458;88;0;1229;0;64;24 
3425;151;0;1713;0;111;40 
2372;84;0;1186;0;56;28 
3176;100;0;1588;0;76;24 
2754;96;0;1377;0;64;32 
3511;108;0;1756;0;64;44 
2290;72;0;1145;0;52;20 
3063;84;0;1532;0;72;12 
2948;104;0;1474;0;80;24 
3518;104;0;1759;0;68;36 
2368;72;0;1184;0;60;12 
2841;100;0;1420;0;60;40 
3955;156;0;1978;0;128;28 
3045;116;0;1523;0;76;40 
2968;116;0;1484;0;88;28 
2892;120;0;1446;0;80;40 
