CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
3589;1;0;0;48;0;3 
2039;1;0;0;44;0;0 
3299;1;0;0;48;0;3 
2229;1;0;0;52;0;7 
2419;1;0;0;49;0;2 
2169;1;0;0;49;0;3 
2166;1;0;0;46;0;3 
2613;1;0;0;52;0;3 
2237;1;0;0;50;0;7 
2424;1;0;0;52;0;10 
2249;1;0;0;41;0;0 
3324;1;0;0;45;0;1 
2663;1;0;0;45;0;2 
1788;1;0;0;48;0;3 
2413;1;0;0;46;0;3 
3416;1;0;0;51;0;7 
1975;1;0;0;46;0;2 
3234;1;0;0;49;0;3 
2455;1;0;0;48;0;3 
2875;1;0;0;47;0;3 
3474;1;0;0;46;0;2 
2581;1;0;0;45;0;0 
2502;1;0;0;51;0;3 
3899;1;0;0;49;0;3 
2832;1;0;0;45;0;3 
2049;1;0;0;43;0;0 
2490;1;0;0;49;0;3 
3304;1;0;0;46;0;2 
2833;1;0;0;49;0;3 
4032;1;0;0;53;0;3 
3116;1;0;0;46;0;2 
3037;1;0;0;40;0;0 
2175;1;0;0;53;0;7 
4029;1;0;0;46;0;2 
2295;1;0;0;44;0;3 
3237;1;0;0;47;0;2 
5065;1;0;0;52;0;3 
2192;1;0;0;52;0;7 
3240;1;0;0;49;0;3 
3308;1;0;0;49;0;3 
3072;1;0;0;54;0;7 
3778;1;0;0;46;0;2 
2590;1;0;0;46;0;3 
2974;1;0;0;49;0;2 
3002;1;0;0;51;0;3 
2544;1;0;0;47;0;2 
2739;1;0;0;48;0;2 
3864;1;0;0;46;0;2 
2287;1;0;0;49;0;3 
2967;1;0;0;47;0;2 
2826;1;0;0;50;0;7 
2440;1;0;0;48;0;3 
3951;1;0;0;47;0;3 
4208;1;0;0;37;0;0 
3056;1;0;0;47;0;3 
3327;1;0;0;46;0;3 
2985;1;0;0;52;0;3 
2743;1;0;0;45;0;2 
2919;1;0;0;50;0;3 
4330;1;0;0;46;0;3 
5736;1;0;0;50;0;3 
2622;1;0;0;48;0;3 
2840;1;0;0;49;0;3 
4259;1;0;0;40;0;0 
4125;1;0;0;48;0;3 
2830;1;0;0;49;0;2 
3053;1;0;0;47;0;3 
3494;1;0;0;47;0;3 
2525;1;0;0;48;0;3 
5080;1;0;0;50;0;3 
2861;1;0;0;40;0;0 
3194;1;0;0;51;0;3 
2415;1;0;0;50;0;3 
2811;1;0;0;44;0;2 
2189;1;0;0;46;0;2 
2788;1;0;0;46;0;2 
