CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
2898;2;0;0;0;0;0 
3673;9;0;0;0;0;0 
2970;11;0;0;0;1;0 
1965;9;0;0;0;0;0 
2537;0;0;0;0;0;0 
3479;9;0;0;0;0;0 
3326;9;0;0;0;0;0 
2349;7;0;0;0;0;0 
2300;11;0;0;0;0;0 
2791;10;0;0;0;0;0 
2378;9;0;0;0;0;0 
3218;9;0;0;0;0;0 
2808;9;0;0;0;0;0 
3142;13;0;0;0;0;0 
3957;11;0;0;0;0;0 
3099;9;0;0;0;0;0 
2829;9;0;0;0;9;0 
3198;9;0;0;0;0;0 
3179;9;0;0;0;0;0 
3283;23;0;0;0;0;0 
5898;9;0;0;0;0;0 
2768;9;0;0;0;6;0 
2730;9;0;0;0;0;0 
2331;11;0;0;0;0;0 
2943;9;0;0;0;0;0 
4764;9;0;0;0;0;0 
3666;21;0;0;0;0;0 
2800;9;0;0;0;0;0 
3298;9;0;0;0;0;0 
2874;15;0;0;0;0;0 
2164;34;0;0;0;0;0 
3890;9;0;0;0;0;0 
3632;12;0;0;0;0;0 
2551;28;0;0;0;0;0 
3052;9;0;0;0;0;0 
2601;11;0;0;0;0;0 
3432;11;0;0;0;0;0 
6596;11;0;0;0;0;0 
2653;11;0;0;0;0;0 
3007;9;0;0;0;6;0 
5778;11;0;0;0;6;0 
2888;11;0;0;0;0;0 
3551;21;0;0;0;0;0 
2981;9;0;0;0;0;0 
3560;9;0;0;0;0;0 
2853;9;0;0;0;0;0 
2930;13;0;0;0;0;0 
3044;9;0;0;0;5;0 
4422;0;0;0;0;0;0 
2450;9;0;0;0;0;0 
2958;10;0;0;0;0;0 
2604;48;0;0;0;0;0 
3227;10;0;0;0;0;0 
2945;7;0;0;0;0;0 
2712;9;0;0;0;0;0 
2890;9;0;0;0;0;0 
3146;11;0;0;0;0;0 
3506;37;0;0;0;0;0 
3047;7;0;0;0;0;0 
2326;9;0;0;0;0;0 
3418;9;0;0;0;0;0 
2948;11;0;0;0;0;0 
3234;10;0;0;0;0;0 
3130;9;0;0;0;6;0 
3230;10;0;0;0;0;0 
3305;9;0;0;0;0;0 
3266;9;0;0;0;6;0 
5764;9;0;0;0;0;0 
3822;7;0;0;0;0;0 
2938;9;0;0;0;0;0 
2860;11;0;0;0;0;0 
3106;9;0;0;0;0;0 
2716;11;0;0;0;0;0 
3304;9;0;0;0;0;0 
2329;26;0;0;0;7;0 
3146;9;0;0;0;0;0 
3038;11;0;0;0;0;0 
3211;9;0;0;0;0;0 
2395;9;0;0;0;0;0 
2800;9;0;0;0;0;0 
2715;9;0;0;0;0;0 
2577;11;0;0;0;0;0 
5485;9;0;0;0;0;0 
3855;9;0;0;0;0;0 
3404;9;0;0;0;0;0 
2734;9;0;0;0;0;0 
3066;9;0;0;0;0;0 
3598;9;0;0;0;0;0 
2607;11;0;0;0;0;0 
2543;11;0;0;0;0;0 
3138;28;0;0;0;0;0 
5043;13;0;0;0;0;0 
3018;7;0;0;0;0;0 
3154;7;0;0;0;0;0 
3035;7;0;0;0;0;0 
2999;9;0;0;0;0;0 
3193;9;0;0;0;0;0 
2523;30;0;0;0;0;0 
2969;7;0;0;0;0;0 
3437;28;0;0;0;0;0 
2983;0;0;0;0;0;0 
4662;9;0;0;0;0;0 
2999;11;0;0;0;0;0 
3491;12;0;0;0;0;0 
2957;9;0;0;0;0;0 
2558;9;0;0;0;0;0 
2291;9;0;0;0;6;0 
2959;9;0;0;0;0;0 
2783;26;0;0;0;0;0 
3089;30;0;0;0;0;0 
3050;9;0;0;0;0;0 
4180;11;0;0;0;0;0 
3183;3;0;0;0;0;0 
2034;28;0;0;0;0;0 
3466;7;0;0;0;0;0 
2255;9;0;0;0;0;0 
2596;9;0;0;0;9;0 
