CYCLES;0xE4;0xE5;0xE6;0xE7;0xE8;0xE3
817483;164256;109014;0;15938;40;0 
817013;164275;109028;0;14138;35;0 
814676;164170;109022;0;14333;39;0 
819043;164123;109002;0;16888;37;0 
815128;164265;109021;0;14255;199;0 
814953;164171;109035;0;13996;187;0 
814716;164100;108998;0;14263;37;0 
814248;164253;109030;0;13855;35;0 
815112;164180;109033;0;14140;35;0 
814707;164210;109046;0;13885;35;0 
814861;164202;109004;0;14280;37;0 
815329;164253;109032;0;14685;35;0 
814710;164292;109034;0;13992;35;0 
815508;164196;109006;0;14388;40;0 
817963;164213;109041;0;15497;35;0 
815992;164362;109029;0;14320;35;0 
817792;164313;108973;0;15505;45;0 
814436;164189;109013;0;14098;35;0 
814482;164252;109018;0;14111;41;0 
814856;164188;108976;0;14769;40;0 
818382;164193;109019;0;14683;35;0 
816397;164209;109020;0;14077;35;0 
814588;164193;109031;0;14082;189;0 
816774;164250;109011;0;14456;37;0 
815186;164085;109052;0;14693;35;0 
815844;164282;109022;0;14018;35;0 
815601;164188;109003;0;14510;35;0 
818348;164303;109026;0;15766;35;0 
815095;164205;109020;0;13950;35;0 
815102;164083;109009;0;14513;40;0 
814907;164216;109014;0;14775;35;0 
815935;164277;109044;0;14180;35;0 
816132;164348;109021;0;13843;46;0 
819542;164243;109014;0;15341;51;0 
815470;164166;109044;0;15165;35;0 
815077;164240;109030;0;13956;35;0 
816947;164095;109016;0;16641;39;0 
815676;164215;109022;0;15192;35;0 
815546;164208;109016;0;14317;35;0 
814719;164192;109030;0;14319;35;0 
817520;164214;109017;0;15223;37;0 
813968;164204;109003;0;14289;35;0 
815729;164250;109030;0;14170;35;0 
815569;164171;109004;0;14436;50;0 
814523;164210;109037;0;13830;46;0 
814894;164224;109030;0;14359;35;0 
814391;164152;109020;0;14177;37;0 
815508;164155;109022;0;14296;35;0 
814590;164180;109037;0;13896;35;0 
815424;164192;109025;0;14002;35;0 
814452;164075;108995;0;14072;39;0 
814303;164121;109026;0;14290;35;0 
815534;164191;109032;0;15140;35;0 
819813;164219;109009;0;17002;42;0 
815363;164313;109034;0;14314;35;0 
814834;164249;109039;0;13856;35;0 
814578;164163;109033;0;14101;37;0 
815352;164196;109004;0;14648;38;0 
814928;164259;109019;0;14184;35;0 
813698;164125;109010;0;14117;35;0 
