CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x10
820488;40650;56743;0;0;7862;7862 
814466;40647;56743;0;0;7771;7771 
814899;40648;56743;0;0;7766;7766 
815146;40649;56743;0;0;7834;7834 
814656;40647;56743;0;0;7806;7806 
814382;40647;56743;0;0;7755;7755 
817503;40648;56743;0;0;7786;7786 
818130;40650;56744;0;0;7828;7828 
815969;40647;56743;0;0;7808;7808 
815401;40647;56743;0;0;7878;7878 
815158;40649;56743;0;0;7773;7773 
815011;40647;56743;0;0;7825;7825 
817232;40647;56743;0;0;7894;7894 
816396;40650;56743;0;0;7866;7866 
815976;40648;56743;0;0;7766;7766 
817221;40647;56743;0;0;7889;7889 
815005;40648;56743;0;0;7825;7825 
815892;40649;56744;0;0;7795;7795 
815159;40647;56743;0;0;7823;7823 
815474;40647;56743;0;0;7802;7802 
815478;40649;56743;0;0;7808;7808 
814702;40647;56743;0;0;7817;7817 
814846;40647;56743;0;0;7786;7786 
814954;40648;56743;0;0;7803;7803 
815134;40648;56743;0;0;7789;7789 
815043;40647;56743;0;0;7843;7843 
816054;40649;56743;0;0;7886;7886 
818061;40649;56743;0;0;7832;7832 
816172;40647;56743;0;0;7786;7786 
816467;40647;56743;0;0;7854;7854 
817984;40649;56743;0;0;7741;7741 
815496;40647;56743;0;0;7846;7846 
815792;40647;56743;0;0;7845;7845 
816226;40649;56743;0;0;7864;7864 
819147;40648;56743;0;0;7838;7838 
815166;40647;56743;0;0;7809;7809 
815154;40647;56743;0;0;7839;7839 
818836;40649;56743;0;0;7811;7811 
815874;40647;56743;0;0;7838;7838 
814869;40647;56743;0;0;7786;7786 
815771;40649;56743;0;0;7793;7793 
815097;40647;56743;0;0;7763;7763 
816060;40647;56743;0;0;7853;7853 
815690;40648;56743;0;0;7845;7845 
817377;40648;56743;0;0;7828;7828 
815010;40647;56743;0;0;7822;7822 
814921;40647;56743;0;0;7791;7791 
815235;40649;56743;0;0;7825;7825 
815662;40647;56743;0;0;7891;7891 
815320;40647;56743;0;0;7791;7791 
814848;40650;56743;0;0;7774;7774 
815703;40647;56743;0;0;7717;7717 
816690;40647;56743;0;0;7776;7776 
816740;40649;56743;0;0;7769;7769 
815424;40647;56743;0;0;7848;7848 
814530;40647;56743;0;0;7833;7833 
815570;40649;56743;0;0;7845;7845 
815659;40647;56743;0;0;7802;7802 
814088;40647;56743;0;0;7735;7735 
816790;40647;56743;0;0;7790;7790 
814249;40649;56743;0;0;7745;7745 
814737;40647;56743;0;0;7793;7793 
814260;40647;56743;0;0;7736;7736 
815443;40651;56744;0;0;7768;7768 
814739;40647;56743;0;0;7756;7756 
815094;40647;56743;0;0;7789;7789 
814305;40649;56743;0;0;7711;7711 
817136;40649;56743;0;0;7881;7881 
815000;40647;56743;0;0;7794;7794 
815796;40647;56743;0;0;7788;7788 
815330;40649;56743;0;0;7808;7808 
815833;40647;56743;0;0;7783;7783 
817970;40647;56743;0;0;7733;7733 
815715;40648;56743;0;0;7816;7816 
817996;40647;56743;0;0;7833;7833 
816833;40647;56743;0;0;7815;7815 
815591;40648;56743;0;0;7713;7713 
815380;40649;56743;0;0;7831;7831 
815057;40647;56743;0;0;7825;7825 
815359;40647;56743;0;0;7776;7776 
816394;40650;56743;0;0;7796;7796 
814926;40647;56743;0;0;7829;7829 
814825;40647;56743;0;0;7804;7804 
815301;40648;56743;0;0;7807;7807 
815757;40649;56743;0;0;7816;7816 
814863;40647;56743;0;0;7759;7759 
814917;40647;56743;0;0;7841;7841 
817813;40652;56744;0;0;7924;7924 
815328;40647;56743;0;0;7840;7840 
814534;40647;56743;0;0;7810;7810 
816372;40649;56743;0;0;7869;7869 
816107;40648;56743;0;0;7844;7844 
815029;40647;56743;0;0;7846;7846 
815405;40647;56743;0;0;7840;7840 
814859;40650;56743;0;0;7776;7776 
814515;40647;56743;0;0;7803;7803 
815054;40647;56743;0;0;7768;7768 
815377;40649;56743;0;0;7818;7818 
816025;40647;56743;0;0;7820;7820 
815395;40647;56743;0;0;7774;7774 
815228;40650;56743;0;0;7794;7794 
815335;40650;56744;0;0;7821;7821 
814716;40647;56743;0;0;7788;7788 
817313;40648;56743;0;0;7734;7734 
816929;40647;56743;0;0;7735;7735 
815148;40647;56743;0;0;7743;7743 
818763;40649;56743;0;0;7819;7819 
814354;40647;56743;0;0;7713;7713 
815442;40647;56743;0;0;7847;7847 
817069;40649;56743;0;0;7820;7820 
816325;40647;56743;0;0;7804;7804 
814539;40647;56743;0;0;7773;7773 
815272;40647;56743;0;0;7817;7817 
815844;40648;56743;0;0;7812;7812 
816283;40647;56743;0;0;7835;7835 
816185;40648;56743;0;0;7847;7847 
815376;40649;56743;0;0;7849;7849 
815813;40647;56743;0;0;7804;7804 
815384;40647;56743;0;0;7756;7756 
815239;40648;56743;0;0;7822;7822 
814883;40649;56743;0;0;7847;7847 
817831;40647;56743;0;0;7749;7749 
815167;40647;56743;0;0;7797;7797 
815136;40649;56744;0;0;7826;7826 
