CYCLES;0xC2;0xC3;0xC4;0xC5;0xC6;0xC7
816807;116;138699;0;2099;0;0 
815386;123;139325;0;2098;0;0 
814510;100;140060;0;2093;0;0 
815010;119;136005;0;2099;0;0 
815967;118;138702;0;2095;0;0 
815473;107;138176;0;2099;0;0 
814483;111;139297;0;2091;0;0 
815620;126;138995;0;0;0;0 
815231;114;139059;0;2150;0;0 
815752;121;139748;0;2102;0;0 
814533;128;139991;0;2103;0;0 
814926;117;141254;0;2094;0;0 
814876;113;138227;0;0;0;0 
817967;170;138165;0;0;0;0 
815322;110;137788;0;2102;0;0 
817203;126;137052;0;2186;0;0 
815024;112;137362;0;2090;0;0 
817763;108;137594;0;2094;0;0 
815745;108;139329;0;2094;0;0 
815177;105;139763;0;0;0;0 
814999;112;139540;0;2094;0;0 
816720;127;137134;0;2103;0;0 
815171;116;139240;0;2094;0;0 
816954;109;139231;0;2098;0;0 
816278;115;140952;0;0;0;0 
815001;109;141503;0;2091;0;0 
814981;116;139076;0;2085;0;0 
815834;123;141972;0;0;0;0 
815030;102;139371;0;2099;0;0 
816169;110;139537;0;2099;0;0 
815208;130;135278;0;2095;0;0 
816851;106;138072;0;2098;0;0 
815906;106;137147;0;2103;0;0 
815780;98;139603;0;2157;0;0 
815490;104;139225;0;2094;0;0 
815214;111;137389;0;2103;0;0 
814927;113;143026;0;2095;0;0 
816738;108;141452;0;2091;0;0 
814170;108;140120;0;2099;0;0 
815173;112;142236;0;2099;0;0 
815539;130;138485;0;2098;0;0 
815275;112;142262;0;2099;0;0 
816136;108;141551;0;2093;0;0 
817555;114;138276;0;0;0;0 
815532;106;141566;0;2152;0;0 
815269;95;137055;0;0;0;0 
814752;115;137132;0;2213;0;0 
816216;104;137681;0;2103;0;0 
816971;110;139617;0;2103;0;0 
815700;117;139149;0;2098;0;0 
816009;126;138285;0;0;0;0 
815239;123;141400;0;0;0;0 
815123;107;141270;0;2091;0;0 
816752;114;139548;0;2099;0;0 
815000;108;139023;0;2189;0;0 
815630;112;137638;0;2091;0;0 
816498;112;141859;0;2091;0;0 
816131;112;141769;0;2130;0;0 
815624;111;139299;0;0;0;0 
814337;109;139600;0;2143;0;0 
815335;117;138395;0;2092;0;0 
815419;118;139913;0;2094;0;0 
814903;123;141704;0;2093;0;0 
815255;131;137691;0;2090;0;0 
816217;114;138862;0;0;0;0 
815548;111;139532;0;2094;0;0 
814652;130;138156;0;2094;0;0 
815030;117;142640;0;2101;0;0 
814624;120;139224;0;0;0;0 
815451;104;141602;0;2094;0;0 
815288;124;137606;0;2091;0;0 
815097;109;141407;0;2090;0;0 
814931;115;139123;0;2099;0;0 
815820;130;139737;0;0;0;0 
816393;132;142021;0;0;0;0 
814734;115;137411;0;2091;0;0 
814746;123;141324;0;2098;0;0 
815200;118;139663;0;2099;0;0 
815066;117;142212;0;0;0;0 
815222;107;142301;0;2091;0;0 
814419;97;142035;0;2095;0;0 
817512;111;138565;0;0;0;0 
815421;119;136620;0;2142;0;0 
814750;116;139407;0;0;0;0 
819467;105;139400;0;2094;0;0 
815393;120;139304;0;0;0;0 
817114;106;137181;0;2093;0;0 
816048;115;137429;0;2147;0;0 
815822;126;138825;0;2094;0;0 
814945;113;137317;0;2099;0;0 
816723;123;139144;0;2099;0;0 
814800;119;136315;0;2095;0;0 
815223;113;140114;0;2099;0;0 
816057;115;137634;0;2135;0;0 
817927;123;140687;0;2091;0;0 
814408;117;139526;0;2098;0;0 
814846;156;138979;0;2094;0;0 
814564;119;142071;0;2085;0;0 
815699;113;142432;0;2091;0;0 
815879;124;140124;0;2091;0;0 
816196;143;138308;0;2098;0;0 
814997;110;139870;0;2094;0;0 
816092;121;139609;0;2091;0;0 
818006;135;139326;0;2094;0;0 
817266;116;141959;0;0;0;0 
816923;107;141743;0;2102;0;0 
818268;109;139042;0;2182;0;0 
815733;121;139477;0;2099;0;0 
816600;114;142047;0;2094;0;0 
817042;123;137801;0;2094;0;0 
815708;114;138795;0;2099;0;0 
815436;113;137948;0;2143;0;0 
815600;135;137272;0;2099;0;0 
815918;184;137286;0;2098;0;0 
