CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
817713;26;328;0;408855;0;224 
817306;27;180;0;408653;0;72 
814486;29;224;0;407243;0;108 
816580;21;168;0;408289;0;84 
815307;21;184;0;407653;0;100 
815717;26;184;0;407858;0;80 
815777;28;200;0;407888;0;88 
816032;21;170;0;408015;0;86 
818068;17;160;0;409034;0;92 
815188;23;277;0;407594;0;185 
815992;31;200;0;407995;0;76 
820276;20;292;0;410138;0;212 
815452;21;175;0;407726;0;91 
816931;39;299;0;408464;0;144 
815381;24;200;0;407690;0;104 
816880;32;228;0;408440;0;100 
815543;30;208;0;407771;0;88 
815781;23;228;0;407891;0;136 
817373;20;168;0;408686;0;88 
814746;33;300;0;407373;0;168 
814802;26;184;0;407401;0;80 
815668;37;336;0;407832;0;188 
815627;17;272;0;407814;0;204 
815031;40;332;0;407515;0;172 
814950;34;240;0;407475;0;104 
815540;31;324;0;407770;0;200 
815663;44;306;0;407832;0;128 
815689;26;288;0;407845;0;184 
814627;23;188;0;407314;0;96 
816890;26;304;0;408445;0;200 
815538;29;204;0;407769;0;88 
813974;17;212;0;406986;0;144 
814836;31;196;0;407418;0;72 
814388;18;168;0;407194;0;96 
817000;18;176;0;408500;0;104 
815372;23;345;0;407686;0;252 
815074;25;184;0;407537;0;84 
817443;35;316;0;408721;0;176 
815239;33;344;0;407620;0;212 
815483;31;368;0;407742;0;244 
814646;34;216;0;407322;0;80 
815216;14;156;0;407607;0;100 
815563;24;172;0;407782;0;76 
817242;22;161;0;408621;0;73 
815122;21;184;0;407561;0;100 
815762;31;200;0;407881;0;76 
815128;19;184;0;407564;0;108 
816030;26;192;0;408014;0;88 
815157;25;196;0;407579;0;96 
817644;22;216;0;408823;0;128 
817742;40;338;0;408871;0;180 
814556;20;156;0;407278;0;76 
814956;23;220;0;407477;0;128 
815374;20;156;0;407687;0;76 
817816;22;171;0;408909;0;83 
815326;32;312;0;407663;0;184 
815831;24;176;0;407916;0;80 
815520;17;204;0;407759;0;136 
817401;26;244;0;408699;0;140 
815014;18;211;0;407507;0;139 
816891;28;256;0;408445;0;144 
817174;24;312;0;408587;0;216 
817633;17;208;0;408817;0;140 
815327;29;308;0;407663;0;192 
815846;17;144;0;407922;0;76 
815933;15;264;0;407967;0;204 
815281;29;268;0;407641;0;152 
817875;25;248;0;408937;0;148 
814536;31;328;0;407268;0;204 
815439;24;272;0;407719;0;176 
815335;15;132;0;407668;0;72 
815882;22;240;0;407941;0;152 
814749;21;204;0;407374;0;120 
815485;30;212;0;407742;0;92 
816188;27;320;0;408094;0;212 
817287;26;232;0;408643;0;128 
818220;25;374;0;409109;0;274 
816147;23;219;0;408073;0;127 
817002;21;184;0;408501;0;100 
813597;32;204;0;406798;0;76 
815533;21;220;0;407765;0;136 
814481;25;180;0;407240;0;80 
814761;31;224;0;407381;0;100 
815935;28;236;0;407967;0;124 
819478;28;312;0;409739;0;200 
815433;25;252;0;407717;0;152 
815103;33;216;0;407550;0;84 
817537;28;213;0;408768;0;105 
815029;30;295;0;407514;0;175 
