CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
816769;0;44845;1;1;7392;0 
815040;0;44844;1;1;7380;0 
816160;0;44844;1;1;7391;0 
815135;0;44845;1;1;7368;0 
815408;0;44844;1;1;7370;0 
814512;0;44844;1;1;7352;0 
814252;0;44844;1;1;7311;0 
816015;0;44845;1;1;7359;0 
816075;0;44844;1;1;7428;0 
818190;0;44844;1;1;7272;0 
817833;0;44844;1;1;7382;0 
815041;0;44844;1;1;7353;0 
815114;0;44844;1;1;7427;0 
815731;0;44844;1;1;7367;0 
815993;0;44844;1;1;7383;0 
815503;0;44844;1;1;7374;0 
816028;0;44844;1;1;7331;0 
815065;0;44844;1;1;7340;0 
815540;0;44844;1;1;7366;0 
814789;0;44844;1;1;7375;0 
816334;0;44844;1;1;7431;0 
816502;0;44844;1;1;7422;0 
815055;0;44844;1;1;7370;0 
817029;0;44844;1;1;7385;0 
814897;0;44844;1;1;7376;0 
814986;0;44844;1;1;7390;0 
816862;0;44844;1;1;7384;0 
819643;0;44845;1;1;7371;0 
815417;0;44844;1;1;7407;0 
816090;0;44844;1;1;7384;0 
815396;0;44844;1;1;7382;0 
814511;0;44844;1;1;7340;0 
814970;0;44844;1;1;7365;0 
816730;0;44844;1;1;7338;0 
815528;0;44844;1;1;7328;0 
814555;0;44844;1;1;7347;0 
816937;0;44844;1;1;7473;0 
816238;0;44845;1;1;7452;0 
815541;0;44844;1;1;7367;0 
814513;0;44844;1;1;7334;0 
816262;0;44844;1;1;7366;0 
817477;0;44844;1;1;7430;0 
814981;0;44844;1;1;7381;0 
814683;0;44844;1;1;7383;0 
814777;0;44844;1;1;7366;0 
816166;0;44844;1;1;7394;0 
815452;0;44844;1;1;7406;0 
816484;0;44844;1;1;7390;0 
816466;0;44844;1;1;7400;0 
815102;0;44844;1;1;7408;0 
816050;0;44844;1;1;7433;0 
815818;0;44844;1;1;7366;0 
815658;0;44844;1;1;7451;0 
815488;0;44844;1;1;7401;0 
818556;0;44844;1;1;7431;0 
814796;0;44844;1;1;7367;0 
815410;0;44844;1;1;7382;0 
814889;0;44845;1;1;7295;0 
815376;0;44844;1;1;7430;0 
814946;0;44844;1;1;7393;0 
818529;0;44844;1;1;7463;0 
814270;0;44844;1;1;7337;0 
815478;0;44844;1;1;7339;0 
819316;0;44844;1;1;7360;0 
816368;0;44844;1;1;7355;0 
817254;0;44844;1;1;7450;0 
815621;0;44844;1;1;7352;0 
814885;0;44844;1;1;7328;0 
814362;0;44844;1;1;7325;0 
815788;0;44844;1;1;7381;0 
818942;0;44844;1;1;7477;0 
815190;0;44844;1;1;7409;0 
815010;0;44844;1;1;7348;0 
815325;0;44844;1;1;7417;0 
815477;0;44844;1;1;7420;0 
816757;0;44844;1;1;7444;0 
818936;0;44844;1;1;7356;0 
817770;0;44844;1;1;7351;0 
815067;0;44844;1;1;7419;0 
817247;0;44844;1;1;7398;0 
817900;0;44844;1;1;7378;0 
815129;0;44844;1;1;7405;0 
814662;0;44844;1;1;7303;0 
817234;0;44844;1;1;7363;0 
814525;0;44844;1;1;7361;0 
815330;0;44844;1;1;7386;0 
816075;0;44844;1;1;7410;0 
815283;0;44844;1;1;7308;0 
816439;0;44844;1;1;7334;0 
818715;0;44844;1;1;7320;0 
818317;0;44844;1;1;7383;0 
815725;0;44844;1;1;7435;0 
816544;0;44844;1;1;7323;0 
818114;0;44844;1;1;7362;0 
817490;0;44844;1;1;7429;0 
814793;0;44844;1;1;7380;0 
814978;0;44844;1;1;7335;0 
815873;0;44844;1;1;7355;0 
815850;0;44844;1;1;7389;0 
815889;0;44844;1;1;7361;0 
815884;0;44844;1;1;7336;0 
815171;0;44844;1;1;7382;0 
815296;0;44844;1;1;7352;0 
816084;0;44844;1;1;7431;0 
815579;0;44844;1;1;7316;0 
815541;0;44844;1;1;7415;0 
817073;0;44844;1;1;7325;0 
815239;0;44844;1;1;7320;0 
814705;0;44844;1;1;7368;0 
815438;0;44844;1;1;7396;0 
819513;0;44844;1;1;7350;0 
815277;0;44844;1;1;7353;0 
815191;0;44844;1;1;7377;0 
818658;0;44844;1;1;7394;0 
814532;0;44844;1;1;7385;0 
814783;0;44844;1;1;7389;0 
815604;0;44844;1;1;7354;0 
