CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
816932;0;0;26326;1;37;0 
815843;0;0;26345;1;20;0 
816286;0;0;25952;1;24;0 
816888;0;0;26154;1;29;0 
814763;0;0;26242;1;20;0 
815293;0;0;26018;1;20;0 
814508;0;0;25892;1;19;0 
815501;0;0;26198;1;39;0 
815562;0;0;26167;1;21;0 
814363;0;0;25896;1;21;0 
815772;0;0;26134;1;29;0 
817708;0;0;26234;1;16;0 
814307;0;0;25752;1;21;0 
816463;0;0;27777;1;33;0 
815129;0;0;26184;1;30;0 
815421;0;0;26186;1;16;0 
815677;0;0;26176;1;42;0 
819710;0;0;26515;1;29;0 
815368;0;0;26326;1;21;0 
815540;0;0;26336;1;22;0 
818439;0;0;26565;1;30;0 
817803;0;0;26059;1;25;0 
816495;0;0;26279;1;21;0 
815080;0;0;26163;1;38;0 
818299;0;0;26200;1;26;0 
815132;0;0;26013;1;20;0 
815750;0;0;26093;1;24;0 
815081;0;0;26332;1;29;0 
814923;0;0;26142;1;16;0 
816048;0;0;26092;1;21;0 
816962;0;0;26660;1;30;0 
815675;0;0;26468;1;20;0 
822147;0;0;26157;1;20;0 
815334;0;0;26028;1;55;0 
815114;0;0;26132;1;25;0 
814231;0;0;25755;1;21;0 
814798;0;0;26099;1;20;0 
818273;0;0;28623;1;25;0 
815055;0;0;26312;1;20;0 
818068;0;0;26131;1;55;0 
816529;0;0;26414;1;29;0 
817174;0;0;25873;1;20;0 
814251;0;0;25925;1;20;0 
815342;0;0;26401;1;29;0 
814505;0;0;25889;1;21;0 
816314;0;0;26107;1;21;0 
814716;0;0;26199;1;25;0 
815322;0;0;26302;1;29;0 
814862;0;0;26220;1;21;0 
815943;0;0;26332;1;21;0 
818076;0;0;26272;1;29;0 
814323;0;0;25983;1;20;0 
815465;0;0;26264;1;21;0 
815151;0;0;26094;1;29;0 
815471;0;0;26394;1;20;0 
817478;0;0;26207;1;21;0 
815249;0;0;26005;1;24;0 
815389;0;0;26032;1;24;0 
815531;0;0;26320;1;20;0 
814848;0;0;26104;1;22;0 
816466;0;0;26253;1;29;0 
814708;0;0;25939;1;21;0 
817499;0;0;26146;1;21;0 
815922;0;0;26286;1;34;0 
814440;0;0;25825;1;21;0 
814970;0;0;26059;1;20;0 
815775;0;0;26484;1;34;0 
815287;0;0;26188;1;21;0 
814044;0;0;25978;1;20;0 
815684;0;0;26271;1;20;0 
818134;0;0;26418;1;30;0 
817086;0;0;26073;1;20;0 
822764;0;0;26014;1;20;0 
815436;0;0;26282;1;38;0 
816005;0;0;25889;1;20;0 
814295;0;0;25874;1;21;0 
814788;0;0;25981;1;33;0 
815024;0;0;25836;1;25;0 
814385;0;0;25931;1;20;0 
815904;0;0;26481;1;24;0 
817193;0;0;26349;1;39;0 
814382;0;0;26008;1;20;0 
818188;0;0;26113;1;20;0 
817642;0;0;26332;1;29;0 
814608;0;0;26205;1;20;0 
816222;0;0;26275;1;21;0 
815158;0;0;26401;1;29;0 
815799;0;0;26261;1;20;0 
817105;0;0;25906;1;20;0 
818240;0;0;26694;1;33;0 
815210;0;0;26119;1;26;0 
816359;0;0;26314;1;17;0 
816284;0;0;26567;1;35;0 
815550;0;0;26097;1;29;0 
814912;0;0;25784;1;21;0 
815153;0;0;25917;1;21;0 
816204;0;0;26036;1;29;0 
815086;0;0;26192;1;21;0 
815087;0;0;26203;1;22;0 
816395;0;0;26280;1;41;0 
814384;0;0;25958;1;19;0 
816028;0;0;26281;1;17;0 
817337;0;0;26388;1;28;0 
814995;0;0;26109;1;29;0 
815450;0;0;26040;1;21;0 
817018;0;0;26035;1;22;0 
815088;0;0;26041;1;29;0 
816168;0;0;26199;1;21;0 
815895;0;0;26095;1;20;0 
815303;0;0;25995;1;29;0 
814731;0;0;26264;1;22;0 
814884;0;0;26088;1;20;0 
815378;0;0;26146;1;24;0 
815225;0;0;25789;1;16;0 
814636;0;0;26004;1;21;0 
815547;0;0;26190;1;54;0 
814228;0;0;26011;1;29;0 
815068;0;0;26245;1;20;0 
814799;0;0;26196;1;20;0 
817302;0;0;26291;1;29;0 
816312;0;0;26838;1;20;0 
815333;0;0;26117;1;20;0 
815337;0;0;26354;1;33;0 
816454;0;0;26622;1;29;0 
815494;0;0;25850;1;21;0 
814790;0;0;25854;1;22;0 
816011;0;0;26005;1;33;0 
817357;0;0;25872;1;21;0 
815015;0;0;26076;1;22;0 
820988;0;0;26060;1;29;0 
815617;0;0;26481;1;25;0 
815011;0;0;26011;1;21;0 
815045;0;0;26031;1;27;0 
815691;0;0;25941;1;29;0 
815508;0;0;26226;1;21;0 
814639;0;0;25909;1;21;0 
816560;0;0;26484;1;29;0 
816368;0;0;25979;1;16;0 
814433;0;0;25794;1;21;0 
819031;0;0;26512;1;37;0 
814023;0;0;25812;1;17;0 
816244;0;0;26230;1;20;0 
814639;0;0;25966;1;29;0 
815886;0;0;25952;1;24;0 
814338;0;0;26038;1;17;0 
815362;0;0;26244;1;21;0 
818364;0;0;26190;1;39;0 
815121;0;0;26021;1;21;0 
815969;0;0;26463;1;21;0 
816650;0;0;26451;1;29;0 
814964;0;0;25843;1;17;0 
815829;0;0;25939;1;20;0 
816916;0;0;26290;1;36;0 
815259;0;0;26295;1;25;0 
814787;0;0;26163;1;21;0 
815219;0;0;26190;1;24;0 
816512;0;0;26170;1;29;0 
814732;0;0;25869;1;21;0 
814763;0;0;26076;1;20;0 
816003;0;0;26378;1;29;0 
815054;0;0;26209;1;20;0 
815782;0;0;26346;1;21;0 
815308;0;0;26441;1;29;0 
815539;0;0;26214;1;20;0 
814503;0;0;25995;1;21;0 
816406;0;0;26479;1;37;0 
815194;0;0;26218;1;20;0 
815153;0;0;26261;1;21;0 
815460;0;0;25983;1;20;0 
815935;0;0;26586;1;29;0 
818440;0;0;26478;1;20;0 
814888;0;0;26067;1;22;0 
816397;0;0;26282;1;24;0 
815365;0;0;26069;1;21;0 
815652;0;0;26304;1;22;0 
815671;0;0;26220;1;29;0 
815603;0;0;26312;1;16;0 
814946;0;0;25948;1;20;0 
818180;0;0;26150;1;48;0 
815166;0;0;26253;1;30;0 
815600;0;0;26211;1;21;0 
816190;0;0;25815;1;22;0 
815837;0;0;26276;1;29;0 
815016;0;0;26164;1;17;0 
814980;0;0;26177;1;21;0 
815155;0;0;26111;1;29;0 
815184;0;0;26259;1;16;0 
817703;0;0;26198;1;22;0 
816455;0;0;26465;1;29;0 
815489;0;0;26408;1;20;0 
814919;0;0;26029;1;21;0 
816637;0;0;26335;1;61;0 
818386;0;0;26759;1;29;0 
814590;0;0;26028;1;21;0 
814791;0;0;26163;1;21;0 
817727;0;0;28095;1;29;0 
815338;0;0;26446;1;20;0 
814402;0;0;25846;1;20;0 
816344;0;0;25872;1;29;0 
816111;0;0;26356;1;25;0 
816043;0;0;25845;1;21;0 
815384;0;0;25909;1;36;0 
815370;0;0;26209;1;29;0 
815269;0;0;26144;1;21;0 
817289;0;0;26339;1;24;0 
815877;0;0;26739;1;35;0 
814977;0;0;26095;1;20;0 
815450;0;0;26224;1;20;0 
819727;0;0;28058;1;29;0 
814157;0;0;25965;1;20;0 
814244;0;0;25957;1;20;0 
816427;0;0;26538;1;32;0 
814918;0;0;26195;1;34;0 
814717;0;0;25852;1;20;0 
815020;0;0;26205;1;21;0 
816835;0;0;26389;1;34;0 
815342;0;0;26167;1;21;0 
817027;0;0;26107;1;16;0 
818453;0;0;27455;1;28;0 
814735;0;0;25904;1;24;0 
814664;0;0;26045;1;17;0 
818228;0;0;26058;1;22;0 
816495;0;0;26498;1;29;0 
814776;0;0;25938;1;21;0 
816975;0;0;25716;1;20;0 
819262;0;0;27297;1;29;0 
815513;0;0;25841;1;16;0 
814261;0;0;25775;1;20;0 
817628;0;0;26156;1;32;0 
819788;0;0;26649;1;25;0 
815108;0;0;26138;1;20;0 
815664;0;0;26115;1;33;0 
816033;0;0;26054;1;29;0 
816501;0;0;26159;1;21;0 
814457;0;0;25927;1;20;0 
815806;0;0;26377;1;29;0 
816524;0;0;26111;1;21;0 
814535;0;0;26132;1;20;0 
814891;0;0;26079;1;29;0 
819762;0;0;26154;1;23;0 
814892;0;0;26145;1;20;0 
815487;0;0;27044;1;29;0 
816165;0;0;26429;1;20;0 
815341;0;0;25997;1;21;0 
818485;0;0;26245;1;29;0 
816824;0;0;25861;1;20;0 
816446;0;0;26309;1;22;0 
815027;0;0;25866;1;29;0 
816706;0;0;26162;1;25;0 
817820;0;0;26426;1;22;0 
815039;0;0;26376;1;20;0 
815400;0;0;26110;1;29;0 
815732;0;0;26009;1;20;0 
815429;0;0;25999;1;20;0 
820414;0;0;26375;1;33;0 
815181;0;0;26348;1;22;0 
815155;0;0;26166;1;21;0 
817307;0;0;25975;1;30;0 
815204;0;0;25758;1;26;0 
814247;0;0;25692;1;16;0 
815184;0;0;26282;1;21;0 
819116;0;0;26014;1;29;0 
815993;0;0;26535;1;21;0 
815816;0;0;26202;1;21;0 
820350;0;0;26551;1;34;0 
815833;0;0;26103;1;21;0 
815389;0;0;26022;1;20;0 
816810;0;0;26559;1;33;0 
814812;0;0;26057;1;20;0 
815088;0;0;26082;1;20;0 
814577;0;0;25940;1;24;0 
814291;0;0;25986;1;36;0 
815498;0;0;26335;1;20;0 
815330;0;0;25906;1;21;0 
815962;0;0;26214;1;30;0 
815778;0;0;26264;1;20;0 
815718;0;0;26253;1;20;0 
814963;0;0;26325;1;24;0 
821284;0;0;26187;1;25;0 
813996;0;0;25926;1;21;0 
817191;0;0;25844;1;28;0 
817540;0;0;26196;1;29;0 
814756;0;0;26102;1;21;0 
814150;0;0;25910;1;20;0 
817879;0;0;26241;1;29;0 
817471;0;0;25959;1;20;0 
815629;0;0;26054;1;22;0 
814631;0;0;26220;1;34;0 
815410;0;0;26200;1;25;0 
814960;0;0;26042;1;21;0 
816971;0;0;25932;1;22;0 
818678;0;0;26437;1;29;0 
814907;0;0;26219;1;21;0 
814983;0;0;25848;1;29;0 
816999;0;0;26459;1;29;0 
815460;0;0;26199;1;20;0 
815318;0;0;25771;1;20;0 
814871;0;0;25925;1;29;0 
816776;0;0;25835;1;20;0 
814818;0;0;26019;1;20;0 
816068;0;0;26446;1;20;0 
815687;0;0;26101;1;29;0 
815308;0;0;26150;1;16;0 
814711;0;0;26064;1;20;0 
816290;0;0;26524;1;35;0 
817071;0;0;26125;1;20;0 
814104;0;0;25826;1;16;0 
815502;0;0;26298;1;29;0 
815427;0;0;26318;1;21;0 
815929;0;0;26055;1;21;0 
816244;0;0;26149;1;52;0 
815878;0;0;26144;1;29;0 
815412;0;0;26325;1;20;0 
814843;0;0;26178;1;21;0 
815318;0;0;26381;1;29;0 
814650;0;0;25982;1;20;0 
818226;0;0;26433;1;21;0 
816518;0;0;26588;1;34;0 
816217;0;0;26188;1;17;0 
814864;0;0;26311;1;21;0 
816792;0;0;26304;1;40;0 
818371;0;0;27598;1;29;0 
818362;0;0;27484;1;25;0 
816529;0;0;26029;1;21;0 
815848;0;0;26234;1;29;0 
816493;0;0;25989;1;21;0 
814385;0;0;25665;1;20;0 
818322;0;0;26358;1;30;0 
815012;0;0;25889;1;20;0 
817927;0;0;26254;1;20;0 
817412;0;0;27631;1;63;0 
816170;0;0;26279;1;20;0 
815857;0;0;26280;1;21;0 
815055;0;0;26115;1;20;0 
817365;0;0;25895;1;29;0 
814498;0;0;25774;1;20;0 
814436;0;0;25911;1;21;0 
817789;0;0;26205;1;34;0 
815484;0;0;26034;1;20;0 
816669;0;0;25898;1;21;0 
814842;0;0;26256;1;29;0 
815697;0;0;25980;1;21;0 
815121;0;0;26217;1;21;0 
816581;0;0;26413;1;33;0 
815629;0;0;26439;1;38;0 
817771;0;0;26217;1;20;0 
814872;0;0;26030;1;21;0 
818091;0;0;26445;1;29;0 
814454;0;0;26082;1;20;0 
814770;0;0;26201;1;20;0 
815981;0;0;26365;1;29;0 
817013;0;0;26339;1;21;0 
815926;0;0;26384;1;21;0 
815649;0;0;26158;1;24;0 
815077;0;0;26081;1;25;0 
815057;0;0;26020;1;20;0 
815262;0;0;26148;1;37;0 
817186;0;0;26650;1;29;0 
816129;0;0;26318;1;20;0 
815255;0;0;26286;1;20;0 
815642;0;0;26419;1;29;0 
815063;0;0;26408;1;21;0 
814734;0;0;26135;1;20;0 
815455;0;0;26471;1;31;0 
815387;0;0;26263;1;24;0 
815265;0;0;26288;1;20;0 
814541;0;0;25893;1;21;0 
818577;0;0;27848;1;29;0 
814824;0;0;26036;1;21;0 
815155;0;0;26333;1;21;0 
814910;0;0;26295;1;29;0 
814491;0;0;25863;1;16;0 
817627;0;0;25910;1;20;0 
814374;0;0;26125;1;52;0 
815295;0;0;26212;1;25;0 
815551;0;0;26101;1;20;0 
814767;0;0;26190;1;20;0 
815281;0;0;26718;1;29;0 
814567;0;0;26037;1;20;0 
814746;0;0;26121;1;21;0 
817814;0;0;26194;1;33;0 
814821;0;0;25980;1;21;0 
814495;0;0;25845;1;22;0 
816015;0;0;26449;1;29;0 
815699;0;0;26033;1;20;0 
814864;0;0;26132;1;21;0 
815470;0;0;26401;1;30;0 
814267;0;0;25746;1;20;0 
815845;0;0;26144;1;20;0 
816068;0;0;26190;1;16;0 
815065;0;0;26296;1;30;0 
815680;0;0;26196;1;20;0 
815111;0;0;26056;1;20;0 
818336;0;0;26538;1;33;0 
815695;0;0;26024;1;21;0 
817748;0;0;26489;1;20;0 
814586;0;0;26187;1;40;0 
819640;0;0;26411;1;20;0 
815098;0;0;25873;1;17;0 
814482;0;0;25883;1;37;0 
815741;0;0;25987;1;28;0 
814815;0;0;26005;1;20;0 
814508;0;0;25784;1;20;0 
815924;0;0;26680;1;34;0 
815309;0;0;26349;1;16;0 
816249;0;0;26295;1;20;0 
816545;0;0;26114;1;34;0 
816377;0;0;26461;1;21;0 
817585;0;0;26262;1;16;0 
816725;0;0;26340;1;29;0 
815518;0;0;26017;1;26;0 
816448;0;0;26414;1;21;0 
814832;0;0;26090;1;21;0 
815981;0;0;26373;1;29;0 
815459;0;0;26094;1;20;0 
815073;0;0;26236;1;20;0 
816288;0;0;26005;1;29;0 
816379;0;0;26302;1;21;0 
814772;0;0;26043;1;21;0 
817374;0;0;26631;1;32;0 
815665;0;0;26128;1;16;0 
813999;0;0;25768;1;20;0 
817943;0;0;25956;1;29;0 
815156;0;0;26187;1;29;0 
814391;0;0;25935;1;16;0 
814902;0;0;26262;1;20;0 
815443;0;0;26507;1;29;0 
816143;0;0;26359;1;20;0 
815558;0;0;26293;1;20;0 
816138;0;0;26338;1;29;0 
814414;0;0;25845;1;20;0 
815629;0;0;26151;1;21;0 
815463;0;0;26086;1;32;0 
814769;0;0;25951;1;21;0 
817088;0;0;26447;1;16;0 
815520;0;0;26559;1;25;0 
814925;0;0;25873;1;25;0 
815273;0;0;26178;1;20;0 
814717;0;0;26045;1;20;0 
814211;0;0;25985;1;30;0 
814300;0;0;25991;1;20;0 
816026;0;0;26269;1;21;0 
814664;0;0;26126;1;29;0 
814814;0;0;26158;1;22;0 
814654;0;0;26106;1;20;0 
816838;0;0;26441;1;37;0 
815268;0;0;26137;1;20;0 
815359;0;0;25943;1;16;0 
818545;0;0;26493;1;29;0 
814555;0;0;25913;1;16;0 
817255;0;0;26094;1;21;0 
817070;0;0;25951;1;30;0 
818313;0;0;29146;1;29;0 
816421;0;0;26335;1;22;0 
814106;0;0;25885;1;16;0 
814616;0;0;25965;1;36;0 
815304;0;0;26208;1;26;0 
814536;0;0;25524;1;20;0 
814937;0;0;25987;1;29;0 
815819;0;0;26683;1;30;0 
815854;0;0;26196;1;20;0 
816082;0;0;26300;1;20;0 
814904;0;0;26157;1;193;0 
818065;0;0;26202;1;29;0 
814452;0;0;26109;1;20;0 
816673;0;0;26325;1;21;0 
815744;0;0;26422;1;30;0 
815226;0;0;26308;1;16;0 
815487;0;0;26021;1;21;0 
815633;0;0;26211;1;29;0 
815737;0;0;26292;1;21;0 
815823;0;0;26157;1;16;0 
816257;0;0;26106;1;39;0 
814941;0;0;26094;1;29;0 
815590;0;0;26056;1;17;0 
814571;0;0;25842;1;21;0 
815503;0;0;26518;1;30;0 
815033;0;0;26152;1;16;0 
815973;0;0;26238;1;26;0 
818242;0;0;26393;1;29;0 
817000;0;0;26199;1;16;0 
817523;0;0;26247;1;22;0 
816771;0;0;26477;1;33;0 
814304;0;0;25771;1;21;0 
817664;0;0;26020;1;17;0 
815272;0;0;26292;1;21;0 
817656;0;0;26167;1;34;0 
814722;0;0;25792;1;20;0 
814756;0;0;26024;1;21;0 
818044;0;0;26370;1;29;0 
815560;0;0;26187;1;21;0 
818064;0;0;26230;1;20;0 
816860;0;0;26301;1;29;0 
815951;0;0;26157;1;26;0 
814646;0;0;25717;1;16;0 
816233;0;0;26442;1;33;0 
815126;0;0;25974;1;25;0 
815214;0;0;26209;1;20;0 
815316;0;0;26226;1;17;0 
815409;0;0;26298;1;29;0 
815487;0;0;26350;1;20;0 
817346;0;0;26089;1;21;0 
815622;0;0;26522;1;29;0 
814552;0;0;25932;1;20;0 
814658;0;0;26084;1;20;0 
815643;0;0;26131;1;29;0 
816459;0;0;26250;1;20;0 
816996;0;0;25987;1;20;0 
816163;0;0;26699;1;36;0 
814681;0;0;26162;1;20;0 
818075;0;0;26035;1;21;0 
816892;0;0;26131;1;37;0 
818899;0;0;26172;1;29;0 
813925;0;0;25739;1;22;0 
815734;0;0;26036;1;22;0 
817630;0;0;25979;1;29;0 
815615;0;0;26257;1;21;0 
816381;0;0;26330;1;20;0 
816775;0;0;26129;1;29;0 
815760;0;0;25857;1;20;0 
814835;0;0;26184;1;20;0 
817661;0;0;26205;1;35;0 
815514;0;0;26186;1;25;0 
816155;0;0;26057;1;21;0 
815215;0;0;26179;1;21;0 
818259;0;0;26578;1;25;0 
814676;0;0;26130;1;21;0 
814027;0;0;25784;1;21;0 
816510;0;0;26313;1;29;0 
814822;0;0;26201;1;21;0 
814818;0;0;25998;1;21;0 
817905;0;0;26070;1;35;0 
817608;0;0;25948;1;21;0 
814752;0;0;26058;1;20;0 
817807;0;0;27419;1;54;0 
817211;0;0;26276;1;33;0 
814672;0;0;26020;1;20;0 
815372;0;0;26196;1;20;0 
815412;0;0;26588;1;28;0 
817706;0;0;26467;1;29;0 
815868;0;0;26200;1;20;0 
813850;0;0;25675;1;21;0 
816948;0;0;26665;1;29;0 
814526;0;0;25975;1;21;0 
814537;0;0;26023;1;20;0 
815661;0;0;26469;1;52;0 
814948;0;0;25913;1;22;0 
815355;0;0;26326;1;21;0 
816805;0;0;26665;1;28;0 
815137;0;0;26227;1;29;0 
815259;0;0;26220;1;22;0 
816008;0;0;26199;1;20;0 
815957;0;0;26289;1;29;0 
816988;0;0;26210;1;21;0 
815690;0;0;26053;1;20;0 
816918;0;0;26036;1;29;0 
814819;0;0;26127;1;22;0 
815329;0;0;26109;1;20;0 
815946;0;0;25896;1;15;0 
815532;0;0;26096;1;20;0 
814869;0;0;25979;1;21;0 
817537;0;0;26512;1;28;0 
815110;0;0;26372;1;28;0 
815192;0;0;25963;1;20;0 
814725;0;0;26002;1;20;0 
816312;0;0;26588;1;29;0 
814588;0;0;26003;1;20;0 
815048;0;0;26102;1;17;0 
816673;0;0;25904;1;58;0 
814752;0;0;25992;1;25;0 
816029;0;0;26364;1;20;0 
814701;0;0;25773;1;21;0 
815507;0;0;26066;1;35;0 
815454;0;0;26197;1;20;0 
815429;0;0;25926;1;21;0 
817104;0;0;26411;1;37;0 
814835;0;0;25774;1;20;0 
815513;0;0;26257;1;20;0 
818064;0;0;26474;1;24;0 
818888;0;0;26469;1;29;0 
817212;0;0;26140;1;20;0 
816778;0;0;25836;1;21;0 
814206;0;0;25850;1;34;0 
815010;0;0;26099;1;21;0 
815004;0;0;26114;1;20;0 
818583;0;0;26593;1;36;0 
814604;0;0;26007;1;21;0 
815432;0;0;26372;1;16;0 
815528;0;0;26287;1;25;0 
815670;0;0;26419;1;30;0 
814762;0;0;26126;1;20;0 
815404;0;0;26369;1;30;0 
815954;0;0;26199;1;29;0 
816256;0;0;26076;1;21;0 
815361;0;0;26336;1;50;0 
816373;0;0;27375;1;29;0 
815115;0;0;26135;1;20;0 
814887;0;0;25989;1;22;0 
818565;0;0;26391;1;34;0 
813730;0;0;25700;1;21;0 
814717;0;0;26049;1;21;0 
816815;0;0;26711;1;29;0 
815546;0;0;26393;1;26;0 
815233;0;0;26142;1;16;0 
816108;0;0;26265;1;32;0 
816616;0;0;26183;1;29;0 
814332;0;0;25925;1;22;0 
814964;0;0;26046;1;21;0 
815707;0;0;26202;1;30;0 
814924;0;0;25973;1;21;0 
814871;0;0;26023;1;21;0 
815588;0;0;26261;1;37;0 
815767;0;0;26097;1;21;0 
817074;0;0;25910;1;16;0 
814862;0;0;26061;1;34;0 
816265;0;0;26539;1;29;0 
815931;0;0;26075;1;21;0 
814553;0;0;26093;1;21;0 
814213;0;0;26095;1;30;0 
813943;0;0;25818;1;22;0 
814850;0;0;26054;1;21;0 
814794;0;0;26180;1;29;0 
815575;0;0;26034;1;21;0 
814665;0;0;25946;1;16;0 
818757;0;0;26285;1;35;0 
818116;0;0;26487;1;26;0 
818190;0;0;26212;1;21;0 
815474;0;0;26060;1;21;0 
816702;0;0;26677;1;29;0 
817528;0;0;26117;1;17;0 
818006;0;0;26041;1;21;0 
815859;0;0;26196;1;30;0 
816670;0;0;26355;1;16;0 
816155;0;0;26325;1;21;0 
814919;0;0;25912;1;29;0 
815078;0;0;25957;1;20;0 
816336;0;0;26392;1;20;0 
817675;0;0;26415;1;31;0 
816908;0;0;26275;1;25;0 
814563;0;0;26179;1;20;0 
814884;0;0;26194;1;21;0 
815520;0;0;26282;1;35;0 
814634;0;0;26058;1;16;0 
814950;0;0;26169;1;20;0 
815051;0;0;25944;1;30;0 
817511;0;0;26067;1;20;0 
815672;0;0;26046;1;20;0 
815764;0;0;26345;1;29;0 
815483;0;0;26063;1;26;0 
815218;0;0;26280;1;21;0 
816995;0;0;26187;1;54;0 
814544;0;0;26046;1;25;0 
814936;0;0;26138;1;21;0 
815265;0;0;25984;1;20;0 
815561;0;0;26331;1;29;0 
814537;0;0;26049;1;20;0 
816005;0;0;26048;1;21;0 
815628;0;0;26383;1;29;0 
816884;0;0;26157;1;16;0 
816668;0;0;26359;1;20;0 
814906;0;0;26041;1;29;0 
814610;0;0;26046;1;25;0 
815038;0;0;26015;1;21;0 
816427;0;0;26304;1;33;0 
815397;0;0;26038;1;29;0 
815954;0;0;26225;1;20;0 
814458;0;0;25937;1;20;0 
816189;0;0;25996;1;24;0 
814618;0;0;25897;1;20;0 
815613;0;0;26092;1;16;0 
816612;0;0;26528;1;194;0 
815244;0;0;26419;1;29;0 
815518;0;0;26133;1;16;0 
814761;0;0;26026;1;16;0 
816808;0;0;26398;1;25;0 
814268;0;0;25983;1;20;0 
816489;0;0;26015;1;21;0 
816138;0;0;26737;1;28;0 
815225;0;0;26246;1;22;0 
814508;0;0;26096;1;20;0 
814922;0;0;26146;1;30;0 
816897;0;0;27476;1;21;0 
814940;0;0;26265;1;21;0 
814549;0;0;25894;1;21;0 
817347;0;0;26202;1;30;0 
816160;0;0;26098;1;20;0 
814815;0;0;26144;1;20;0 
818414;0;0;26310;1;33;0 
814711;0;0;26168;1;20;0 
816573;0;0;25918;1;21;0 
815439;0;0;26333;1;29;0 
818633;0;0;27478;1;25;0 
814943;0;0;26104;1;17;0 
815940;0;0;26326;1;20;0 
814542;0;0;26063;1;29;0 
813909;0;0;25876;1;22;0 
814411;0;0;25911;1;20;0 
815346;0;0;26011;1;29;0 
815953;0;0;26150;1;20;0 
822004;0;0;25899;1;26;0 
816255;0;0;26451;1;38;0 
815521;0;0;26094;1;21;0 
815256;0;0;26233;1;20;0 
816947;0;0;26261;1;29;0 
815441;0;0;26047;1;29;0 
818473;0;0;26193;1;20;0 
814753;0;0;25912;1;20;0 
817357;0;0;26441;1;36;0 
814868;0;0;26064;1;21;0 
814392;0;0;25930;1;21;0 
815374;0;0;26477;1;29;0 
814078;0;0;25675;1;20;0 
817455;0;0;26268;1;20;0 
816813;0;0;26373;1;33;0 
819648;0;0;26104;1;25;0 
815186;0;0;26192;1;20;0 
817956;0;0;26315;1;29;0 
815867;0;0;26277;1;30;0 
816378;0;0;26368;1;20;0 
814583;0;0;26041;1;20;0 
815730;0;0;26431;1;30;0 
815223;0;0;25951;1;21;0 
815297;0;0;26403;1;20;0 
815655;0;0;26094;1;29;0 
815167;0;0;26252;1;17;0 
814736;0;0;25840;1;22;0 
818833;0;0;26192;1;53;0 
815633;0;0;26423;1;29;0 
816947;0;0;26145;1;20;0 
814544;0;0;25983;1;21;0 
814280;0;0;25915;1;29;0 
814587;0;0;26002;1;20;0 
815164;0;0;26271;1;22;0 
816384;0;0;26105;1;30;0 
814222;0;0;25864;1;17;0 
816992;0;0;25847;1;22;0 
814587;0;0;26178;1;52;0 
817463;0;0;26154;1;26;0 
815449;0;0;26354;1;22;0 
819224;0;0;26636;1;29;0 
816391;0;0;26400;1;29;0 
814199;0;0;25789;1;20;0 
815359;0;0;26280;1;20;0 
817091;0;0;25902;1;29;0 
814644;0;0;25884;1;20;0 
817601;0;0;26391;1;21;0 
814786;0;0;26057;1;30;0 
816389;0;0;26333;1;20;0 
817422;0;0;26085;1;22;0 
816239;0;0;25960;1;24;0 
815506;0;0;26285;1;21;0 
817895;0;0;25799;1;17;0 
815587;0;0;26154;1;50;0 
817534;0;0;25847;1;30;0 
816013;0;0;26204;1;20;0 
815593;0;0;25940;1;21;0 
816652;0;0;26515;1;30;0 
818813;0;0;26071;1;21;0 
814775;0;0;25936;1;17;0 
818147;0;0;25977;1;46;0 
815299;0;0;26345;1;20;0 
819498;0;0;26196;1;20;0 
814271;0;0;26014;1;20;0 
817434;0;0;26335;1;27;0 
