CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
816866;288129;77858;631261;0;4;0 
815835;288129;77858;631258;0;2;0 
820433;288129;77858;631260;0;2;0 
816391;288130;77858;631257;0;4;0 
815532;288130;77858;631257;0;3;0 
816561;288129;77858;631259;0;2;0 
814376;288129;77858;631256;0;2;0 
814767;288129;77858;631261;0;4;0 
815315;288129;77858;631261;0;2;0 
814908;288129;77858;631253;0;2;0 
814559;288130;77858;631257;0;3;0 
815340;288129;77858;631261;0;3;0 
814984;288129;77858;631257;0;2;0 
815718;288130;77858;631257;0;4;0 
814953;288129;77858;631258;0;4;0 
814682;288129;77858;631259;0;2;0 
817531;288129;77858;631257;0;2;0 
815060;288129;77858;631258;0;4;0 
815757;288129;77858;631255;0;2;0 
814730;288129;77858;631257;0;2;0 
815135;288130;77858;631260;0;3;0 
816221;288129;77858;631259;0;4;0 
816262;288129;77858;631255;0;2;0 
814633;288129;77858;631257;0;2;0 
816534;288130;77859;631260;0;5;0 
814957;288129;77858;631258;0;2;0 
814834;288129;77858;631256;0;2;0 
816600;288129;77859;631260;0;4;0 
814888;288129;77859;631260;0;4;0 
815723;288129;77858;631258;0;2;0 
817904;288129;77858;631252;0;2;0 
817338;288129;77859;631262;0;4;0 
816241;288129;77858;631253;0;2;0 
814965;288129;77858;631253;0;2;0 
815683;288129;77858;631260;0;4;0 
814949;288129;77858;631252;0;2;0 
815231;288129;77858;631252;0;2;0 
817290;288130;77859;631264;0;5;0 
816423;288130;77858;631259;0;4;0 
815582;288129;77858;631254;0;2;0 
813737;288129;77858;631255;0;2;0 
817213;288130;77858;631261;0;4;0 
816089;288129;77858;631258;0;2;0 
814744;288129;77858;631255;0;2;0 
814597;288130;77858;631259;0;3;0 
816048;288130;77858;631261;0;4;0 
814165;288129;77858;631255;0;2;0 
815933;288129;77858;631253;0;2;0 
818156;288130;77858;631262;0;5;0 
814897;288129;77858;631254;0;2;0 
813544;288129;77858;631257;0;2;0 
818327;288130;77858;631265;0;4;0 
816933;288129;77858;631260;0;4;0 
817507;288129;77858;631254;0;2;0 
814534;288129;77858;631252;0;2;0 
816948;288130;77858;631256;0;4;0 
815263;288129;77858;631254;0;2;0 
815605;288129;77858;631255;0;2;0 
815778;288129;77859;631258;0;4;0 
817187;288129;77858;631254;0;2;0 
814854;288129;77858;631255;0;2;0 
817801;288132;77858;631263;0;5;0 
815987;288129;77858;631263;0;3;0 
815138;288129;77858;631253;0;2;0 
816420;288129;77858;631255;0;2;0 
816385;288129;77859;631270;0;4;0 
815523;288129;77858;631257;0;2;0 
814991;288129;77858;631255;0;2;0 
816714;288131;77858;631258;0;4;0 
822504;288130;77858;631257;0;3;0 
815314;288129;77858;631255;0;2;0 
