CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
818258;31;377;0;409128;0;253 
814052;17;203;0;407026;0;135 
815431;33;296;0;407715;0;164 
816002;29;192;0;408001;0;76 
815553;23;184;0;407776;0;92 
814754;24;224;0;407377;0;128 
814552;27;192;0;407276;0;84 
814852;29;182;0;407425;0;68 
815654;24;192;0;407827;0;96 
814052;18;155;0;407026;0;83 
815584;29;224;0;407791;0;108 
815261;16;168;0;407631;0;104 
814710;27;212;0;407355;0;104 
818326;36;300;0;409162;0;156 
815565;17;148;0;407782;0;80 
817119;19;220;0;408559;0;144 
813810;28;173;0;406904;0;61 
815653;24;164;0;407826;0;68 
814854;19;264;0;407427;0;188 
817584;19;184;0;408792;0;108 
816629;21;196;0;408313;0;112 
815983;43;264;0;407992;0;92 
819001;25;355;0;409501;0;255 
815103;29;260;0;407551;0;144 
816620;28;212;0;408310;0;100 
815712;31;201;0;407856;0;77 
816476;48;328;0;408238;0;136 
815579;19;156;0;407789;0;80 
815479;19;152;0;407740;0;76 
814339;32;216;0;407169;0;88 
816894;28;513;0;408446;0;401 
815627;38;252;0;407814;0;100 
814829;23;184;0;407413;0;92 
815733;15;204;0;407865;0;144 
815610;30;232;0;407805;0;112 
815276;43;248;0;407638;0;76 
815774;29;208;0;407886;0;92 
816673;31;236;0;408336;0;112 
817587;29;224;0;408794;0;108 
818343;45;373;0;409171;0;189 
814183;21;188;0;407092;0;104 
815558;28;196;0;407779;0;84 
817865;42;288;0;408932;0;120 
815158;27;228;0;407578;0;120 
816731;27;192;0;408365;0;84 
814252;27;192;0;407126;0;84 
815416;28;196;0;407707;0;84 
815626;17;208;0;407812;0;140 
814466;24;236;0;407233;0;140 
815175;23;192;0;407587;0;100 
814387;33;204;0;407193;0;72 
817770;17;164;0;408884;0;96 
815486;40;308;0;407742;0;148 
814788;19;224;0;407394;0;148 
814595;27;188;0;407297;0;80 
815018;31;236;0;407509;0;112 
818771;23;200;0;409386;0;108 
816942;22;236;0;408471;0;148 
815634;27;236;0;407816;0;128 
815020;22;176;0;407510;0;88 
814721;19;152;0;407361;0;76 
815432;23;252;0;407716;0;160 
815228;18;148;0;407613;0;76 
815893;32;289;0;407946;0;161 
814775;20;156;0;407387;0;76 
818034;29;240;0;409017;0;124 
815459;28;192;0;407729;0;80 
814371;31;271;0;407186;0;147 
815374;33;216;0;407686;0;84 
816383;33;232;0;408191;0;100 
814779;19;167;0;407390;0;91 
815538;24;172;0;407769;0;76 
816289;19;168;0;408143;0;92 
816434;30;240;0;408217;0;120 
815875;29;300;0;407938;0;184 
815392;19;240;0;407696;0;164 
814900;27;192;0;407450;0;84 
814997;30;284;0;407499;0;164 
814787;18;163;0;407394;0;91 
815089;26;180;0;407545;0;76 
815106;25;184;0;407553;0;84 
815315;27;212;0;407658;0;104 
817943;32;248;0;408971;0;120 
815247;27;264;0;407623;0;156 
815454;22;192;0;407727;0;104 
815926;25;300;0;407963;0;200 
816420;30;220;0;408210;0;100 
815043;23;351;0;407522;0;259 
815579;17;144;0;407789;0;76 
815699;28;244;0;407849;0;132 
814874;22;211;0;407437;0;123 
814891;23;176;0;407446;0;84 
814753;22;168;0;407375;0;80 
817088;20;220;0;408545;0;140 
815102;24;168;0;407551;0;72 
814400;29;268;0;407200;0;152 
815102;22;160;0;407551;0;72 
815940;30;208;0;407970;0;88 
816126;20;280;0;408063;0;200 
817582;22;172;0;408790;0;84 
814870;21;196;0;407434;0;112 
815208;29;231;0;407604;0;115 
816469;41;292;0;408234;0;128 
814826;26;180;0;407413;0;76 
815907;17;161;0;407953;0;93 
815318;25;208;0;407658;0;108 
817084;25;256;0;408542;0;156 
815024;31;220;0;407511;0;96 
817317;19;168;0;408658;0;92 
815586;20;160;0;407792;0;80 
815592;18;239;0;407797;0;167 
814812;29;284;0;407406;0;168 
815715;35;220;0;407858;0;80 
815113;23;264;0;407557;0;172 
815736;32;264;0;407868;0;136 
815559;22;164;0;407779;0;76 
815497;33;228;0;407747;0;96 
815398;32;220;0;407699;0;92 
814085;28;208;0;407042;0;96 
816161;22;256;0;408080;0;168 
814588;23;186;0;407295;0;96 
815215;34;220;0;407608;0;84 
815519;16;180;0;407759;0;116 
815037;27;256;0;407518;0;152 
815447;18;172;0;407723;0;100 
817454;25;192;0;408726;0;92 
818984;36;284;0;409493;0;140 
815614;20;208;0;407807;0;128 
816141;35;277;0;408070;0;137 
817243;18;205;0;408621;0;133 
817577;30;208;0;408788;0;88 
815115;32;300;0;407557;0;172 
817755;21;164;0;408877;0;80 
815594;26;196;0;407797;0;92 
815009;21;172;0;407505;0;88 
814528;16;136;0;407264;0;72 
818446;32;220;0;409222;0;92 
814435;27;272;0;407218;0;168 
815155;24;203;0;407578;0;107 
821328;16;277;0;410663;0;213 
815617;22;156;0;407808;0;68 
817894;39;276;0;408947;0;120 
815241;32;244;0;407620;0;116 
814624;25;184;0;407312;0;84 
815609;37;228;0;407805;0;80 
815014;24;192;0;407506;0;96 
815178;21;176;0;407589;0;92 
814087;29;204;0;407043;0;88 
814645;31;236;0;407323;0;112 
817160;29;264;0;408579;0;148 
815185;24;280;0;407592;0;184 
814940;26;208;0;407470;0;104 
816545;42;288;0;408272;0;120 
819007;19;144;0;409503;0;68 
815167;20;148;0;407584;0;68 
817290;38;220;0;408645;0;68 
817693;24;172;0;408846;0;76 
815440;39;272;0;407719;0;116 
816710;17;211;0;408355;0;143 
815676;26;257;0;407837;0;153 
816791;22;200;0;408396;0;112 
814480;26;229;0;407239;0;125 
816455;24;280;0;408227;0;184 
816300;21;356;0;408149;0;272 
814842;23;164;0;407421;0;72 
815857;45;272;0;407928;0;92 
814498;14;148;0;407248;0;92 
814965;23;307;0;407482;0;216 
815931;29;204;0;407966;0;92 
817888;28;208;0;408943;0;96 
815243;36;296;0;407621;0;152 
815513;32;212;0;407757;0;84 
815128;26;186;0;407564;0;82 
815511;33;264;0;407755;0;132 
815272;25;241;0;407636;0;140 
815955;29;204;0;407976;0;88 
817326;33;284;0;408662;0;152 
815197;32;271;0;407599;0;143 
816831;37;292;0;408415;0;144 
815739;31;196;0;407868;0;72 
815231;24;192;0;407615;0;96 
814189;22;212;0;407095;0;124 
814953;17;144;0;407477;0;76 
815957;28;256;0;407979;0;144 
815664;20;196;0;407831;0;116 
814803;30;216;0;407402;0;96 
815575;28;196;0;407787;0;84 
817372;16;232;0;408685;0;168 
814935;29;208;0;407468;0;92 
815386;24;196;0;407693;0;100 
815473;33;220;0;407736;0;88 
815756;35;282;0;407878;0;142 
815762;26;204;0;407880;0;100 
815057;25;196;0;407528;0;96 
815375;29;228;0;407688;0;112 
817949;20;196;0;408973;0;116 
814964;20;152;0;407482;0;72 
814413;26;176;0;407206;0;72 
814977;21;192;0;407488;0;108 
816032;22;264;0;408016;0;176 
817499;40;265;0;408750;0;105 
815009;30;236;0;407504;0;116 
816335;25;280;0;408167;0;180 
814515;25;178;0;407257;0;78 
814156;31;195;0;407078;0;71 
815960;30;212;0;407979;0;92 
814968;22;196;0;407484;0;108 
816585;26;188;0;408292;0;84 
815293;35;260;0;407646;0;120 
816164;12;192;0;408081;0;144 
814781;22;191;0;407390;0;103 
814983;27;212;0;407492;0;104 
815225;23;168;0;407612;0;76 
816545;35;400;0;408273;0;260 
814179;20;160;0;407089;0;80 
817672;36;276;0;408835;0;132 
814782;30;220;0;407391;0;100 
815249;31;260;0;407624;0;136 
815961;29;220;0;407979;0;104 
816021;25;228;0;408010;0;128 
814086;23;164;0;407043;0;72 
814412;20;200;0;407206;0;120 
815249;28;208;0;407624;0;96 
813704;21;172;0;406852;0;88 
815067;25;236;0;407534;0;136 
816058;40;240;0;408029;0;80 
814660;27;229;0;407330;0;124 
816387;25;236;0;408193;0;136 
815219;38;240;0;407609;0;88 
815500;31;212;0;407750;0;88 
814956;17;192;0;407479;0;124 
817270;22;400;0;408634;0;312 
814823;39;244;0;407411;0;88 
817820;18;168;0;408911;0;96 
816280;23;256;0;408139;0;164 
814562;21;179;0;407281;0;95 
818540;31;212;0;409270;0;88 
815271;28;244;0;407636;0;132 
816557;10;185;0;408278;0;145 
814656;17;160;0;407328;0;92 
815449;31;264;0;407725;0;140 
815287;23;184;0;407643;0;92 
815153;26;308;0;407576;0;204 
814976;21;192;0;407488;0;108 
815925;37;232;0;407963;0;84 
814453;22;156;0;407226;0;68 
814871;19;184;0;407435;0;108 
816868;30;224;0;408434;0;104 
816144;21;200;0;408071;0;116 
814772;22;196;0;407385;0;108 
814923;15;213;0;407462;0;152 
816446;25;188;0;408222;0;88 
814709;23;176;0;407355;0;84 
815436;23;184;0;407718;0;92 
814407;19;158;0;407203;0;82 
814423;27;364;0;407212;0;256 
815578;37;252;0;407789;0;108 
815755;36;300;0;407877;0;156 
817898;40;248;0;408949;0;88 
815591;24;227;0;407796;0;131 
817743;17;168;0;408872;0;100 
815243;27;204;0;407622;0;96 
815717;30;208;0;407859;0;88 
814272;29;284;0;407136;0;168 
815024;27;184;0;407512;0;80 
814975;24;204;0;407487;0;108 
817434;22;180;0;408717;0;92 
815511;22;228;0;407755;0;140 
817999;41;261;0;408999;0;97 
814199;15;196;0;407099;0;136 
815115;41;283;0;407558;0;120 
816428;25;220;0;408214;0;120 
814426;24;228;0;407214;0;132 
815825;33;301;0;407913;0;169 
815680;21;232;0;407839;0;148 
815942;25;272;0;407971;0;172 
817544;26;203;0;408772;0;99 
815770;28;216;0;407884;0;104 
814785;23;204;0;407393;0;112 
815160;28;215;0;407580;0;103 
815302;23;180;0;407650;0;88 
815982;34;240;0;407990;0;104 
816890;28;191;0;408444;0;79 
818062;31;252;0;409031;0;128 
815873;30;216;0;407936;0;96 
817600;21;222;0;408801;0;140 
817951;35;240;0;408975;0;100 
815424;24;176;0;407712;0;84 
814438;18;148;0;407219;0;76 
