CYCLES;0xE4;0xE5;0xE6;0xE7;0xE8;0xE3
816658;164222;109012;0;15469;37;0 
816845;164173;109032;0;14078;35;0 
815647;164268;109026;0;14271;35;0 
816351;164179;109012;0;14284;37;0 
815150;164255;109007;0;14341;35;0 
818380;164280;109038;0;17502;35;0 
815195;164298;109031;0;14130;35;0 
815660;164241;108989;0;15236;35;0 
814769;164284;109002;0;14062;35;0 
814535;164116;109024;0;14016;35;0 
815824;164266;109018;0;15365;38;0 
815673;164201;109027;0;15329;35;0 
814240;164173;109021;0;13975;35;0 
820666;164141;109011;0;16507;51;0 
815092;164235;109043;0;14215;35;0 
815358;164225;109023;0;13983;35;0 
815512;164264;109014;0;14208;37;0 
816821;164181;109025;0;16128;37;0 
814539;164237;109025;0;14139;35;0 
816558;164356;109034;0;14458;37;0 
814492;164079;109023;0;13975;35;0 
815335;164222;109035;0;14528;35;0 
814688;164142;109012;0;14433;35;0 
815205;164175;108996;0;14734;42;0 
814253;164131;109019;0;14220;35;0 
814454;164216;109028;0;14198;35;0 
815519;164174;108991;0;14306;41;0 
814388;164276;109021;0;13877;35;0 
816449;164254;109029;0;15597;35;0 
815935;164166;109031;0;14583;37;0 
816191;164141;108998;0;15531;40;0 
815792;164257;109025;0;15010;35;0 
814868;164175;109038;0;13979;35;0 
815275;164197;108999;0;14323;35;0 
815426;164306;109029;0;14509;35;0 
814685;164239;109033;0;14262;35;0 
815657;164218;109020;0;14073;39;0 
814460;164167;109009;0;14395;35;0 
814748;164208;109039;0;13885;35;0 
817478;164294;109006;0;15815;35;0 
815636;164074;109023;0;14433;35;0 
815479;164208;109017;0;14063;186;0 
814743;164224;109043;0;14089;35;0 
814953;164164;109003;0;14245;39;0 
814585;164267;109027;0;14139;35;0 
815319;164205;109040;0;14244;35;0 
815380;164245;109004;0;14181;38;0 
814926;164263;109013;0;14257;37;0 
815181;164106;109028;0;14998;35;0 
818363;164144;109025;0;14489;37;0 
816419;164217;109010;0;15627;38;0 
814647;164199;109022;0;14008;35;0 
815713;164288;109022;0;14552;40;0 
814661;164115;108995;0;14400;35;0 
814929;164282;109036;0;13988;46;0 
815958;164164;109048;0;15094;35;0 
815737;164324;109033;0;14157;39;0 
815869;164192;109030;0;14983;35;0 
814934;164214;109037;0;14326;35;0 
815658;164223;109025;0;14764;41;0 
816314;164300;109040;0;14891;35;0 
814607;164181;109026;0;14173;35;0 
815033;164266;109011;0;14258;35;0 
816865;164052;109011;0;14091;38;0 
814903;164231;109042;0;14243;46;0 
816835;164244;109022;0;15613;186;0 
818019;164237;109018;0;14173;39;0 
814594;164230;109020;0;14257;35;0 
814935;164299;109028;0;13939;35;0 
816519;164303;109004;0;15280;354;0 
816367;164197;109036;0;15458;35;0 
815145;164279;109027;0;14364;46;0 
817157;164310;109014;0;15697;37;0 
816901;164187;109008;0;14100;37;0 
815600;164235;109025;0;14202;185;0 
815710;164203;109013;0;15147;37;0 
818090;164188;109001;0;14166;35;0 
814690;164303;109016;0;13869;35;0 
815174;164230;109022;0;14672;35;0 
816432;164139;109007;0;15327;40;0 
816438;164161;109014;0;16533;46;0 
816426;164202;109039;0;15274;35;0 
