CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
817428;288130;77858;631257;0;4;0 
815198;288129;77858;631258;0;2;0 
814444;288129;77858;631254;0;2;0 
816486;288130;77858;631257;0;4;0 
816437;288130;77858;631260;0;4;0 
815377;288129;77858;631258;0;2;0 
814599;288129;77858;631255;0;2;0 
819590;288129;77859;631260;0;4;0 
814376;288129;77858;631253;0;2;0 
815502;288129;77858;631260;0;2;0 
815036;288129;77858;631261;0;3;0 
815299;288129;77858;631259;0;5;0 
814446;288129;77858;631259;0;2;0 
817538;288129;77858;631255;0;2;0 
816094;288130;77858;631257;0;4;0 
816072;288129;77858;631256;0;2;0 
815922;288129;77858;631256;0;2;0 
815860;288129;77858;631257;0;2;0 
817867;288131;77858;631262;0;5;0 
814704;288129;77858;631256;0;2;0 
814357;288129;77858;631255;0;2;0 
816279;288129;77858;631257;0;4;0 
815748;288129;77858;631256;0;2;0 
814912;288129;77858;631257;0;2;0 
815228;288129;77858;631257;0;3;0 
816521;288130;77858;631259;0;5;0 
818860;288129;77858;631253;0;2;0 
814782;288129;77858;631254;0;2;0 
817140;288129;77858;631254;0;3;0 
815277;288131;77858;631259;0;4;0 
814432;288129;77858;631254;0;2;0 
817992;288129;77858;631256;0;2;0 
816266;288131;77858;631262;0;5;0 
816114;288129;77858;631256;0;2;0 
814466;288129;77858;631255;0;2;0 
815838;288130;77858;631258;0;4;0 
815816;288130;77858;631259;0;4;0 
814725;288129;77858;631253;0;2;0 
814444;288129;77858;631258;0;2;0 
815466;288129;77858;631261;0;4;0 
815934;288129;77858;631255;0;2;0 
814631;288129;77858;631255;0;2;0 
815602;288129;77858;631254;0;2;0 
815394;288129;77858;631260;0;4;0 
814370;288129;77858;631256;0;2;0 
815883;288129;77858;631257;0;2;0 
817117;288132;77858;631266;0;5;0 
814966;288129;77858;631260;0;3;0 
815561;288129;77858;631257;0;2;0 
814792;288129;77858;631255;0;2;0 
815632;288131;77858;631265;0;4;0 
815508;288129;77858;631253;0;2;0 
817306;288129;77858;631256;0;2;0 
814717;288130;77858;631258;0;4;0 
817026;288130;77858;631264;0;4;0 
815000;288129;77858;631266;0;2;0 
815704;288129;77858;631258;0;2;0 
815391;288131;77858;631263;0;5;0 
815157;288129;77858;631254;0;2;0 
815252;288129;77858;631256;0;2;0 
815086;288130;77858;631258;0;3;0 
816562;288129;77858;631256;0;4;0 
814531;288129;77858;631252;0;2;0 
816689;288129;77858;631254;0;2;0 
817199;288129;77858;631257;0;4;0 
816224;288130;77858;631257;0;3;0 
816924;288129;77858;631257;0;2;0 
814688;288129;77858;631255;0;2;0 
821931;288131;77858;631273;0;5;0 
815338;288129;77858;631255;0;2;0 
815361;288129;77858;631263;0;2;0 
818147;288131;77858;631260;0;4;0 
814232;288129;77858;631253;0;2;0 
814980;288129;77858;631256;0;2;0 
818333;288129;77858;631261;0;2;0 
816334;288130;77859;631264;0;4;0 
816708;288129;77858;631254;0;2;0 
817260;288129;77858;631251;0;2;0 
815464;288130;77858;631262;0;4;0 
814929;288129;77858;631257;0;3;0 
814044;288129;77858;631256;0;2;0 
817073;288129;77858;631258;0;3;0 
814456;288129;77858;631263;0;4;0 
814626;288129;77858;631256;0;2;0 
815565;288129;77858;631255;0;2;0 
816359;288129;77859;631258;0;4;0 
815918;288130;77858;631262;0;3;0 
814791;288129;77858;631254;0;2;0 
815280;288129;77858;631253;0;2;0 
815679;288129;77858;631263;0;4;0 
815010;288129;77858;631259;0;2;0 
817714;288129;77858;631262;0;2;0 
816621;288130;77858;631261;0;5;0 
815373;288131;77858;631261;0;4;0 
