CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x10
820472;40649;56743;0;0;7831;7831 
815477;40647;56743;0;0;7903;7903 
814422;40647;56743;0;0;7712;7712 
815853;40650;56743;0;0;7867;7867 
817705;40647;56743;0;0;7903;7903 
814650;40647;56743;0;0;7765;7765 
815770;40647;56743;0;0;7869;7869 
815393;40649;56743;0;0;7736;7736 
814856;40647;56743;0;0;7770;7770 
817159;40649;56743;0;0;7809;7809 
815447;40649;56743;0;0;7738;7738 
816238;40648;56743;0;0;7802;7802 
817288;40647;56743;0;0;7881;7881 
816294;40648;56743;0;0;7892;7892 
817473;40650;56743;0;0;7869;7869 
814986;40647;56743;0;0;7810;7810 
815640;40647;56743;0;0;7872;7872 
819123;40650;56743;0;0;7817;7817 
814648;40647;56743;0;0;7781;7781 
814727;40647;56743;0;0;7804;7804 
818205;40648;56743;0;0;7839;7839 
815020;40649;56743;0;0;7844;7844 
816387;40647;56743;0;0;7867;7867 
814709;40647;56743;0;0;7797;7797 
815722;40650;56744;0;0;7873;7873 
816810;40647;56743;0;0;7868;7868 
814095;40647;56743;0;0;7781;7781 
817307;40649;56743;0;0;7818;7818 
815665;40647;56743;0;0;7798;7798 
814387;40647;56743;0;0;7776;7776 
814900;40647;56743;0;0;7846;7846 
815663;40650;56743;0;0;7820;7820 
815536;40647;56743;0;0;7821;7821 
814936;40647;56743;0;0;7758;7758 
818756;40649;56743;0;0;7794;7794 
815677;40647;56743;0;0;7792;7792 
815362;40647;56743;0;0;7860;7860 
815516;40649;56743;0;0;7832;7832 
819423;40650;56743;0;0;7852;7852 
815289;40647;56743;0;0;7754;7754 
814444;40647;56743;0;0;7807;7807 
818034;40649;56743;0;0;7799;7799 
817004;40647;56743;0;0;7780;7780 
815486;40647;56743;0;0;7807;7807 
815570;40649;56743;0;0;7854;7854 
817332;40650;56743;0;0;7915;7915 
815443;40647;56743;0;0;7759;7759 
816513;40647;56743;0;0;7935;7935 
820092;40650;56743;0;0;7881;7881 
816837;40647;56743;0;0;7755;7755 
816618;40649;56743;0;0;7826;7826 
819049;40649;56743;0;0;7791;7791 
814262;40647;56743;0;0;7731;7731 
815234;40647;56743;0;0;7837;7837 
815638;40649;56743;0;0;7873;7873 
815951;40647;56743;0;0;7830;7830 
814784;40647;56743;0;0;7801;7801 
818048;40649;56743;0;0;7824;7824 
818079;40649;56743;0;0;7815;7815 
815134;40647;56743;0;0;7794;7794 
815179;40647;56743;0;0;7801;7801 
816791;40650;56743;0;0;7835;7835 
815426;40647;56743;0;0;7802;7802 
816320;40647;56743;0;0;7790;7790 
815054;40649;56743;0;0;7774;7774 
815280;40647;56743;0;0;7901;7901 
820398;40647;56743;0;0;7754;7754 
816354;40648;56743;0;0;7778;7778 
817291;40649;56743;0;0;7903;7903 
814981;40647;56743;0;0;7834;7834 
814930;40647;56743;0;0;7813;7813 
815932;40649;56743;0;0;7851;7851 
814811;40647;56743;0;0;7804;7804 
814534;40647;56743;0;0;7752;7752 
817343;40650;56743;0;0;7849;7849 
818599;40647;56743;0;0;7900;7900 
815567;40647;56743;0;0;7925;7925 
815580;40647;56743;0;0;7783;7783 
816429;40650;56744;0;0;7825;7825 
814389;40647;56743;0;0;7773;7773 
815559;40647;56743;0;0;7837;7837 
815361;40649;56743;0;0;7837;7837 
819781;40648;56743;0;0;7950;7950 
814610;40647;56743;0;0;7818;7818 
817173;40647;56743;0;0;7812;7812 
817022;40649;56743;0;0;7824;7824 
815021;40647;56743;0;0;7810;7810 
814883;40647;56743;0;0;7791;7791 
815949;40649;56743;0;0;7757;7757 
814522;40647;56743;0;0;7800;7800 
