CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
816188;124;1;2;0;208;0 
814918;156;1;1;0;170;0 
815458;84;1;0;0;198;0 
817445;160;1;1;0;230;0 
814595;96;1;2;0;199;0 
815156;76;1;0;0;204;0 
815128;88;1;0;0;191;0 
818666;72;1;3;0;238;0 
815551;80;1;0;0;185;0 
815312;124;1;0;0;187;0 
814639;92;1;1;0;199;0 
816878;132;1;2;0;194;0 
814893;80;1;0;0;171;0 
814433;104;1;0;0;170;0 
816379;132;1;3;0;219;0 
815887;92;1;0;0;174;0 
814813;92;1;0;0;175;0 
818607;100;1;2;0;200;0 
814420;104;1;0;0;169;0 
814577;104;1;0;0;200;0 
814620;72;1;2;0;198;0 
814908;116;1;0;0;217;0 
817126;104;1;0;0;170;0 
818175;176;1;2;0;229;0 
816116;80;1;1;0;181;0 
815338;124;1;0;0;173;0 
814575;92;1;1;0;200;0 
815325;132;1;2;0;228;0 
814259;112;1;0;0;182;0 
815852;152;1;2;0;295;0 
815112;160;1;2;0;197;0 
818167;68;1;0;0;177;0 
815474;120;1;0;0;186;0 
815026;132;1;2;0;205;0 
816031;100;1;0;0;172;0 
814838;96;1;0;0;180;0 
815163;108;1;2;0;202;0 
817326;84;1;0;0;181;0 
814827;120;1;0;0;198;0 
817999;124;1;2;0;225;0 
816271;112;1;1;0;188;0 
815601;88;1;0;0;173;0 
818075;188;1;2;0;333;0 
817160;88;1;2;0;193;0 
816081;120;1;0;0;173;0 
815751;112;1;0;0;181;0 
816664;112;1;2;0;214;0 
815607;80;1;0;0;184;0 
815586;144;1;0;0;186;0 
814652;96;1;2;0;220;0 
815024;100;1;0;0;173;0 
815911;112;1;0;0;177;0 
814967;112;1;2;0;196;0 
814829;160;1;1;0;192;0 
815516;116;1;0;0;184;0 
815656;192;1;3;0;295;0 
815731;140;1;2;0;211;0 
815722;112;1;0;0;181;0 
816972;124;1;0;0;182;0 
815827;80;1;3;0;196;0 
815423;92;1;0;0;177;0 
814577;104;1;0;0;207;0 
815457;80;1;2;0;197;0 
815038;100;1;1;0;188;0 
815991;140;1;0;0;206;0 
814956;120;1;1;0;205;0 
815785;104;1;2;0;207;0 
814847;116;1;0;0;181;0 
818025;163;1;3;0;304;0 
814269;124;1;1;0;200;0 
814588;120;1;0;0;188;0 
814263;92;1;0;0;200;0 
816144;108;1;2;0;220;0 
814745;120;1;0;0;184;0 
814640;132;1;0;0;197;0 
815323;100;1;2;0;245;0 
816852;88;1;1;0;207;0 
815294;136;1;0;0;211;0 
815736;156;1;1;0;234;0 
818545;116;1;0;0;205;0 
814512;128;1;0;0;208;0 
820974;152;1;3;0;271;0 
814822;76;1;0;0;196;0 
816072;104;1;0;0;179;0 
815802;96;1;2;0;223;0 
817885;144;1;1;0;217;0 
815436;148;1;0;0;178;0 
815760;108;1;1;0;186;0 
817125;92;1;2;0;215;0 
814879;84;1;0;0;190;0 
815453;80;1;1;0;248;0 
819592;80;1;2;0;195;0 
819932;116;1;0;0;206;0 
814984;88;1;0;0;185;0 
816599;148;1;3;0;237;0 
818076;68;1;0;0;190;0 
816392;124;1;2;0;250;0 
819016;140;1;3;0;232;0 
814688;144;1;0;0;185;0 
814433;108;1;0;0;184;0 
814986;140;1;2;0;228;0 
816468;96;1;0;0;180;0 
813955;116;1;0;0;174;0 
815406;89;1;2;0;200;0 
818395;120;1;2;0;181;0 
815237;112;1;0;0;181;0 
814811;92;1;0;0;182;0 
816980;96;1;2;0;218;0 
816551;88;1;0;0;190;0 
814928;152;1;1;0;253;0 
818242;124;1;2;0;223;0 
815742;84;1;0;0;183;0 
814612;136;1;0;0;183;0 
814608;128;1;2;0;249;0 
814339;80;1;0;0;183;0 
814965;80;1;0;0;187;0 
816456;92;1;2;0;253;0 
816411;88;1;2;0;199;0 
814565;56;1;0;0;178;0 
815628;108;1;0;0;170;0 
815198;148;1;1;0;207;0 
814124;132;1;0;0;206;0 
816902;172;1;1;0;242;0 
815029;128;1;2;0;192;0 
815290;84;1;0;0;174;0 
816554;135;1;0;0;180;0 
817867;88;1;2;0;248;0 
815011;84;1;0;0;200;0 
817971;132;1;0;0;176;0 
814243;116;1;2;0;206;0 
815210;76;1;1;0;219;0 
814900;104;1;0;0;169;0 
815091;80;1;0;0;231;0 
818951;96;1;2;0;201;0 
815077;136;1;0;0;176;0 
816217;176;1;1;0;234;0 
815300;112;1;2;0;195;0 
