CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
817211;0;37;0;80;371982;1 
815370;0;23;0;39;371980;1 
815054;0;28;0;25;371980;1 
814501;0;39;0;57;371980;1 
814950;0;24;0;28;371980;1 
814846;0;31;0;31;371980;1 
817316;0;21;0;37;371980;1 
815207;0;38;0;69;371980;1 
815218;0;22;0;40;371980;1 
814636;0;24;0;24;371980;1 
815083;0;30;0;63;371981;1 
815344;0;37;0;49;371980;1 
815198;0;27;0;24;371980;1 
815301;0;24;0;44;371980;1 
814692;0;33;0;42;371981;1 
815441;0;26;0;39;371980;1 
817752;0;29;0;57;371980;1 
817388;0;30;0;43;371980;1 
816297;0;35;0;41;371982;1 
815328;0;27;0;46;371980;1 
815811;0;25;0;33;371980;1 
815677;0;36;0;69;371982;1 
814965;0;29;0;30;371980;1 
815480;0;25;0;34;371980;1 
818516;0;48;0;89;371982;1 
815231;0;36;0;64;371980;1 
816497;0;25;0;31;371980;1 
815284;0;23;0;32;371980;1 
815932;0;32;0;72;371982;1 
816300;0;33;0;39;371981;1 
814107;0;22;0;31;371980;1 
814474;0;24;0;34;371980;1 
819612;0;33;0;63;371983;1 
816610;0;24;0;56;371980;1 
815103;0;27;0;38;371980;1 
816245;0;50;0;71;371982;1 
815398;0;25;0;29;371980;1 
814873;0;23;0;31;371980;1 
814707;0;26;0;46;371980;1 
815290;0;35;0;39;371980;1 
814353;0;27;0;34;371980;1 
817852;0;22;0;37;371980;1 
814903;0;32;0;65;371981;1 
815210;0;28;0;29;371980;1 
816762;0;24;0;67;371980;1 
815011;0;30;0;42;371981;1 
815037;0;37;0;51;371981;1 
814589;0;26;0;62;371980;1 
814495;0;27;0;35;371980;1 
815279;0;34;0;58;371983;1 
816087;0;26;0;30;371980;1 
814163;0;28;0;31;371980;1 
815254;0;24;0;45;371980;1 
814870;0;31;0;52;371981;1 
814320;0;24;0;41;371980;1 
815319;0;27;0;35;371980;1 
816766;0;33;0;66;371980;1 
815204;0;27;0;51;371980;1 
814411;0;25;0;35;371980;1 
815417;0;45;0;88;371980;1 
815203;0;36;0;68;371981;1 
814690;0;23;0;44;371980;1 
814489;0;27;0;29;371980;1 
817155;0;29;0;52;371981;1 
815298;0;33;0;54;371981;1 
817577;0;23;0;29;371980;1 
815119;0;29;0;47;371981;1 
814653;0;35;0;44;371981;1 
816284;0;26;0;32;371980;1 
814210;0;24;0;31;371980;1 
815781;0;52;0;91;371982;1 
814897;0;23;0;51;371980;1 
814840;0;25;0;51;371980;1 
815675;0;27;0;31;371980;1 
817314;0;36;0;54;371980;1 
814342;0;25;0;31;371980;1 
814751;0;26;0;24;371980;1 
816216;0;37;0;44;371981;1 
816246;0;32;0;42;371981;1 
814057;0;29;0;42;371980;1 
818605;0;27;0;40;371980;1 
815940;0;37;0;72;371981;1 
